# The monthly mean Sargassum areal coverage in the Caribbean Sea and Central Atlantic
Year 	Month	Area (km2)
2000	1	
2000	2	24.012
2000	3	39.19
2000	4	24.295
2000	5	16.933
2000	6	23.935
2000	7	21.976
2000	8	13.707
2000	9	21.709
2000	10	20.495
2000	11	25.752
2000	12	29.292
2001	1	22.366
2001	2	21.417
2001	3	18.005
2001	4	19.619
2001	5	14.807
2001	6	20.952
2001	7	24.141
2001	8	27
2001	9	25.275
2001	10	37.565
2001	11	23.642
2001	12	18.284
2002	1	8.023
2002	2	9.835
2002	3	14.476
2002	4	24.181
2002	5	16.488
2002	6	24.915
2002	7	23.338
2002	8	20.094
2002	9	27.282
2002	10	30.057
2002	11	19.942
2002	12	15.404
2003	1	10.181
2003	2	9.564
2003	3	29.844
2003	4	19.232
2003	5	18.475
2003	6	26.81
2003	7	35.147
2003	8	31.374
2003	9	33.35
2003	10	134.771
2003	11	24.314
2003	12	14.39
2004	1	13.677
2004	2	16.483
2004	3	22.495
2004	4	22.12
2004	5	18.69
2004	6	22.255
2004	7	16.04
2004	8	25.506
2004	9	26.176
2004	10	18.276
2004	11	29.337
2004	12	45.545
2005	1	15.467
2005	2	24.822
2005	3	27.374
2005	4	18.865
2005	5	24.341
2005	6	22.803
2005	7	30.314
2005	8	39.732
2005	9	36.841
2005	10	26.011
2005	11	48.434
2005	12	15.797
2006	1	13.67
2006	2	14.091
2006	3	14.494
2006	4	30.578
2006	5	33.23
2006	6	28.123
2006	7	40.261
2006	8	32.006
2006	9	31.727
2006	10	31.41
2006	11	23.265
2006	12	11.142
2007	1	9.495
2007	2	14.592
2007	3	19.845
2007	4	24.528
2007	5	22.29
2007	6	18.009
2007	7	26.398
2007	8	47.302
2007	9	45.589
2007	10	53.219
2007	11	37.543
2007	12	26.656
2008	1	22.099
2008	2	21.02
2008	3	29.057
2008	4	24.795
2008	5	33.197
2008	6	54.743
2008	7	44.163
2008	8	37.483
2008	9	42.921
2008	10	50.884
2008	11	37.796
2008	12	19.529
2009	1	14.052
2009	2	23.159
2009	3	27.805
2009	4	38.832
2009	5	27.501
2009	6	19.585
2009	7	20.916
2009	8	23.65
2009	9	30.335
2009	10	53.87
2009	11	33.803
2009	12	13.172
2010	1	14.635
2010	2	24.033
2010	3	15.859
2010	4	41.641
2010	5	26.118
2010	6	34.504
2010	7	41.032
2010	8	40.18
2010	9	48.767
2010	10	93.84
2010	11	64.717
2010	12	52.821
2011	1	18.465
2011	2	66.507
2011	3	49.737
2011	4	136.709
2011	5	263.126
2011	6	430.588
2011	7	575.853
2011	8	484.858
2011	9	369.253
2011	10	141.634
2011	11	86.022
2011	12	73.058
2012	1	70.2601
2012	2	153.075
2012	3	326.22501
2012	4	338.24899
2012	5	506.427
2012	6	656.68799
2012	7	708.19501
2012	8	261.569
2012	9	98.8739
2012	10	70.9167
2012	11	23.9014
2012	12	11.1325
2013	1	10.8192
2013	2	14.4648
2013	3	25.7612
2013	4	22.775
2013	5	15.9618
2013	6	8.65114
2013	7	18.1569
2013	8	14.3223
2013	9	11.5947
2013	10	5.72394
2013	11	22.6819
2013	12	8.37821
2014	1	10.6961
2014	2	23.2868
2014	3	204.18401
2014	4	494.202
2014	5	1071.06006
2014	6	1387.33997
2014	7	1156.10999
2014	8	1146.41003
2014	9	1024.38
2014	10	731.979
2014	11	397.12601
2014	12	459.85999
2015	1	480.97699
2015	2	709.21002
2015	3	1188.39001
2015	4	1528
2015	5	2586.03003
2015	6	2918.37988
2015	7	3320.90991
2015	8	2498.59009
2015	9	1493.70996
2015	10	764.82703
2015	11	355.61301
2015	12	256.651
2016	1	208.03
2016	2	71.4716
2016	3	82.3222
2016	4	131.01801
2016	5	212.093
2016	6	423.73001
2016	7	583.84003
2016	8	445.63901
2016	9	364.245
2016	10	245.48599
2016	11	90.8939
2016	12	100.178
2017	1	289.69699
2017	2	432.53699
2017	3	482.345
2017	4	599.25403
2017	5	928.41998
2017	6	1808.33997
2017	7	1828.53003
2017	8	1636.14001
2017	9	1067.89001
2017	10	485.14999
2017	11	462.77301
2017	12	870.15698
2018	1	1903.19995
2018	2	3017.71997
2018	3	3144.92993
2018	4	3701.84009
2018	5	4887.18994
2018	6	6092.83984
2018	7	5010.0498
2018	8	2944.52002
2018	9	1423.08997
2018	10	904.77301
2018	11	807.41699
2018	12	1309.12
