#The monthly mean Sargassum biomass in Caribbean Sea and Central Atlantic Ocean from 2011 to 2018
Year	Month	Mean_biomass(million tons)
2011	1	0
2011	2	0
2011	3	0
2011	4	0.332933538
2011	5	0.7736442
2011	6	1.327613293
2011	7	1.769181333
2011	8	1.548691167
2011	9	1.15650506
2011	10	0.36780414
2011	11	0.224985072
2011	12	0.213580976
2012	1	0.234668734
2012	2	0.5112705
2012	3	1.089591533
2012	4	1.129751627
2012	5	1.69146618
2012	6	2.193337887
2012	7	2.365371333
2012	8	0.87364046
2012	9	0.330238826
2012	10	0.236861778
2012	11	0.079830676
2012	12	0.03718255
2013	1	0.036136128
2013	2	0.048312432
2013	3	0.086042408
2013	4	0.0760685
2013	5	0.053312412
2013	6	0.028894808
2013	7	0.060644046
2013	8	0.047836482
2013	9	0.038726298
2013	10	0.01911796
2013	11	0.075757546
2013	12	0.027983221
2014	1	0.035724974
2014	2	0.077777912
2014	3	0.681974593
2014	4	1.65063468
2014	5	3.5773406
2014	6	4.6337155
2014	7	3.861407367
2014	8	3.8290095
2014	9	3.4214292
2014	10	2.44480986
2014	11	1.326400873
2014	12	1.535932367
2015	1	1.606463147
2015	2	2.368761467
2015	3	3.969222633
2015	4	5.10352
2015	5	8.6373403
2015	6	9.747388799
2015	7	11.0918391
2015	8	8.345290901
2015	9	4.988991266
2015	10	2.55452228
2015	11	1.187747453
2015	12	0.85721434
2016	1	0.6948202
2016	2	0.238715144
2016	3	0.274956148
2016	4	0.437600153
2016	5	0.70839062
2016	6	1.415258233
2016	7	1.9500257
2016	8	1.488434293
2016	9	1.2165783
2016	10	0.819923207
2016	11	0.303585626
2016	12	0.33459452
2017	1	0.967587947
2017	2	1.444673547
2017	3	1.6110323
2017	4	2.00150846
2017	5	3.100922733
2017	6	6.0398555
2017	7	6.1072903
2017	8	5.464707633
2017	9	3.566752633
2017	10	1.620400967
2017	11	1.545661853
2017	12	2.906324313
2018	1	6.356687833
2018	2	10.0791847
2018	3	10.50406597
2018	4	12.3641459
2018	5	16.3232144
2018	6	20.35008507
2018	7	16.73356633
2018	8	9.834696867
2018	9	4.7531205
2018	10	3.021941853
2018	11	2.696772747
2018	12	4.3724608
