Community,PerDis,PopCom,Poverty,LabFrc_rev,HsChr_rev,RetMig,Region,PerDisCat,PopComCat,PovertyCat,LabFrc_revCat,HsChr_rev_Cat,RetMigCat
Anna's Hope Village,-1.176896697,0.99090264,-0.259667405,-0.9170489,-0.870615185,,STX,1,3,1,1,1,
Christiansted,1.301846855,1.444152684,-0.170368898,-0.764263051,0.341214512,,STX,4,4,1,1,2,
East End,-1.698437867,-0.321161465,-0.467717579,-0.967969643,-2.130540715,,STX,1,1,1,1,1,
Frederiksted,0.837638934,1.974876563,0.1670779,-0.382342636,0.387121151,,STX,3,4,2,1,2,
Northcentral,0.26424226,1.229572578,0.337598754,-0.368558321,0.100798071,,STX,2,4,2,1,2,
Sion Farm,-0.452424007,1.223593516,1.420789259,-0.663753628,-0.44302557,,STX,1,4,4,1,1,
Southcentral,0.173472317,1.482803418,0.751435942,-0.338094566,0.096420823,,STX,2,4,3,1,2,
Southwest,0.337343569,1.448786896,0.597807368,-0.157766842,-0.34565704,,STX,2,4,3,1,1,
Central,-1.368875201,0.309238687,-1.092339903,-3.139525421,-1.913672875,,STJ,1,2,1,1,1,
Coral Bay,-0.757670101,0.133811332,-1.066749483,-2.188775351,-1.97989363,,STJ,1,2,1,1,1,
Charlotte Amalie,0.408769519,1.623093418,2.041794226,-1.443009104,0.001318479,,STT,2,4,4,1,2,
East End,-0.447002294,0.973491259,-0.015688822,-2.032965938,-0.941160532,,STT,1,3,1,1,1,
Northside,-1.687407787,0.129369568,-0.245941438,-2.303488256,-2.304720727,,STT,1,2,1,1,1,
Tutu,-0.28251731,1.778627435,0.156103212,-0.645871444,-0.815893603,,STT,1,4,2,1,1,
West End,-1.449026933,0.833301708,-0.583795443,-1.889673987,-1.37419037,,STT,1,3,1,1,1,
Carolina,-0.110854843,2.695812455,0.865721931,0.574207992,0.908201112,,E,1,4,3,3,3,
Cataño,2.453484211,3.424980479,2.498137672,0.591134591,1.276474399,,E,4,4,4,3,4,
Dorado,0.392654795,2.517758481,1.355542351,0.827035851,-0.020524911,,E,2,4,4,3,1,
Guaynabo,-0.094975956,2.244615592,0.814119904,0.009038192,-0.214489543,,E,1,4,3,2,1,
Loíza,1.013028988,3.233907594,2.264068151,0.476485575,1.884196741,,E,4,4,4,2,4,
Luquillo,1.232981647,2.672003549,2.234653573,0.62925987,1.622402107,,E,4,4,4,3,4,
Manatí,1.137373307,2.645219819,2.700561523,1.606988054,1.9054336,,E,4,4,4,4,4,
Río Grande,1.152622229,2.732515254,2.007938463,0.868968197,1.447681922,,E,4,4,4,3,4,
San Juan,0.420795811,2.687289342,1.639229369,0.394891052,0.821240227,,E,2,4,4,2,3,
Toa Baja,0.355842792,2.698261577,1.71416476,0.436562141,0.801013458,,E,2,4,4,2,3,
Vega Alta,1.842169521,2.732802583,2.894681665,1.844853847,1.047595533,,E,4,4,4,4,4,
Vega Baja,1.8717328,2.729194662,2.748812693,2.339881779,0.907036534,,E,4,4,4,4,3,
Ceiba,1.538742352,2.5913295,2.222517548,1.208886454,1.936584722,,E,4,4,4,4,4,
Culebra,-1.63411255,2.617729262,1.344372184,-0.03960046,1.904508336,,E,1,4,4,1,4,
Fajardo,0.769311631,2.823961262,1.898622616,1.339968268,1.594835045,,E,3,4,4,4,4,
Humacao,0.497870952,2.669663041,2.365912139,1.983676494,1.799016451,,E,2,4,4,4,4,
Naguabo,0.660630368,2.43546516,2.860701162,2.027082803,2.090034456,,E,3,4,4,4,4,
Vieques,0.627203058,2.666167542,2.379684436,1.510458588,2.025365021,,E,3,4,4,4,4,
Yabucoa,1.937455788,2.806283026,2.764333474,2.307477969,1.990873598,,E,4,4,4,4,4,
Arroyo,2.734200224,2.806570354,2.843312618,1.674529171,1.865625412,,E,4,4,4,4,4,
Guayama,2.007035959,2.676466666,2.303109199,1.001763886,1.842086023,,E,4,4,4,4,4,
Juana Díaz,1.495313851,2.783307624,2.705719034,0.749415362,1.781767806,,E,4,4,4,3,4,
Maunabo,1.345485091,2.383261649,3.246594736,2.229535468,2.198329816,,E,4,4,4,4,4,
Patillas,2.088023078,2.445459074,3.142223221,2.521004119,2.143654428,,E,4,4,4,4,4,
Salinas,2.448692462,2.949356669,3.559179611,1.423991236,2.130137637,,E,4,4,4,4,4,
Santa Isabel,2.280462423,2.87160131,2.387551908,0.916419673,1.936864593,,E,4,4,4,3,4,
Arecibo,0.286740933,2.655937406,2.404610721,2.211990864,1.372617674,,W,2,4,4,4,4,
Barceloneta,0.8998314,2.669975041,2.676618435,1.924654303,1.336523697,,W,3,4,4,4,4,
Camuy,0.481244152,2.397261862,2.758679171,1.932025391,1.342485856,,W,2,4,4,4,4,
Hatillo,1.323199715,2.629842907,2.565687479,1.522330924,1.242725798,,W,4,4,4,4,4,
Isabela,0.475031438,2.497686039,3.279818168,2.35695378,1.355711868,,W,2,4,4,4,4,
Quebradillas,1.611472616,2.529619137,3.279742835,2.718730311,1.647955129,,W,4,4,4,4,4,
Aguada,2.253897585,2.216448813,2.997094838,1.472876679,1.320637194,,W,4,4,4,4,4,
Aguadilla,1.165634534,2.543903698,2.931218395,2.185523442,1.722998388,,W,4,4,4,4,4,
Añasco,-0.120184972,2.54771257,2.581492771,1.99255699,1.843040664,,W,1,4,4,4,4,
Cabo Rojo,0.092670615,2.295622207,2.558504004,2.028908813,1.897814306,,W,2,4,4,4,4,
Mayagüez,0.94225177,2.562330823,2.674249236,1.913921262,1.681279223,,W,3,4,4,4,4,
Rincón,1.574400396,2.231397389,2.498315121,1.511248382,1.335953048,,W,4,4,4,4,4,
Guánica,2.657434211,2.66456141,3.660103215,2.25910454,1.93110756,,W,4,4,4,4,4,
Guayanilla,1.512389786,2.853064353,2.975665053,2.136359265,1.701346465,,W,4,4,4,4,4,
Lajas,1.208963854,2.582513641,3.035750623,2.942650966,1.773471221,,W,4,4,4,4,4,
Peñuelas,1.121795462,2.955265914,3.328214679,1.787965212,1.521441361,,W,4,4,4,4,4,
Ponce,1.104599316,2.835514115,2.484125492,1.269653877,1.456800476,,W,4,4,4,4,4,
