Indicator,Quality of conditions for coral calcification,,
Unit,Aragonite saturation state for PR sites,,
Year,ESTDate,Aragonite_Sat_W,SEM
2014,5/27/2014,3.92,0.152996878
2014,5/28/2014,3.95,
2014,5/28/2014,4.02,
2014,5/28/2014,4.11,
2014,5/29/2014,4.13,
2014,5/29/2014,3.92,
2014,5/30/2014,3.99,
2014,5/30/2014,3.97,
2014,5/30/2014,3.83,
2014,5/30/2014,4.14,
2014,6/13/2014,3.73,
2014,6/13/2014,3.94,
2014,6/16/2014,3.90,
2014,6/16/2014,3.89,
2014,6/16/2014,3.86,
2014,6/17/2014,3.76,
2014,6/17/2014,3.70,
2014,6/17/2014,3.79,
2014,6/17/2014,3.85,
2014,6/18/2014,3.78,
2014,6/18/2014,3.84,
2014,6/18/2014,3.89,
2014,6/18/2014,3.43,
2014,6/18/2014,3.86,
2014,6/19/2014,3.82,
2014,6/19/2014,3.85,
2014,6/20/2014,3.76,
2014,6/20/2014,3.79,
2014,6/20/2014,3.61,
2014,7/14/2014,3.87,
2014,7/14/2014,3.59,
2014,7/14/2014,3.96,
2014,7/15/2014,3.40,
2014,7/15/2014,3.72,
2014,7/15/2014,3.59,
2014,7/15/2014,4.46,
2014,7/16/2014,3.89,
2014,7/17/2014,3.12,
2014,7/18/2014,3.80,
2014,7/18/2014,3.80,
2014,7/18/2014,3.86,
2014,7/18/2014,3.80,
2014,7/27/2014,3.83,
2014,7/27/2014,3.92,
2014,7/31/2014,3.80,
2014,7/31/2014,3.91,
2014,7/31/2014,3.93,
2014,8/1/2014,3.92,
2014,8/1/2014,3.88,
2014,8/6/2014,3.82,
2014,8/6/2014,3.82,
2014,8/6/2014,3.85,
2014,8/25/2014,3.68,
2014,8/25/2014,3.60,
2014,8/25/2014,3.59,
2014,8/25/2014,3.74,
2014,8/25/2014,3.73,
2014,8/26/2014,3.75,
2014,8/26/2014,3.73,
2014,8/27/2014,3.84,
2014,8/27/2014,3.91,
2014,8/27/2014,3.88,
2014,8/28/2014,3.87,
2014,8/28/2014,3.83,
2014,8/28/2014,3.82,
2014,8/28/2014,3.79,
2014,8/29/2014,3.67,
2014,8/29/2014,3.76,
2014,8/29/2014,3.69,
2014,9/6/2014,3.69,
2014,9/6/2014,3.88,
2014,9/6/2014,3.85,
2014,9/7/2014,3.76,
2014,9/7/2014,3.91,
2014,9/7/2014,4.49,
2014,9/8/2014,3.87,
2014,9/8/2014,3.92,
2014,9/8/2014,4.00,
2014,9/8/2014,3.88,
2014,9/8/2014,4.03,
2016,6/7/2016,3.839,
2016,6/7/2016,4.176,
2016,6/8/2016,3.722,
2016,6/9/2016,3.846,
2016,6/9/2016,3.759,
2016,6/9/2016,3.762,
2016,6/9/2016,3.798,
2016,6/10/2016,4.061,
2016,6/10/2016,3.645,
2016,6/13/2016,3.786,
2016,6/14/2016,3.858,
2016,6/15/2016,3.975,
2016,6/15/2016,4.096,
2016,6/16/2016,3.636,
2016,6/17/2016,3.891,
2016,6/21/2016,-9.000,
2016,6/23/2016,-9.000,
2016,6/23/2016,-9.000,
2016,6/23/2016,-9.000,
2016,7/13/2016,3.877,
2016,7/17/2016,4.115,
2016,7/17/2016,4.013,
2016,7/18/2016,4.027,
2016,7/18/2016,3.824,
2016,7/18/2016,3.766,
2016,7/18/2016,3.960,
2016,7/19/2016,3.817,
2016,7/19/2016,3.855,
2016,7/19/2016,3.882,
2016,7/20/2016,3.815,
2016,7/21/2016,3.681,
2016,7/21/2016,3.904,
2016,7/21/2016,4.014,
2016,7/22/2016,3.822,
2016,7/27/2016,3.827,
2016,7/27/2016,3.870,
2016,7/27/2016,3.833,
2016,7/28/2016,3.808,
2016,7/28/2016,3.810,
2016,8/4/2016,3.617,
2016,8/4/2016,3.817,
2016,8/11/2016,3.795,
2016,8/11/2016,3.988,
2016,8/12/2016,4.044,
2016,8/12/2016,4.010,
2016,8/17/2016,3.714,
2016,8/17/2016,3.459,
2016,8/18/2016,3.747,
2016,8/22/2016,3.861,
2016,8/22/2016,3.714,
2016,8/23/2016,3.708,
2016,8/23/2016,3.876,
2016,8/23/2016,3.868,
2016,8/29/2016,3.999,
2016,8/31/2016,3.923,
2016,8/31/2016,4.009,
2016,8/31/2016,3.960,
2016,9/1/2016,3.766,
2016,9/8/2016,3.725,
2016,9/8/2016,3.611,
2016,9/9/2016,4.005,
2016,9/12/2016,3.891,
2016,9/12/2016,3.670,
2016,9/13/2016,3.942,
2016,9/15/2016,3.930,
2016,10/13/2016,3.790,
2016,10/13/2016,3.822,
2016,10/13/2016,3.719,
2016,10/13/2016,4.162,
2016,10/13/2016,3.757,
2016,10/13/2016,3.853,
2019,07/19/2019,1.51,
2019,07/21/2019,1.63,
2019,07/24/2019,1.51,
2019,07/25/2019,1.63,
2019,07/25/2019,1.69,
2019,07/26/2019,1.67,
2019,07/26/2019,1.79,
2019,08/21/2019,0.95,
2019,09/06/2019,1.31,
2019,09/07/2019,1.48,
2019,09/12/2019,1.52,
2019,09/12/2019,1.55,
2019,09/13/2019,1.56,
2019,09/14/2019,1.50,
2019,09/15/2019,1.52,
2019,09/15/2019,1.46,
2019,09/15/2019,1.57,
2019,10/06/2019,1.49,
2019,11/15/2019,1.23,
2019,11/16/2019,1.27,
2019,11/18/2019,1.38,
2019,11/19/2019,1.41,
2019,12/15/2019,1.39,
2019,12/15/2019,1.40,
2019,12/19/2019,1.45,
2019,12/20/2019,1.46,
2019,12/20/2019,1.18,
2019,12/29/2019,1.30,
