Indicator,Quality of conditions for coral calcification,,,
Unit,Aragonite saturation state in USVI NCRMP sites,,,
Location,Year,ESTDate,Aragonite_Sat_W,SEM
STT,2013,7/8/2013,4.00,0.010100401
STT,2013,7/8/2013,4.00,
STT,2013,7/8/2013,3.99,
STT,2013,7/8/2013,4.10,
STT,2013,7/9/2013,3.87,
STT,2013,7/9/2013,4.05,
STT,2013,7/9/2013,3.96,
STT,2013,7/9/2013,3.80,
STT,2013,7/10/2013,3.85,
STT,2013,7/10/2013,4.65,
STT,2013,7/10/2013,3.78,
STT,2013,7/11/2013,3.95,
STT,2013,7/11/2013,3.81,
STT,2013,7/11/2013,4.11,
STT,2013,7/11/2013,3.77,
STT,2013,7/11/2013,3.80,
STT,2013,7/12/2013,3.93,
STT,2013,7/12/2013,3.71,
STT,2013,7/12/2013,3.84,
STT,2013,7/12/2013,3.77,
STT,2013,7/12/2013,3.92,
STT,2013,7/12/2013,3.86,
STT,2013,7/13/2013,3.95,
STT,2013,7/13/2013,3.81,
STT,2013,7/13/2013,3.81,
STT,2013,7/13/2013,3.81,
STT,2013,7/13/2013,3.80,
STJ,2013,7/15/2013,3.83,
STJ,2013,7/15/2013,4.01,
STJ,2013,7/15/2013,3.81,
STJ,2013,7/15/2013,3.72,
STJ,2013,7/15/2013,3.99,
STJ,2013,7/15/2013,3.93,
STJ,2013,7/15/2013,3.95,
STJ,2013,7/15/2013,4.04,
STJ,2013,7/15/2013,3.98,
STJ,2013,7/15/2013,3.95,
STJ,2013,7/15/2013,4.15,
STT,2013,7/15/2013,3.96,
STJ,2013,7/16/2013,3.88,
STJ,2013,7/16/2013,3.85,
STJ,2013,7/16/2013,3.81,
STJ,2013,7/16/2013,3.79,
STJ,2013,7/17/2013,4.01,
STJ,2013,7/17/2013,3.78,
STJ,2013,7/17/2013,3.80,
STJ,2013,7/17/2013,3.90,
STJ,2013,7/17/2013,3.80,
STJ,2013,7/17/2013,3.80,
STJ,2013,7/17/2013,3.81,
STJ,2013,7/17/2013,3.75,
STJ,2013,7/17/2013,3.79,
STJ,2013,7/18/2013,3.68,
STJ,2013,7/18/2013,3.80,
STJ,2013,7/18/2013,3.89,
STJ,2013,7/18/2013,3.69,
STJ,2013,7/18/2013,4.01,
STJ,2013,7/18/2013,3.67,
STJ,2013,7/18/2013,3.89,
STJ,2013,7/18/2013,3.83,
STJ,2013,7/18/2013,3.74,
STJ,2013,7/18/2013,3.93,
STJ,2013,7/19/2013,3.85,
STJ,2013,7/19/2013,3.91,
STJ,2013,7/19/2013,3.97,
STJ,2013,7/19/2013,3.91,
STJ,2013,7/19/2013,3.99,
STJ,2013,7/19/2013,3.84,
STJ,2013,7/19/2013,3.97,
STJ,2013,7/19/2013,3.84,
STX,2015,6/10/2015,3.692,
STX,2015,6/10/2015,3.701,
STX,2015,6/10/2015,3.760,
STX,2015,6/11/2015,3.742,
STX,2015,6/11/2015,3.785,
STX,2015,6/11/2015,3.769,
STX,2015,6/11/2015,4.088,
STX,2015,6/11/2015,3.837,
STX,2015,6/12/2015,3.700,
STX,2015,6/12/2015,3.815,
STX,2015,6/12/2015,3.569,
STX,2015,6/12/2015,3.792,
STX,2015,6/12/2015,3.772,
STX,2015,6/12/2015,3.881,
STX,2015,6/12/2015,3.751,
STX,2015,6/12/2015,3.616,
STX,2015,6/12/2015,3.860,
STX,2015,6/15/2015,3.918,
STX,2015,6/15/2015,3.754,
STX,2015,6/15/2015,3.894,
STX,2015,6/15/2015,3.652,
STX,2015,6/15/2015,3.709,
STX,2015,6/17/2015,3.766,
STX,2015,6/17/2015,NA,
STX,2015,6/18/2015,NA,
STX,2015,6/18/2015,3.924,
STX,2015,6/18/2015,4.014,
STX,2015,6/19/2015,3.967,
STX,2015,6/19/2015,3.778,
STX,2015,6/19/2015,3.657,
STX,2015,6/19/2015,3.744,
STX,2015,6/19/2015,3.790,
STX,2015,6/19/2015,3.853,
STX,2015,6/19/2015,3.859,
STX,2015,6/19/2015,3.902,
STX,2015,6/19/2015,3.880,
STX,2015,6/19/2015,3.838,
STX,2015,6/19/2015,3.830,
STX,2015,6/19/2015,3.914,
STX,2015,6/19/2015,3.977,
STX,2015,6/19/2015,4.036,
STT,2015,7/13/2015,3.782,
STT,2015,7/13/2015,3.765,
STT,2015,7/13/2015,3.774,
STT,2015,7/13/2015,3.842,
STT,2015,7/13/2015,3.893,
STT,2015,7/14/2015,3.903,
STT,2015,7/14/2015,3.948,
STT,2015,7/14/2015,3.874,
STT,2015,7/14/2015,3.957,
STT,2015,7/14/2015,3.804,
STT,2015,7/14/2015,3.877,
STT,2015,7/14/2015,3.894,
STT,2015,7/14/2015,4.040,
STT,2015,7/15/2015,3.949,
STT,2015,7/15/2015,4.156,
STT,2015,7/15/2015,3.865,
STT,2015,7/15/2015,4.005,
STT,2015,7/15/2015,3.968,
STT,2015,7/15/2015,3.943,
STT,2015,7/15/2015,4.109,
STT,2015,7/15/2015,3.819,
STT,2015,7/16/2015,3.832,
STT,2015,7/16/2015,3.739,
STT,2015,7/16/2015,3.818,
STT,2015,7/16/2015,4.145,
STT,2015,7/16/2015,3.818,
STT,2015,7/16/2015,3.866,
STT,2015,7/16/2015,4.035,
STT,2015,7/16/2015,4.122,
STT,2015,7/16/2015,3.802,
STT,2015,7/16/2015,3.745,
STT,2015,7/17/2015,3.699,
STT,2015,7/17/2015,3.740,
STT,2015,7/17/2015,3.702,
STT,2015,7/17/2015,3.642,
STT,2015,7/17/2015,4.055,
STT,2015,7/20/2015,3.730,
STT,2015,7/20/2015,3.731,
STT,2015,7/20/2015,N/A,
STT,2015,7/21/2015,3.698,
STT,2015,7/21/2015,3.961,
STT,2015,7/21/2015,3.733,
STT,2015,7/21/2015,3.668,
STT,2015,7/21/2015,3.951,
STT,2015,7/21/2015,3.739,
STT,2015,7/21/2015,3.783,
STT,2015,7/21/2015,3.536,
STT,2015,7/21/2015,3.734,
STT,2015,7/21/2015,3.757,
STT,2015,7/22/2015,3.927,
STT,2015,7/22/2015,3.779,
STT,2015,7/22/2015,3.814,
STT,2015,7/22/2015,3.875,
STT,2015,7/23/2015,3.703,
STT,2015,7/23/2015,3.750,
STT,2015,7/23/2015,3.746,
STT,2015,7/23/2015,4.235,
STX,2017,6/13/2017,4.029,
STX,2017,6/13/2017,4.123,
STX,2017,6/13/2017,3.892,
STX,2017,6/13/2017,3.849,
STX,2017,6/13/2017,3.889,
STX,2017,6/13/2017,4.030,
STX,2017,6/13/2017,3.845,
STX,2017,6/13/2017,3.814,
STX,2017,6/14/2017,3.904,
STX,2017,6/14/2017,3.876,
STX,2017,6/14/2017,3.710,
STX,2017,6/14/2017,3.953,
STX,2017,6/14/2017,3.730,
STX,2017,6/14/2017,4.093,
STX,2017,6/14/2017,4.028,
STX,2017,6/15/2017,3.889,
STX,2017,6/15/2017,3.961,
STX,2017,6/15/2017,3.874,
STX,2017,6/15/2017,3.840,
STX,2017,6/15/2017,3.962,
STX,2017,6/15/2017,4.128,
STX,2017,6/22/2017,3.687,
STX,2017,6/22/2017,3.859,
STX,2017,6/23/2017,3.962,
STX,2017,6/23/2017,3.744,
STX,2017,6/23/2017,3.733,
STX,2017,6/23/2017,3.832,
STX,2017,6/23/2017,3.717,
STT,2017,7/24/2017,3.781,
STT,2017,7/24/2017,3.735,
STJ,2017,7/25/2017,3.712,
STJ,2017,7/25/2017,3.658,
STT,2017,7/25/2017,3.684,
STJ,2017,7/25/2017,3.680,
STT,2017,7/25/2017,3.549,
STT,2017,7/25/2017,3.653,
STJ,2017,7/25/2017,3.604,
STT,2017,7/25/2017,3.634,
STT,2017,7/25/2017,3.663,
STT,2017,7/25/2017,3.679,
STJ,2017,7/26/2017,3.750,
STT,2017,7/26/2017,3.586,
STT,2017,7/26/2017,3.534,
STT,2017,7/27/2017,3.474,
STJ,2017,7/27/2017,3.675,
STT,2017,7/27/2017,3.680,
STJ,2017,7/27/2017,3.622,
STT,2017,7/27/2017,3.627,
STT,2017,7/27/2017,3.614,
STT,2017,7/27/2017,3.587,
STJ,2017,7/27/2017,3.751,
STJ,2017,7/27/2017,4.170,
STT,2017,7/28/2017,3.593,
STT,2017,7/28/2017,3.711,
STJ,2017,7/31/2017,3.715,
STT,2017,7/31/2017,3.467,
STJ,2017,7/31/2017,3.678,
STT,2017,7/31/2017,3.514,
STJ,2017,7/31/2017,3.678,
STJ,2017,7/31/2017,3.654,
STJ,2017,8/1/2017,3.580,
STT,2017,8/1/2017,3.721,
STT,2017,8/1/2017,3.185,
STJ,2017,8/1/2017,3.672,
STJ,2017,8/1/2017,3.613,
STT,2017,8/1/2017,3.483,
STT,2017,8/1/2017,3.387,
STT,2017,8/1/2017,3.645,
STT,2017,8/2/2017,3.467,
STJ,2017,8/2/2017,3.675,
STJ,2017,8/2/2017,3.548,
STT,2017,8/2/2017,3.598,
STJ,2017,8/2/2017,3.638,
STT,2017,8/2/2017,3.540,
STJ,2017,8/2/2017,3.660,
STT,2017,8/3/2017,3.527,
STJ,2017,8/3/2017,3.596,
STT,2017,8/3/2017,3.415,
STT,2017,8/3/2017,3.709,
STJ,2017,8/3/2017,3.678,
STJ,2017,8/4/2017,3.464,
STT,2017,8/4/2017,3.417,
STJ,2017,8/4/2017,3.445,
STT,2017,8/16/2017,3.494,
STT,2017,8/17/2017,3.415,
STT,2017,8/17/2017,3.390,
STT,2017,8/17/2017,3.422,
STT,2017,8/17/2017,3.553,
STT,2017,8/18/2017,3.365,
STT,2017,8/18/2017,3.389,
STX,2019,6/3/2019,3.884,
STX,2019,6/5/2019,3.826,
STX,2019,6/5/2019,3.849,
STX,2019,6/5/2019,3.490,
STX,2019,6/5/2019,3.642,
STX,2019,6/5/2019,3.840,
STX,2019,6/6/2019,3.738,
STX,2019,6/6/2019,3.840,
STX,2019,6/6/2019,3.587,
STX,2019,6/6/2019,3.844,
STX,2019,6/6/2019,3.645,
STX,2019,6/6/2019,3.754,
STX,2019,6/7/2019,3.814,
STX,2019,6/7/2019,3.797,
STX,2019,6/7/2019,3.831,
STX,2019,6/7/2019,3.820,
STX,2019,6/7/2019,3.874,
STX,2019,6/7/2019,3.596,
STX,2019,6/10/2019,3.696,
STX,2019,6/10/2019,3.676,
STX,2019,6/10/2019,3.638,
STX,2019,6/10/2019,3.708,
STX,2019,6/10/2019,3.568,
STX,2019,6/10/2019,4.113,
STX,2019,6/11/2019,3.654,
STX,2019,6/11/2019,3.554,
STX,2019,6/11/2019,3.607,
STX,2019,6/11/2019,3.308,
STX,2019,6/11/2019,3.754,
STX,2019,6/12/2019,3.576,
STX,2019,6/12/2019,3.660,
STX,2019,6/12/2019,3.619,
STX,2019,6/12/2019,3.658,
STX,2019,6/12/2019,3.695,
STX,2019,6/12/2019,3.690,
STX,2019,6/13/2019,3.653,
STX,2019,6/13/2019,3.701,
STX,2019,6/13/2019,3.685,
STX,2019,6/13/2019,3.779,
STX,2019,6/13/2019,3.811,
STX,2019,6/14/2019,3.565,
STX,2019,6/14/2019,3.688,
STX,2019,6/14/2019,3.651,
STX,2019,6/14/2019,3.668,
STX,2019,6/14/2019,3.736,
STX,2019,6/14/2019,3.697,
STX,2019,9/9/2019,3.488,
STX,2019,9/9/2019,3.246,
STX,2019,9/9/2019,3.410,
STX,2019,9/9/2019,3.330,
STX,2019,9/10/2019,3.483,
STX,2019,9/10/2019,3.727,
STX,2019,9/10/2019,3.827,
STX,2019,9/10/2019,3.850,
STX,2019,9/10/2019,3.829,
STX,2019,9/10/2019,3.349,
STX,2019,9/11/2019,3.663,
STX,2019,9/11/2019,3.792,
STX,2019,9/11/2019,3.840,
STX,2019,9/11/2019,3.726,
STX,2019,9/11/2019,3.714,
STX,2019,9/12/2019,3.611,
STX,2019,9/12/2019,3.650,
STX,2019,9/12/2019,3.545,
STX,2019,9/12/2019,3.664,
STX,2019,9/12/2019,3.541,
