indicator,Puerto Rico,USVI
unit,dollars,dollars
1960,1691900000,
1961,1865100000,
1962,2094400000,
1963,2333600000,
1964,2570500000,
1965,2881500000,
1966,3170500000,
1967,3532700000,
1968,3941700000,
1969,4460700000,
1970,5034700000,
1971,5646800000,
1972,6328900000,
1973,7002400000,
1974,7684800000,
1975,8198300000,
1976,8968600000,
1977,9910900000,
1978,11165000000,
1979,12750000000,
1980,14436100000,
1981,15955700000,
1982,16764200000,
1983,17276600000,
1984,19162600000,
1985,20289200000,
1986,22009300000,
1987,24025800000,
1988,26385800000,
1989,28161200000,
1990,30603919000,
1991,32287031000,
1992,34630430000,
1993,36922456000,
1994,39690630000,
1995,42647331000,
1996,45340835000,
1997,48187039000,
1998,54086400000,
1999,57841000000,
2000,61701800000,
2001,69208400000,
2002,71623500000,3262000000
2003,74827400000,3443000000
2004,80322313000,3797000000
2005,83914521300,4428000000
2006,87276164400,4484000000
2007,89524131600,4784000000
2008,93639300000,4244000000
2009,96385600000,4201000000
2010,98381300000,4324000000
2011,1.00E+11,4223000000
2012,1.02E+11,4089000000
2013,1.02E+11,3738000000
2014,1.02E+11,3565000000
2015,1.03E+11,3663000000
2016,1.04E+11,3798000000
2017,1.03E+11,3794000000
2018,1.01E+11,3923000000
2019,1.05E+11,4121000000
2020,1.03E+11,4189000000
2021,1.06E+11,4444000000
2022,1.13E+11,
