indicator,establishments,employees,wages,wages
unit,places of work,people,dollars,millions dollars
1992,65,458,11054008,11.054008
1993,66,473,11773500,11.7735
1994,62,490,12354632,12.354632
1995,65,464,12603023,12.603023
1996,62,434,12971762,12.971762
1997,62,456,13153841,13.153841
1998,65,476,13517142,13.517142
1999,60,474,13115832,13.115832
2000,58,523,14373887,14.373887
2001,113,4598,98721762,98.721762
2002,109,4329,98162598,98.162598
2003,61,490,14427103,14.427103
2004,137,4525,114457625,114.457625
2005,149,4487,117418958,117.418958
2006,153,4584,125537649,125.537649
2007,160,4564,133995873,133.995873
2008,164,4744,143437532,143.437532
2009,163,4274,123056330,123.05633
2010,153,4174,126690018,126.690018
2011,404,6746,165657085,165.657085
2012,391,6680,171127781,171.127781
2013,387,6571,172087412,172.087412
2014,398,6658,178260769,178.260769
2015,388,6928,195858872,195.858872
2016,410,7077,197997548,197.997548
2017,426,6328,186793586,186.793586
2018,435,3812,110725668,110.725668
2019,456,5538,206231654,206.231654
2020,474,4449,128894026,128.894026
