Indicator,Maximum Monthly Mean Sea Surface Temperature
Units,Degrees Celsius (°C)
Extent,Puerto Rico
Jan-85,26.24322581
Feb-85,26.02785714
Mar-85,26.23387097
Apr-85,26.687
May-85,27.4083871
Jun-85,27.99866667
Jul-85,28.57677419
Aug-85,29.00709677
Sep-85,28.97533333
Oct-85,28.54741935
Nov-85,27.79166667
Dec-85,27.07645161
Jan-86,26.56193548
Feb-86,26.075
Mar-86,26.28129032
Apr-86,26.93333333
May-86,27.63903226
Jun-86,28.008
Jul-86,28.11129032
Aug-86,28.73580645
Sep-86,28.60866667
Oct-86,28.64548387
Nov-86,28.38733333
Dec-86,27.37677419
Jan-87,26.73064516
Feb-87,26.57714286
Mar-87,26.83741935
Apr-87,27.49633333
May-87,28.49967742
Jun-87,28.872
Jul-87,28.77451613
Aug-87,29.39129032
Sep-87,29.73866667
Oct-87,29.41516129
Nov-87,29.23766667
Dec-87,28.28225806
Jan-88,27.33548387
Feb-88,26.62896552
Mar-88,26.82516129
Apr-88,27.38633333
May-88,28.18741935
Jun-88,28.81766667
Jul-88,29.23096774
Aug-88,28.96193548
Sep-88,28.942
Oct-88,28.62935484
Nov-88,28.51466667
Dec-88,27.44903226
Jan-89,26.38193548
Feb-89,26.01142857
Mar-89,26.04709677
Apr-89,26.761
May-89,27.32322581
Jun-89,27.85033333
Jul-89,28.53032258
Aug-89,29.03419355
Sep-89,29.047
Oct-89,28.65903226
Nov-89,28.54133333
Dec-89,27.60129032
Jan-90,27.1083871
Feb-90,26.24035714
Mar-90,26.06193548
Apr-90,26.74766667
May-90,27.52129032
Jun-90,27.937
Jul-90,28.34741935
Aug-90,28.92419355
Sep-90,29.36266667
Oct-90,29.40870968
Nov-90,28.62666667
Dec-90,27.61806452
Jan-91,26.6783871
Feb-91,26.42464286
Mar-91,26.56548387
Apr-91,26.69233333
May-91,27.79612903
Jun-91,28.02766667
Jul-91,28.18774194
Aug-91,28.78870968
Sep-91,28.97066667
Oct-91,28.91451613
Nov-91,28.10366667
Dec-91,26.90225806
Jan-92,26.56064516
Feb-92,26.14344828
Mar-92,26.4983871
Apr-92,27.301
May-92,27.67193548
Jun-92,28.234
Jul-92,28.47419355
Aug-92,28.59967742
Sep-92,28.734
Oct-92,29.00709677
Nov-92,28.709
Dec-92,27.69064516
Jan-93,26.76677419
Feb-93,26.48178571
Mar-93,26.46774194
Apr-93,27.55833333
May-93,27.97258065
Jun-93,28.78233333
Jul-93,28.47419355
Aug-93,28.58193548
Sep-93,28.93766667
Oct-93,28.79677419
Nov-93,28.37433333
Dec-93,27.10032258
Jan-94,26.72870968
Feb-94,26.46142857
Mar-94,26.64548387
Apr-94,26.861
May-94,27.78741935
Jun-94,28.58
Jul-94,28.01548387
Aug-94,28.50225806
Sep-94,28.80733333
Oct-94,28.92935484
Nov-94,28.42033333
Dec-94,27.71677419
Jan-95,26.81483871
Feb-95,26.81571429
Mar-95,26.53129032
Apr-95,26.845
May-95,27.81419355
Jun-95,28.67133333
Jul-95,28.9916129
Aug-95,29.36032258
Sep-95,29.32833333
Oct-95,28.96483871
Nov-95,28.54933333
Dec-95,27.92064516
Jan-96,27.28451613
Feb-96,26.80689655
Mar-96,26.97870968
Apr-96,27.23966667
May-96,27.22677419
Jun-96,28.33566667
Jul-96,27.9883871
Aug-96,28.58612903
Sep-96,29.05866667
Oct-96,28.94
Nov-96,28.218
Dec-96,26.90870968
Jan-97,26.6516129
Feb-97,26.3275
Mar-97,26.00290323
Apr-97,26.69266667
May-97,27.68
Jun-97,28.13133333
Jul-97,28.60064516
Aug-97,28.86322581
Sep-97,29.252
Oct-97,29.30290323
Nov-97,28.70433333
Dec-97,28.23774194
Jan-98,27.61548387
Feb-98,27.24142857
Mar-98,27.04935484
Apr-98,27.437
May-98,28.46225806
Jun-98,29.12766667
Jul-98,28.98612903
Aug-98,29.58548387
Sep-98,29.62033333
Oct-98,29.34967742
Nov-98,28.871
Dec-98,27.66096774
Jan-99,27.00806452
Feb-99,26.24285714
Mar-99,26.54645161
Apr-99,27.323
May-99,28.02967742
Jun-99,28.72633333
Jul-99,28.66193548
Aug-99,29.34129032
Sep-99,29.785
Oct-99,29.22354839
Nov-99,28.42966667
Dec-99,27.10096774
Jan-00,26.55064516
Feb-00,26.05
Mar-00,25.80967742
Apr-00,26.53866667
May-00,27.68322581
Jun-00,27.90966667
Jul-00,28.40129032
Aug-00,29.05032258
Sep-00,29.35633333
Oct-00,29.22903226
Nov-00,28.69133333
Dec-00,27.50516129
Jan-01,26.79774194
Feb-01,26.28857143
Mar-01,26.32096774
Apr-01,26.89366667
May-01,27.53354839
Jun-01,28.21266667
Jul-01,28.65548387
Aug-01,29.03419355
Sep-01,29.54933333
Oct-01,29.26129032
Nov-01,28.67666667
Dec-01,27.94129032
Jan-02,27.48322581
Feb-02,26.81035714
Mar-02,26.49903226
Apr-02,27.032
May-02,27.66935484
Jun-02,28.02766667
Jul-02,28.48451613
Aug-02,29.22258065
Sep-02,29.42866667
Oct-02,29.22645161
Nov-02,28.89966667
Dec-02,28.01
Jan-03,27.33774194
Feb-03,26.9875
Mar-03,27.04225806
Apr-03,27.685
May-03,28.16967742
Jun-03,28.17933333
Jul-03,28.10677419
Aug-03,28.89806452
Sep-03,29.52833333
Oct-03,29.66419355
Nov-03,28.873
Dec-03,27.85322581
Jan-04,27.05
Feb-04,26.84827586
Mar-04,26.65483871
Apr-04,27.47833333
May-04,27.61096774
Jun-04,28.433
Jul-04,28.69
Aug-04,29.06483871
Sep-04,29.278
Oct-04,29.44645161
Nov-04,28.33066667
Dec-04,27.50709677
Jan-05,26.86677419
Feb-05,26.30821429
Mar-05,27.00193548
Apr-05,28.04866667
May-05,28.75612903
Jun-05,29.21
Jul-05,29.30516129
Aug-05,29.70516129
Sep-05,30.20766667
Oct-05,29.66096774
Nov-05,28.97066667
Dec-05,27.91677419
Jan-06,27.2483871
Feb-06,26.74964286
Mar-06,26.76225806
Apr-06,27.55566667
May-06,28.36322581
Jun-06,28.92733333
Jul-06,28.79032258
Aug-06,29.15225806
Sep-06,29.782
Oct-06,29.67677419
Nov-06,29.28633333
Dec-06,28.35741935
Jan-07,27.42322581
Feb-07,26.98928571
Mar-07,27.09612903
Apr-07,27.61566667
May-07,28.57967742
Jun-07,28.96466667
Jul-07,28.98290323
Aug-07,29.14774194
Sep-07,29.452
Oct-07,29.29612903
Nov-07,28.54333333
Dec-07,27.77096774
Jan-08,27.06903226
Feb-08,26.51827586
Mar-08,26.46322581
Apr-08,26.74033333
May-08,27.83387097
Jun-08,28.37066667
Jul-08,28.66032258
Aug-08,29.39451613
Sep-08,29.51
Oct-08,29.12806452
Nov-08,28.68766667
Dec-08,27.4116129
Jan-09,26.68387097
Feb-09,26.43107143
Mar-09,26.11677419
Apr-09,26.75333333
May-09,27.42741935
Jun-09,28.516
Jul-09,29.1383871
Aug-09,29.14741935
Sep-09,29.55566667
Oct-09,29.51322581
Nov-09,29.06033333
Dec-09,28.36064516
Jan-10,27.66096774
Feb-10,27.30821429
Mar-10,27.80032258
Apr-10,28.015
May-10,28.84806452
Jun-10,29.26666667
Jul-10,29.28580645
Aug-10,29.97548387
Sep-10,29.9
Oct-10,29.59741935
Nov-10,28.665
Dec-10,27.60677419
Jan-11,26.76516129
Feb-11,26.64928571
Mar-11,26.52870968
Apr-11,27.26566667
May-11,27.91258065
Jun-11,28.991
Jul-11,28.87935484
Aug-11,29.27258065
Sep-11,29.64133333
Oct-11,29.55451613
Nov-11,28.91533333
Dec-11,28.11709677
Jan-12,27.19225806
Feb-12,26.63068966
Mar-12,26.65967742
Apr-12,27.52866667
May-12,28.19387097
Jun-12,29.037
Jul-12,29.05548387
Aug-12,29.03032258
Sep-12,29.63366667
Oct-12,29.45096774
Nov-12,29.15133333
Dec-12,28.27967742
Jan-13,27.51129032
Feb-13,26.75428571
Mar-13,26.68032258
Apr-13,27.38866667
May-13,28.21677419
Jun-13,28.00433333
Jul-13,28.5883871
Aug-13,29.16129032
Sep-13,29.396
Oct-13,29.55548387
Nov-13,28.786
Dec-13,27.74032258
Jan-14,27.14516129
Feb-14,26.83071429
Mar-14,26.97096774
Apr-14,27.43233333
May-14,27.97451613
Jun-14,28.13533333
Jul-14,28.53451613
Aug-14,28.84032258
Sep-14,29.2
Oct-14,29.48225806
Nov-14,28.96133333
Dec-14,27.90935484
Jan-15,27.18612903
Feb-15,27.16107143
Mar-15,27.03387097
Apr-15,27.21166667
May-15,27.77354839
Jun-15,28.26633333
Jul-15,28.28516129
Aug-15,28.89225806
Sep-15,29.53233333
Oct-15,29.68677419
Nov-15,28.92266667
Dec-15,27.98741935
Jan-16,27.34225806
Feb-16,27.11551724
Mar-16,27.11129032
Apr-16,27.64633333
May-16,28.22451613
Jun-16,28.58233333
Jul-16,28.88645161
Aug-16,29.32451613
Sep-16,29.61066667
Oct-16,29.45322581
Nov-16,29.19333333
Dec-16,28.40548387
Jan-17,27.3616129
Feb-17,27
Mar-17,26.94612903
Apr-17,27.76266667
May-17,28.07419355
Jun-17,28.75166667
Jul-17,29.17
Aug-17,29.57645161
Sep-17,29.588
Oct-17,29.23032258
Nov-17,28.84533333
Dec-17,28.26741935
Jan-18,27.41354839
Feb-18,26.72107143
Mar-18,26.76032258
Apr-18,27.38266667
May-18,27.65903226
Jun-18,28.339
Jul-18,28.52870968
Aug-18,28.88290323
Sep-18,29.21766667
Oct-18,28.9816129
Nov-18,28.60766667
Dec-18,27.74645161
Jan-19,26.86709677
Feb-19,26.63
Mar-19,26.70935484
Apr-19,27.31766667
May-19,27.81258065
Jun-19,28.64566667
Jul-19,28.91354839
Aug-19,29.34967742
Sep-19,29.83866667
Oct-19,29.78903226
Nov-19,29.198
Dec-19,28.45354839
Jan-20,27.61483871
Feb-20,27.2337931
Mar-20,27.22774194
Apr-20,28.117
May-20,28.56451613
Jun-20,29.254
Jul-20,29.46032258
Aug-20,29.60387097
Sep-20,29.95733333
Oct-20,29.57290323
Nov-20,28.74966667
Dec-20,28.01967742
Jan-21,27.32193548
Feb-21,26.93857143
Mar-21,26.85516129
Apr-21,27.38733333
May-21,27.99774194
Jun-21,28.365
Jul-21,28.69774194
Aug-21,29.18354839
Sep-21,29.85933333
Oct-21,29.70870968
Nov-21,29.06518519
