Indicator,Minimum Monthly Mean Sea Surface Temperature
Units,Degrees Celsius (°C)
Extent,Puerto Rico
Jan-85,25.58290323
Feb-85,25.40321429
Mar-85,25.48064516
Apr-85,25.79866667
May-85,26.51
Jun-85,27.05033333
Jul-85,27.64258065
Aug-85,27.96096774
Sep-85,28.02866667
Oct-85,27.66612903
Nov-85,26.936
Dec-85,26.13645161
Jan-86,25.62612903
Feb-86,25.37607143
Mar-86,25.34387097
Apr-86,26.04066667
May-86,26.62451613
Jun-86,26.86633333
Jul-86,27.13548387
Aug-86,27.81612903
Sep-86,27.673
Oct-86,27.96419355
Nov-86,27.52066667
Dec-86,26.62419355
Jan-87,26.17451613
Feb-87,26.02357143
Mar-87,26.00903226
Apr-87,26.631
May-87,27.19193548
Jun-87,27.80666667
Jul-87,27.73516129
Aug-87,28.3416129
Sep-87,28.994
Oct-87,28.61354839
Nov-87,28.392
Dec-87,27.37193548
Jan-88,26.44
Feb-88,25.78482759
Mar-88,25.89548387
Apr-88,26.38866667
May-88,27.07903226
Jun-88,27.73766667
Jul-88,28.1216129
Aug-88,27.89193548
Sep-88,27.99333333
Oct-88,27.97354839
Nov-88,27.62033333
Dec-88,26.51580645
Jan-89,25.45354839
Feb-89,25.03785714
Mar-89,25.13387097
Apr-89,25.88133333
May-89,26.46580645
Jun-89,26.88033333
Jul-89,27.50451613
Aug-89,27.82612903
Sep-89,28.048
Oct-89,27.7816129
Nov-89,27.54533333
Dec-89,26.87354839
Jan-90,26.4316129
Feb-90,25.5075
Mar-90,25.07774194
Apr-90,25.799
May-90,26.38870968
Jun-90,26.91533333
Jul-90,27.41419355
Aug-90,28.00483871
Sep-90,28.47566667
Oct-90,28.2116129
Nov-90,27.653
Dec-90,26.72870968
Jan-91,25.88870968
Feb-91,25.67535714
Mar-91,25.69290323
Apr-91,25.65166667
May-91,26.73193548
Jun-91,27.11766667
Jul-91,27.43677419
Aug-91,27.87322581
Sep-91,28.31333333
Oct-91,28.2916129
Nov-91,27.33
Dec-91,26.2316129
Jan-92,25.73354839
Feb-92,25.54413793
Mar-92,25.84580645
Apr-92,26.454
May-92,26.6016129
Jun-92,26.993
Jul-92,27.52225806
Aug-92,27.78967742
Sep-92,28.13666667
Oct-92,28.34806452
Nov-92,27.71466667
Dec-92,26.83516129
Jan-93,25.80677419
Feb-93,25.57464286
Mar-93,25.44290323
Apr-93,26.61633333
May-93,27.00451613
Jun-93,27.658
Jul-93,27.55
Aug-93,27.75290323
Sep-93,28.20833333
Oct-93,28.0483871
Nov-93,27.748
Dec-93,26.54612903
Jan-94,26.00741935
Feb-94,25.70964286
Mar-94,25.86387097
Apr-94,26.029
May-94,26.77225806
Jun-94,27.518
Jul-94,27.22709677
Aug-94,27.89806452
Sep-94,28.03
Oct-94,28.00096774
Nov-94,27.67133333
Dec-94,26.96741935
Jan-95,26.20225806
Feb-95,26.04785714
Mar-95,25.6216129
Apr-95,25.93833333
May-95,27.10645161
Jun-95,27.81266667
Jul-95,28.26580645
Aug-95,28.26387097
Sep-95,28.38066667
Oct-95,28.24741935
Nov-95,27.79266667
Dec-95,27.15677419
Jan-96,26.35709677
Feb-96,25.75551724
Mar-96,26.04419355
Apr-96,26.24
May-96,26.1
Jun-96,27.27866667
Jul-96,27.14967742
Aug-96,27.75
Sep-96,28.06066667
Oct-96,28.00129032
Nov-96,27.42333333
Dec-96,26.11774194
Jan-97,25.87580645
Feb-97,25.49571429
Mar-97,25.46064516
Apr-97,25.948
May-97,26.81
Jun-97,27.16933333
Jul-97,27.65193548
Aug-97,28.06258065
Sep-97,28.35833333
Oct-97,28.53193548
Nov-97,28.043
Dec-97,27.67516129
Jan-98,26.95935484
Feb-98,26.58642857
Mar-98,26.26645161
Apr-98,26.513
May-98,27.4516129
Jun-98,28.15733333
Jul-98,28.17064516
Aug-98,28.84548387
Sep-98,28.874
Oct-98,28.61290323
Nov-98,28.10866667
Dec-98,26.84774194
Jan-99,26.35193548
Feb-99,25.34785714
Mar-99,25.73645161
Apr-99,26.44866667
May-99,27.11322581
Jun-99,27.86933333
Jul-99,27.87709677
Aug-99,28.46516129
Sep-99,29.029
Oct-99,28.34741935
Nov-99,27.67566667
Dec-99,26.23290323
Jan-00,25.43032258
Feb-00,25.25931034
Mar-00,25.10483871
Apr-00,25.611
May-00,26.66548387
Jun-00,27.10133333
Jul-00,27.55580645
Aug-00,28.1016129
Sep-00,28.637
Oct-00,28.6783871
Nov-00,27.99533333
Dec-00,26.78548387
01-Jan,26.22193548
01-Feb,25.68321429
01-Mar,25.5383871
01-Apr,26.15933333
01-May,26.83806452
01-Jun,27.46866667
01-Jul,27.7816129
01-Aug,28.17967742
01-Sep,28.892
01-Oct,28.48290323
01-Nov,27.93233333
01-Dec,27.14935484
02-Jan,26.49258065
02-Feb,25.87035714
02-Mar,25.77709677
02-Apr,26.18266667
02-May,26.57612903
02-Jun,27.16766667
02-Jul,27.65064516
02-Aug,28.51032258
02-Sep,28.683
02-Oct,28.67677419
02-Nov,28.34233333
02-Dec,27.37483871
03-Jan,26.83387097
03-Feb,26.47964286
03-Mar,26.53677419
03-Apr,26.92966667
03-May,27.3183871
03-Jun,27.34066667
03-Jul,27.46806452
03-Aug,28.18870968
03-Sep,28.572
03-Oct,28.99064516
03-Nov,28.07466667
03-Dec,27.1116129
04-Jan,26.15451613
04-Feb,25.99482759
04-Mar,25.75225806
04-Apr,26.294
04-May,26.64580645
04-Jun,27.61333333
04-Jul,27.92387097
04-Aug,28.35516129
04-Sep,28.565
04-Oct,28.59419355
04-Nov,27.59866667
04-Dec,26.62
05-Jan,25.83935484
05-Feb,25.10357143
05-Mar,25.85064516
05-Apr,26.96333333
05-May,27.51741935
05-Jun,28.48366667
05-Jul,28.72967742
05-Aug,29.11709677
05-Sep,29.558
05-Oct,29.06677419
05-Nov,28.30166667
05-Dec,27.02677419
06-Jan,26.31258065
06-Feb,25.84785714
06-Mar,26.00419355
06-Apr,26.56233333
06-May,27.33451613
06-Jun,28.05
06-Jul,28.19
06-Aug,28.42967742
06-Sep,29.10466667
06-Oct,29.05741935
06-Nov,28.485
06-Dec,27.46451613
07-Jan,26.51387097
07-Feb,26.35607143
07-Mar,26.4616129
07-Apr,26.638
07-May,27.69258065
07-Jun,28.21766667
07-Jul,28.13774194
07-Aug,28.47419355
07-Sep,28.86433333
07-Oct,28.72483871
07-Nov,27.93633333
07-Dec,26.92612903
08-Jan,26.24516129
08-Feb,25.72034483
08-Mar,25.65193548
08-Apr,25.915
08-May,26.91032258
08-Jun,27.66966667
08-Jul,27.9383871
08-Aug,28.58096774
08-Sep,28.84633333
08-Oct,28.50677419
08-Nov,28.06066667
08-Dec,26.63129032
09-Jan,25.98096774
09-Feb,25.72357143
09-Mar,25.25903226
09-Apr,25.77333333
09-May,26.44935484
09-Jun,27.44566667
09-Jul,28.05774194
09-Aug,28.39322581
09-Sep,28.899
09-Oct,28.93709677
09-Nov,28.31
09-Dec,27.65580645
10-Jan,26.88096774
10-Feb,26.62821429
10-Mar,26.89580645
10-Apr,27.04966667
10-May,27.68903226
10-Jun,28.37666667
10-Jul,28.5216129
10-Aug,29.18580645
10-Sep,29.13266667
10-Oct,28.90129032
10-Nov,27.88966667
10-Dec,26.7383871
11-Jan,25.85193548
11-Feb,25.92357143
11-Mar,25.56516129
11-Apr,26.18633333
11-May,26.94645161
11-Jun,28.03333333
11-Jul,28.24774194
11-Aug,28.68129032
11-Sep,28.83766667
11-Oct,28.82645161
11-Nov,28.22466667
11-Dec,27.22225806
12-Jan,26.25774194
12-Feb,25.71586207
12-Mar,25.82903226
12-Apr,26.514
12-May,26.94193548
12-Jun,28.12966667
12-Jul,28.31354839
12-Aug,28.46032258
12-Sep,28.985
12-Oct,28.91258065
12-Nov,28.486
12-Dec,27.45322581
13-Jan,26.43032258
13-Feb,25.89964286
13-Mar,25.92741935
13-Apr,26.32433333
13-May,26.96
13-Jun,26.93
13-Jul,27.67774194
13-Aug,28.40290323
13-Sep,28.88366667
13-Oct,29.02225806
13-Nov,28.20133333
13-Dec,26.94806452
14-Jan,26.2983871
14-Feb,26.0375
14-Mar,26.24580645
14-Apr,26.58233333
14-May,26.99096774
14-Jun,27.41066667
14-Jul,27.65096774
14-Aug,28.10387097
14-Sep,28.67166667
14-Oct,28.9316129
14-Nov,28.31066667
14-Dec,27.14677419
15-Jan,26.53419355
15-Feb,26.44571429
15-Mar,26.10419355
15-Apr,26.42233333
15-May,26.97354839
15-Jun,27.52
15-Jul,27.62387097
15-Aug,28.29322581
15-Sep,28.92533333
15-Oct,29.04354839
15-Nov,28.36933333
15-Dec,27.36419355
16-Jan,26.70612903
16-Feb,26.42551724
16-Mar,26.36096774
16-Apr,26.82533333
16-May,27.37870968
16-Jun,27.792
16-Jul,28.00516129
16-Aug,28.53193548
16-Sep,28.99533333
16-Oct,28.87258065
16-Nov,28.54533333
16-Dec,27.66516129
17-Jan,26.46806452
17-Feb,26.25964286
17-Mar,26.06870968
17-Apr,26.476
17-May,26.94387097
17-Jun,27.69066667
17-Jul,28.24225806
17-Aug,28.81580645
17-Sep,28.58866667
17-Oct,28.32903226
17-Nov,28.203
17-Dec,27.53516129
18-Jan,26.77290323
18-Feb,25.89035714
18-Mar,25.96032258
18-Apr,26.28033333
18-May,26.66806452
18-Jun,27.44833333
18-Jul,27.65967742
18-Aug,28.3083871
18-Sep,28.632
18-Oct,28.51580645
18-Nov,28.03366667
18-Dec,27.25903226
19-Jan,26.21032258
19-Feb,26.0025
19-Mar,26.12483871
19-Apr,26.50133333
19-May,26.99290323
19-Jun,27.58833333
19-Jul,28.28774194
19-Aug,28.71225806
19-Sep,29.287
19-Oct,29.31806452
19-Nov,28.76666667
19-Dec,27.94741935
20-Jan,26.96032258
20-Feb,26.63862069
20-Mar,26.32645161
20-Apr,26.943
20-May,27.68709677
20-Jun,28.48433333
20-Jul,28.83225806
20-Aug,28.79741935
20-Sep,29.23766667
20-Oct,29.16129032
20-Nov,28.163
20-Dec,27.42548387
21-Jan,26.54322581
21-Feb,26.27642857
21-Mar,26.13419355
21-Apr,26.483
21-May,27.09225806
21-Jun,27.67066667
21-Jul,28.04387097
21-Aug,28.35612903
21-Sep,29.07133333
21-Oct,29.18870968
21-Nov,28.57777778
