Indicator,Monthly Mean Kd490 Values
Units,Kd490 (m-1)
Extent,Puerto Rico Inner Shelf Sites
12-Jan,0.073164011
12-Feb,0.073679879
12-Mar,0.070398135
12-Apr,0.072190017
12-May,0.081646695
12-Jun,0.066478823
12-Jul,0.079018857
12-Aug,0.093558628
12-Sep,0.086355134
12-Oct,0.095079897
12-Nov,0.097902395
12-Dec,0.07752217
13-Jan,0.072502604
13-Feb,0.068118962
13-Mar,0.073091304
13-Apr,0.066602977
13-May,0.076362516
13-Jun,0.070869534
13-Jul,0.080212024
13-Aug,0.070280108
13-Sep,0.090125058
13-Oct,0.077240964
13-Nov,0.1075746
13-Dec,0.08634338
14-Jan,0.075144089
14-Feb,0.06550096
14-Mar,0.063941149
14-Apr,0.065147295
14-May,0.067515478
14-Jun,0.068009502
14-Jul,0.066728296
14-Aug,0.083343563
14-Sep,0.076252839
14-Oct,0.084660209
14-Nov,0.091636062
14-Dec,0.080587028
15-Jan,0.068754803
15-Feb,0.086899314
15-Mar,0.061752152
15-Apr,0.063245974
15-May,0.062660028
15-Jun,0.064074185
15-Jul,0.069013424
15-Aug,0.089707833
15-Sep,0.08797621
15-Oct,0.088818759
15-Nov,0.082667912
15-Dec,0.085885263
16-Jan,0.077355032
16-Feb,0.068529277
16-Mar,0.063699856
16-Apr,0.062508475
16-May,0.064408477
16-Jun,0.06928683
16-Jul,0.068680335
16-Aug,0.077690519
16-Sep,0.076971747
16-Oct,0.105058661
16-Nov,0.124820379
16-Dec,0.078200821
17-Jan,0.07716145
17-Feb,0.06521975
17-Mar,0.063278829
17-Apr,0.067639857
17-May,0.069219708
17-Jun,0.070178266
17-Jul,0.085766103
17-Aug,0.099792481
17-Sep,0.112585781
17-Oct,0.108025449
17-Nov,0.107307677
17-Dec,0.079395833
18-Jan,0.08840058
18-Feb,0.078492939
18-Mar,0.107123475
18-Apr,0.066456215
18-May,0.06279767
18-Jun,0.075853769
18-Jul,0.070205379
18-Aug,0.070519573
18-Sep,0.087140281
18-Oct,0.097865435
18-Nov,0.11019655
18-Dec,0.088704405
19-Jan,0.076169964
19-Feb,0.072062459
19-Mar,0.069203061
19-Apr,0.070947656
19-May,0.088253472
19-Jun,0.079606636
19-Jul,0.090752273
19-Aug,0.076513166
19-Sep,0.080971409
19-Oct,0.092771152
19-Nov,0.084443893
19-Dec,0.080927511
20-Jan,0.080606503
20-Feb,0.063214135
20-Mar,0.068445232
20-Apr,0.059251435
20-May,0.059944977
20-Jun,0.068207168
20-Jul,0.065466932
20-Aug,0.07901267
20-Sep,0.083561639
20-Oct,0.083494703
20-Nov,0.091900524
20-Dec,0.07302781
21-Jan,0.064041741
21-Feb,0.076135041
21-Mar,0.058529197
21-Apr,0.059394523
21-May,0.064385241
21-Jun,0.109346859
