Indicator,Monthly Mean Kd490 Values
Units,Kd490 (m-1)
Extent,Puerto Rico Outer Shelf Sites
12-Jan,0.04341522
12-Feb,0.039700891
12-Mar,0.036730889
12-Apr,0.039294757
12-May,0.040923007
12-Jun,0.039841688
12-Jul,0.042890679
12-Aug,0.055424895
12-Sep,0.050133837
12-Oct,0.047103644
12-Nov,0.045816321
12-Dec,0.043461731
13-Jan,0.043522851
13-Feb,0.040125805
13-Mar,0.038409272
13-Apr,0.039138328
13-May,0.041208401
13-Jun,0.047156763
13-Jul,0.047407523
13-Aug,0.05329123
13-Sep,0.049963068
13-Oct,0.045527367
13-Nov,0.0522761
13-Dec,0.050046912
14-Jan,0.043809525
14-Feb,0.039768861
14-Mar,0.036936765
14-Apr,0.036166587
14-May,0.039435148
14-Jun,0.044021749
14-Jul,0.044365064
14-Aug,0.048394724
14-Sep,0.044264633
14-Oct,0.044305679
14-Nov,0.044877249
14-Dec,0.040867496
15-Jan,0.040171064
15-Feb,0.042063127
15-Mar,0.036797238
15-Apr,0.036450096
15-May,0.039717634
15-Jun,0.044147666
15-Jul,0.051340391
15-Aug,0.050501754
15-Sep,0.048100981
15-Oct,0.045790691
15-Nov,0.046841059
15-Dec,0.044597968
16-Jan,0.041802464
16-Feb,0.039994376
16-Mar,0.037404047
16-Apr,0.035776869
16-May,0.045321432
16-Jun,0.044656546
16-Jul,0.044371428
16-Aug,0.048266911
16-Sep,0.043323368
16-Oct,0.051092273
16-Nov,0.051461222
16-Dec,0.04319803
17-Jan,0.044344525
17-Feb,0.037423624
17-Mar,0.036370414
17-Apr,0.036453947
17-May,0.038760277
17-Jun,0.039473616
17-Jul,0.05610438
17-Aug,0.075674241
17-Sep,0.053611169
17-Oct,0.058979827
17-Nov,0.051328716
17-Dec,0.04122578
18-Jan,0.038401044
18-Feb,0.038148451
18-Mar,0.040867991
18-Apr,0.037429567
18-May,0.039962671
18-Jun,0.047356647
18-Jul,0.047500763
18-Aug,0.043001269
18-Sep,0.053048143
18-Oct,0.057400516
18-Nov,0.062014209
18-Dec,0.051380647
19-Jan,0.044464134
19-Feb,0.041531415
19-Mar,0.040462426
19-Apr,0.04067074
19-May,0.044527965
19-Jun,0.046841145
19-Jul,0.054799441
19-Aug,0.048299143
19-Sep,0.039893334
19-Oct,0.041474786
19-Nov,0.045654778
19-Dec,0.044226852
20-Jan,0.038999642
20-Feb,0.036263097
20-Mar,0.036640498
20-Apr,0.032994255
20-May,0.03507958
20-Jun,0.039926093
20-Jul,0.040825242
20-Aug,0.044035305
20-Sep,0.040706352
20-Oct,0.042556742
20-Nov,0.044225298
20-Dec,0.041765229
21-Jan,0.040280016
21-Feb,0.037507952
21-Mar,0.034063762
21-Apr,0.034458242
21-May,0.038678521
21-Jun,0.076820166
