area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,26.9715752844,26850.43464406221
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,bagnets,,4.9577910119
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,hand or tools,,5.9891700276
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale seine nets,,16.1378502888
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale pots or traps,,29.2712501646
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale lines,,24.9798485478
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,bagnets,Direct human consumption,27.3251130517,27202.384525251662
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,hand or tools,Direct human consumption,33.0096100654,32861.35008215108
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,88.9445687592,88545.08145088179
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,161.3299588445,160605.35843432666
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,137.6776842638,137059.31612432524
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,bagnets,Direct human consumption,13.9898120476,13926.97794273476
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,hand or tools,Direct human consumption,16.9001401643,16824.234557002314
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,45.5375169807,45332.98892085554
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,82.5971258602,82226.14757627329
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,70.4877203014,70171.13042931414
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,60.0000000000,59730.514872
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,133.1752747296,138360.9984717201
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,bagnets,Direct human consumption,0.8470785046,880.0629690371154
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,hand or tools,Direct human consumption,3.0232979120,3141.022375473386
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,18.9330381695,19670.273408894613
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,25.3762185878,26364.345396448338
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,small scale lines,Direct human consumption,20.5943668261,21396.292688258567
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Miscellaneous aquatic invertebrates","Aquatic invertebrates","Other demersal invertebrates","Other fishes & inverts","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,26.4595863837,98044.55939874768
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Miscellaneous aquatic invertebrates","Aquatic invertebrates","Other demersal invertebrates","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,hand or tools,,3.6577732217
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Miscellaneous aquatic invertebrates","Aquatic invertebrates","Other demersal invertebrates","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,hand or tools,Direct human consumption,20.1600000000,74701.7844048
