area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,133.1752747296,138360.9984717201
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,bagnets,Direct human consumption,0.8470785046,880.0629690371154
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,hand or tools,Direct human consumption,3.0232979120,3141.022375473386
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,18.9330381695,19670.273408894613
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,25.3762185878,26364.345396448338
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,small scale lines,Direct human consumption,20.5943668261,21396.292688258567
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Lutjanidae","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","US Virgin Isl.",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,50.9646095270,364815.3361790037
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Lutjanidae","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,9.0300460606,64638.958679138384
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Lutjanidae","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,7.9090653032,56614.743921771915
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Lutjanidae","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale lines,Direct human consumption,9.3798886362,67143.2050180617
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","US Virgin Isl.",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,45.5620007432,72154.10287328008
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,11.0005714286,17421.016407855383
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,12.5284285714,19840.60202005746
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Balistidae","Triggerfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,58.5282618243,144626.6963629784
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Balistidae","Triggerfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,15.1125000000,37343.8554411
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Balistidae","Triggerfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,small scale lines,Direct human consumption,15.1125000000,37343.8554411
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Epinephelus","Seabasses, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","US Virgin Isl.",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,28.2736526351,55928.13102292301
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Epinephelus","Seabasses, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,14.6010000000,28882.247780463
"US Virgin Isl.",eez,Reconstructed domestic catch,1,1950,"Thunnus","Tunas","Large pelagics (>=90 cm)","Tuna & billfishes","US Virgin Isl.",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,3.4527443571,0.5044597063058286
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Acanthurus","Surgeonfishes","Small reef assoc. fish (<30 cm)","Perch-likes","US Virgin Isl.",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,47.5429572973,102949.0567107123
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Acanthurus","Surgeonfishes","Small reef assoc. fish (<30 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,6.5466252899,14175.99864519378
