Indicator,Percentage of bleached colonies observed per month
Units,Percentage of bleached colonies
Extent,St. John
May-03,2.43902439
Dec-04,9.090909091
Jun-05,6.976744186
Oct-05,40.21164021
Jul-06,9.027777778
Sep-07,13.07692308
Jul-08,6.735751295
Jun-09,4.347826087
Jul-09,0.934579439
Oct-10,25
Nov-10,6.172839506
Sep-11,5.617977528
Oct-11,4.385964912
Nov-11,9.259259259
Oct-12,1.369863014
Dec-12,12.08459215
Jan-13,3.916449086
Oct-13,8.490566038
Dec-14,10.65375303
Oct-15,7.867494824
Oct-16,9.594882729
Jan-17,6.504065041
Jun-17,3.105590062
Oct-18,6.607929515
Dec-18,15.06849315
Nov-19,28.09917355
Dec-19,17.39130435
Feb-20,2.58302583
Mar-20,4.347826087
Dec-20,3.76344086
