Indicator,Monthly Mean Kd490 Values
Units,Kd490 (m-1)
Extent,St. John
12-Jan,0.049085717
12-Feb,0.05751905
12-Mar,0.032450002
12-Apr,0.043155558
12-May,0.033555557
12-Jun,0.031983335
12-Jul,0.041125002
12-Aug,0.055338892
12-Sep,0.048916669
12-Oct,0.064988098
12-Nov,0.049633336
12-Dec,0.051533336
13-Jan,0.068283337
13-Feb,0.059146299
13-Mar,0.051797622
13-Apr,0.037733335
13-May,0.034875002
13-Jun,0.03414706
13-Jul,0.040600002
13-Aug,0.054416669
13-Sep,0.053566669
13-Oct,0.052383336
13-Nov,0.064077781
13-Dec,0.053241669
14-Jan,0.040566669
14-Feb,0.046441669
14-Mar,0.052883336
14-Apr,0.032875002
14-May,0.034025002
14-Jun,0.040484617
14-Jul,0.034508335
14-Aug,0.035225002
14-Sep,0.051390479
14-Oct,0.069777781
14-Nov,0.068038098
14-Dec,0.058430558
15-Jan,0.051294447
15-Feb,0.060475003
15-Mar,0.04882778
15-Apr,0.039250002
15-May,0.04737778
15-Jun,0.047200002
15-Jul,0.047066669
15-Aug,0.053465082
15-Sep,0.059785188
15-Oct,0.076911115
15-Nov,0.072352384
15-Dec,0.049823812
16-Jan,0.055400003
16-Feb,0.066150003
16-Mar,0.045092859
16-Apr,0.035475002
16-May,0.037050002
16-Jun,0.035225002
16-Jul,0.035325002
16-Aug,0.05182778
16-Sep,0.052182542
16-Oct,0.049450002
16-Nov,0.049261113
16-Dec,0.056416669
17-Jan,0.062159262
17-Feb,0.049858336
17-Mar,0.046301854
17-Apr,0.049441669
17-May,0.030116668
17-Jun,0.030221054
17-Jul,0.061655558
17-Aug,0.052925003
17-Sep,0.036883335
17-Oct,0.046483336
17-Nov,0.050154764
17-Dec,0.046476193
18-Jan,0.038050002
18-Feb,0.056616669
18-Mar,0.043200002
18-Apr,0.031625002
18-May,0.055866669
18-Jun,0.039635967
18-Jul,0.038000002
18-Aug,0.050488891
18-Sep,0.079705559
18-Oct,0.088585718
18-Nov,0.087597226
18-Dec,0.065524606
19-Jan,0.053913891
19-Feb,0.044459526
19-Mar,0.052976193
19-Apr,0.048355558
19-May,0.038650002
19-Jun,0.073425929
19-Jul,0.06558413
19-Aug,0.068054765
19-Sep,0.056283336
19-Oct,0.064055559
19-Nov,0.06909167
19-Dec,0.060004765
20-Jan,0.035558335
20-Feb,0.053278574
20-Mar,0.03008889
20-Apr,0.048071431
20-May,0.050900002
20-Jun,0.040700002
20-Jul,0.045388891
20-Aug,0.048383336
20-Sep,0.045000002
20-Oct,0.054400003
20-Nov,0.063961114
20-Dec,0.062426193
21-Jan,0.05535741
21-Feb,0.047638891
21-Mar,0.046733336
21-Apr,0.055538892
21-May,0.041000002
21-Jun,0.062735297
