Indicator,Percentage of bleached colonies observed per month
Units,Percentage of bleached colonies
Extent,St. Thomas
Oct-02,5.882352941
Dec-02,5.208333333
May-03,8.130081301
Jun-03,1.214574899
Jul-03,1.282051282
Aug-03,5
Sep-03,4.347826087
Oct-03,2.597402597
Dec-03,30.76923077
May-04,9.6
Jun-04,7.109004739
Jul-04,9.88372093
Dec-04,7
Apr-05,2.928870293
May-05,3.881700555
Jun-05,12.38095238
Sep-05,44.70899471
Oct-05,35.35528596
Jun-06,5.945945946
Jul-06,5
May-07,0
Jun-07,0.735294118
Aug-07,2.769230769
Sep-07,9.700176367
Feb-08,0
Jul-08,5.447470817
Aug-08,4.453441296
Sep-08,4.807692308
Oct-08,5.072463768
Nov-08,17.11711712
Jun-09,4.117647059
Jul-09,3.187250996
Sep-09,8.13093981
Dec-09,20.18348624
Oct-10,30.75630252
Nov-10,22
Dec-10,8.849557522
Oct-11,13.38742394
Nov-11,7.650273224
Oct-12,9.628770302
Nov-12,12.03852327
Dec-12,4.787234043
Mar-13,6.493506494
Oct-13,15.07246377
Nov-13,21.48148148
Sep-14,12.96928328
Oct-14,9.401709402
Nov-14,16.02564103
Dec-14,19.39163498
Aug-15,6.382978723
Oct-15,11.27348643
Nov-15,23.89791183
Oct-16,8.479138627
Nov-16,10.49382716
Dec-16,12.5203252
Jan-17,5.194805195
Mar-17,5.928853755
Apr-17,4.504504505
May-17,10.46511628
Nov-17,18.26086957
Dec-17,7.676130389
Mar-18,5.259203606
Apr-18,2.908587258
Oct-18,15.07537688
Nov-18,6.873315364
Dec-18,15.23178808
Feb-19,10.96774194
Mar-19,12.17798595
Jul-19,9.641255605
Aug-19,12.45421245
Oct-19,36.28205128
Nov-19,22.98387097
Dec-19,11.43617021
Feb-20,9.073543457
Mar-20,10.18518519
Jun-20,7.692307692
Jul-20,11.4075437
Oct-20,10.79745942
Nov-20,10.99873578
Dec-20,7.417840376
