Indicator,Monthly Mean Kd490 Values
Units,Kd490 (m-1)
Extent,St. Thomas
12-Jan,0.055514066
12-Feb,0.046696508
12-Mar,0.039525693
12-Apr,0.041569613
12-May,0.034644839
12-Jun,0.038448651
12-Jul,0.044030559
12-Aug,0.054080586
12-Sep,0.054366205
12-Oct,0.054163561
12-Nov,0.048293363
12-Dec,0.051045515
13-Jan,0.060094678
13-Feb,0.050476412
13-Mar,0.049468212
13-Apr,0.041822839
13-May,0.039704838
13-Jun,0.037396682
13-Jul,0.04947964
13-Aug,0.053035932
13-Sep,0.052071732
13-Oct,0.045748832
13-Nov,0.058643985
13-Dec,0.064402878
14-Jan,0.059746047
14-Feb,0.0511978
14-Mar,0.047858586
14-Apr,0.041617138
14-May,0.043002993
14-Jun,0.045698489
14-Jul,0.042871847
14-Aug,0.047588998
14-Sep,0.046655228
14-Oct,0.053059103
14-Nov,0.071582136
14-Dec,0.04795965
15-Jan,0.048766187
15-Feb,0.053611239
15-Mar,0.045124102
15-Apr,0.041498027
15-May,0.039206795
15-Jun,0.040651066
15-Jul,0.046172045
15-Aug,0.050039946
15-Sep,0.055110213
15-Oct,0.055704307
15-Nov,0.047136282
15-Dec,0.055700546
16-Jan,0.05318972
16-Feb,0.056523834
16-Mar,0.047617584
16-Apr,0.040987377
16-May,0.044183584
16-Jun,0.041545933
16-Jul,0.042846543
16-Aug,0.041269692
16-Sep,0.043598267
16-Oct,0.048641318
16-Nov,0.054085834
16-Dec,0.050925701
17-Jan,0.052528079
17-Feb,0.043396961
17-Mar,0.042612094
17-Apr,0.045206402
17-May,0.040240275
17-Jun,0.038429102
17-Jul,0.05571472
17-Aug,0.062948295
17-Sep,0.057173202
17-Oct,0.045193195
17-Nov,0.047132384
17-Dec,0.047152916
18-Jan,0.039285849
18-Feb,0.074870615
18-Mar,0.049631174
18-Apr,0.036199477
18-May,0.044392992
18-Jun,0.045756415
18-Jul,0.041062382
18-Aug,0.042067747
18-Sep,0.048771849
18-Oct,0.080868508
18-Nov,0.069709078
18-Dec,0.05411036
19-Jan,0.050273627
19-Feb,0.051721894
19-Mar,0.044420556
19-Apr,0.047205966
19-May,0.050029097
19-Jun,0.05139649
19-Jul,0.054902304
19-Aug,0.041562818
19-Sep,0.040099087
19-Oct,0.048208038
19-Nov,0.056464616
19-Dec,0.051852619
20-Jan,0.049305975
20-Feb,0.046210949
20-Mar,0.037348718
20-Apr,0.036309055
20-May,0.037984116
20-Jun,0.042552782
20-Jul,0.038640588
20-Aug,0.040900628
20-Sep,0.049026874
20-Oct,0.062130131
20-Nov,0.050452925
20-Dec,0.053817967
21-Jan,0.053655247
21-Feb,0.045231783
21-Mar,0.040618834
21-Apr,0.04260709
21-May,0.036959737
21-Jun,0.072043867
