Indicator,Monthly Mean Kd490 Values
Units,Kd490 (m-1)
Extent,St. Croix
12-Jan,0.054361137
12-Feb,0.052782683
12-Mar,0.053068599
12-Apr,0.061906415
12-May,0.046446593
12-Jun,0.061049842
12-Jul,0.062691105
12-Aug,0.062324414
12-Sep,0.061240907
12-Oct,0.056304099
12-Nov,0.057666675
12-Dec,0.063105862
13-Jan,0.060073752
13-Feb,0.059009456
13-Mar,0.059357225
13-Apr,0.080345863
13-May,0.059605762
13-Jun,0.054646704
13-Jul,0.059941541
13-Aug,0.081977148
13-Sep,0.069404246
13-Oct,0.067658889
13-Nov,0.07579258
13-Dec,0.066656031
14-Jan,0.061897086
14-Feb,0.059917209
14-Mar,0.058741211
14-Apr,0.056494904
14-May,0.070920203
14-Jun,0.046007511
14-Jul,0.046993134
14-Aug,0.056533168
14-Sep,0.05355155
14-Oct,0.059318343
14-Nov,0.056818804
14-Dec,0.057338553
15-Jan,0.064634914
15-Feb,0.055150538
15-Mar,0.052508714
15-Apr,0.046460279
15-May,0.061814259
15-Jun,0.054072156
15-Jul,0.058442781
15-Aug,0.086136035
15-Sep,0.066323741
15-Oct,0.065067984
15-Nov,0.066780381
15-Dec,0.053699842
16-Jan,0.065293927
16-Feb,0.052162113
16-Mar,0.047535193
16-Apr,0.058801886
16-May,0.064530638
16-Jun,0.050263138
16-Jul,0.057342762
16-Aug,0.05687283
16-Sep,0.060700094
16-Oct,0.074097985
16-Nov,0.060865703
16-Dec,0.058516128
17-Jan,0.057602102
17-Feb,0.057305728
17-Mar,0.04703348
17-Apr,0.05014063
17-May,0.042471994
17-Jun,0.052147144
17-Jul,0.07379902
17-Aug,0.067826993
17-Sep,0.071874225
17-Oct,0.070273655
17-Nov,0.066531393
17-Dec,0.068615619
18-Jan,0.059125007
18-Feb,0.055305866
18-Mar,0.056962756
18-Apr,0.057721397
18-May,0.069862895
18-Jun,0.068737707
18-Jul,0.071005487
18-Aug,0.053276184
18-Sep,0.061342924
18-Oct,0.120001974
18-Nov,0.081743505
18-Dec,0.073327255
19-Jan,0.071369386
19-Feb,0.078914453
19-Mar,0.066085848
19-Apr,0.051522072
19-May,0.052642316
19-Jun,0.054590105
19-Jul,0.068935633
19-Aug,0.084410684
19-Sep,0.065802409
19-Oct,0.063938627
19-Nov,0.06286415
19-Dec,0.062708682
20-Jan,0.050209757
20-Feb,0.054283139
20-Mar,0.049940454
20-Apr,0.061698405
20-May,0.051007553
20-Jun,0.057133844
20-Jul,0.057979476
20-Aug,0.04417299
20-Sep,0.059980667
20-Oct,0.056672578
20-Nov,0.060973344
20-Dec,0.063198433
21-Jan,0.056243858
21-Feb,0.049951694
21-Mar,0.059136312
21-Apr,0.064459715
21-May,0.070927187
21-Jun,0.078996306
