Code,Group,Category,Meaning
CALG,Benthic Cover,Calcareous,Crustose coralline algae
RO,Benthic Cover,Calcareous,Rhodolith
AA,Benthic Cover,Coral,Agaricia agaricites
AC,Benthic Cover,Coral,Acropora cervicornis
AF,Benthic Cover,Coral,Agaricia fragilis
AG,Benthic Cover,Coral,Agaricia grahamae
AGSP,Benthic Cover,Coral,Agaricia spp.
AH,Benthic Cover,Coral,Agaricia humilis
AL,Benthic Cover,Coral,Agaricia lamarcki
AP,Benthic Cover,Coral,Acropora palmata
APR,Benthic Cover,Coral,Acropora prolifera
AT,Benthic Cover,Coral,Agaricia tenuifolia
AU,Benthic Cover,Coral,Agaricia undata
CN,Benthic Cover,Coral,Colpophyllia natans
CORAL,Benthic Cover,Coral,Coral spp.
CORJU,Benthic Cover,Coral,Juvenile coral spp.
DCY,Benthic Cover,Coral,Dendrogyra cylindrus
DL,Benthic Cover,Coral,Diploria labyrinthiformis
DSO,Benthic Cover,Coral,Dichocoenia stokesii
EF,Benthic Cover,Coral,Eusmilia fastigiata
FF,Benthic Cover,Coral,Favia fragum
HC,Benthic Cover,Coral,Helioseris cucullata
IR,Benthic Cover,Coral,Isopyhyllastrea rigida
IS,Benthic Cover,Coral,Isophyllia sinuosa
MAFO,Benthic Cover,Coral,Madracis formosa
MAL,Benthic Cover,Coral,Mycetophyllia aliciae
MAN,Benthic Cover,Coral,Mussa angulosa
MAR,Benthic Cover,Coral,Manicina areolata
MC,Benthic Cover,Coral,Montastraea cavernosa
MD,Benthic Cover,Coral,Madracis decactis
MDA,Benthic Cover,Coral,Mycetophyllia daniana
MF,Benthic Cover,Coral,Mycetophyllia ferox
MILA,Benthic Cover,Coral,Millepora alcicornis
MILC,Benthic Cover,Coral,Millepora complanata
MILS,Benthic Cover,Coral,Millepora squarrosa
ML,Benthic Cover,Coral,Mycetophyllia lamarckiana
MM,Benthic Cover,Coral,Madracis mirabilis
MME,Benthic Cover,Coral,Meandrina meandrites
MSPP,Benthic Cover,Coral,Montastraea spp.
