SampleYear,SampleMonth,Period,Location,FilmDate,NoPts,AnalysisBy,AnalysisDate,Transect,AA,AC,AF,AG,AGSP,AH,AL,AP,APR,AT,AU,CN,CORAL,CORJU,DCY,DL,DSO,EF,FF,HC,IR,IS,MAFO,MAL,MAN,MAR,MC,MD,MDA,MF,MILA,MILC,MILS,ML,MM,MME,MSPP,MYSP,OA,OD,OFAV,OFRA,OX,PA,PB,PBSP,PC,PCL,PD,PF,PP,PS,SB,SC,SCSP,SH,SI,SL,SR,SS,SSPP,TC,BRIA,ENGO,ERYTH,FAN,GO,PLUME,ROD,WHIP,BALL,BASP,BOSP,CLIO,CLSP,ENSP,ROPE,SPO,TUBE,PALY,ZO,ZOSO,ANEM,CMOR,AMPH,CALG,CLAD,DICT,HALI,LIAG,LOBO,MACA,MICRO,PEY,RAMI,SARG,FLCY,LYNG,SCHIZ,EAC,B,P,R,RO,S,O,UNK,TWS,BL,BBD,WBD,PLA,YBD,DSD,DCOR,SCTLD,Check,Notes,
2001,4,Annual,Cane Bay,4/25/2001,280,Paige Rothenberger,6/15/2001,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,2.30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.38,0.00,0.00,0.38,5.36,0.00,,,0.00,0.00,0.00,0.00,79.69,0.00,0.00,0.00,0.00,3.45,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,100.00,,
2001,4,Annual,Cane Bay,4/25/2001,270,Paige Rothenberger,6/15/2001,2,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.78,0.00,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.11,2.73,0.00,0.00,,0.00,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.47,0.00,0.78,0.00,0.00,0.00,1.95,0.00,,,0.00,0.00,0.00,0.00,59.38,0.00,0.00,0.00,0.00,1.95,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,100.00,,
2001,4,Annual,Cane Bay,4/25/2001,290,Paige Rothenberger,6/15/2001,3,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.00,0.00,2.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.09,2.33,0.00,0.00,,0.00,0.78,0.00,3.10,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.94,0.00,0.00,0.00,0.00,0.00,0.00,2.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.88,0.00,0.39,0.00,0.00,0.00,2.71,0.00,,,0.00,0.00,0.00,0.00,49.61,0.00,0.00,0.00,0.00,1.16,0.00,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,100.00,,
2001,4,Annual,Cane Bay,4/25/2001,290,Paige Rothenberger,6/18/2001,4,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.07,0.00,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.38,1.45,0.00,0.00,,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,0.36,0.00,0.00,0.00,4.35,0.00,,,0.00,0.00,0.00,0.00,47.46,0.00,0.00,0.00,0.00,3.99,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,100.00,,
2001,4,Annual,Cane Bay,4/25/2001,270,Paige Rothenberger,6/18/2001,5,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.72,0.39,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.54,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.94,0.00,0.39,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,69.69,0.00,0.00,0.00,0.00,0.79,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,100.00,,
2001,4,Annual,Cane Bay,4/25/2001,280,Paige Rothenberger,6/19/2001,6,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13,0.00,0.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.02,1.88,0.00,0.00,,0.00,0.00,0.00,2.26,0.38,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.38,0.00,1.88,0.00,0.00,0.00,8.65,0.00,,,0.00,0.00,0.00,0.00,60.15,0.00,0.00,0.00,0.00,3.76,0.38,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,100.00,,
2001,7,Annual,Eagle Ray,7/27/2001,220,Marcia Taylor,8/6/2001,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.96,0.00,0.00,1.44,0.00,0.00,0.00,0.00,0.00,0.00,2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.78,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.48,0.00,,,0.00,0.00,0.00,0.00,76.56,0.00,0.00,0.00,0.00,5.74,0.00,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,100.00,,
2001,7,Annual,Eagle Ray,7/27/2001,260,Marcia Taylor,8/7/2001,2,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.03,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.44,0.00,0.00,0.00,0.00,0.00,0.00,2.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.69,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,2.03,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,73.17,0.00,0.00,0.00,0.00,7.32,0.81,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,100.00,,
2001,7,Annual,Eagle Ray,7/27/2001,270,Marcia Taylor,8/7/2001,3,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,65.52,0.00,0.00,0.00,0.00,14.18,1.53,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,100.00,,
2001,7,Annual,Eagle Ray,7/27/2001,280,Marcia Taylor,8/8/2001,4,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.74,0.00,0.00,,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.37,0.00,0.00,2.96,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,,,0.00,0.00,0.00,0.00,71.85,0.00,0.00,0.00,0.00,8.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,100.00,,
