indicator,Degree Heating Weeks
units ,°C-weeks
extent,U.S. Virgin Islands
Mar-85,0
Apr-85,0
May-85,0
Jun-85,0
Jul-85,0
Aug-85,0
Sep-85,0
Oct-85,0
Nov-85,0
Dec-85,0
Jan-86,0
Feb-86,0
Mar-86,0
Apr-86,0
May-86,0
Jun-86,0
Jul-86,0
Aug-86,0
Sep-86,0
Oct-86,0
Nov-86,0
Dec-86,0
Jan-87,0
Feb-87,0
Mar-87,0
Apr-87,0
May-87,0
Jun-87,0
Jul-87,0
Aug-87,0.029496774
Sep-87,1.65523
Oct-87,2.758248387
Nov-87,3.397
Dec-87,1.421703226
Jan-88,0.7258
Feb-88,0
Mar-88,0
Apr-88,0
May-88,0
Jun-88,0
Jul-88,0
Aug-88,0
Sep-88,0
Oct-88,0
Nov-88,0
Dec-88,0
Jan-89,0
Feb-89,0
Mar-89,0
Apr-89,0
May-89,0
Jun-89,0
Jul-89,0
Aug-89,0
Sep-89,0
Oct-89,0
Nov-89,0
Dec-89,0
Jan-90,0
Feb-90,0
Mar-90,0
Apr-90,0
May-90,0
Jun-90,0
Jul-90,0
Aug-90,0
Sep-90,0
Oct-90,0.1814
Nov-90,0.1814
Dec-90,0.134587097
Jan-91,0
Feb-91,0
Mar-91,0
Apr-91,0
May-91,0
Jun-91,0
Jul-91,0
Aug-91,0
Sep-91,0
Oct-91,0
Nov-91,0
Dec-91,0
Jan-92,0
Feb-92,0
Mar-92,0
Apr-92,0
May-92,0
Jun-92,0
Jul-92,0
Aug-92,0
Sep-92,0
Oct-92,0
Nov-92,0
Dec-92,0
Jan-93,0
Feb-93,0
Mar-93,0
Apr-93,0
May-93,0
Jun-93,0
Jul-93,0
Aug-93,0
Sep-93,0
Oct-93,0
Nov-93,0
Dec-93,0
Jan-94,0
Feb-94,0
Mar-94,0
Apr-94,0
May-94,0
Jun-94,0
Jul-94,0
Aug-94,0
Sep-94,0
Oct-94,0
Nov-94,0
Dec-94,0
Jan-95,0
Feb-95,0
Mar-95,0
Apr-95,0
May-95,0
Jun-95,0
Jul-95,0
Aug-95,0
Sep-95,0.275046667
Oct-95,0.3
Nov-95,0.254953333
Dec-95,0
Jan-96,0
Feb-96,0
Mar-96,0
Apr-96,0
May-96,0
Jun-96,0
Jul-96,0
Aug-96,0
Sep-96,0
Oct-96,0
Nov-96,0
Dec-96,0
Jan-97,0
Feb-97,0
Mar-97,0
Apr-97,0
May-97,0
Jun-97,0
Jul-97,0
Aug-97,0
Sep-97,0.117223333
Oct-97,0.1529
Nov-97,0.1529
Dec-97,0
Jan-98,0
Feb-98,0
Mar-98,0
Apr-98,0
May-98,0
Jun-98,0
Jul-98,0
Aug-98,1.078109677
Sep-98,3.414513333
Oct-98,4.316019355
Nov-98,2.656136667
Dec-98,0.614058065
Jan-99,0.027929032
Feb-99,0
Mar-99,0
Apr-99,0
May-99,0
Jun-99,0
Jul-99,0
Aug-99,0.011425806
Sep-99,2.325393333
Oct-99,3.81343871
Nov-99,3.663073333
Dec-99,0.815929032
Jan-00,0
Feb-00,0
Mar-00,0
Apr-00,0
May-00,0
Jun-00,0
Jul-00,0
Aug-00,0
Sep-00,0.1076
Oct-00,0.1614
Nov-00,0.1614
Dec-00,0.015619355
Jan-01,0
Feb-01,0
Mar-01,0
Apr-01,0
May-01,0
Jun-01,0
Jul-01,0
Aug-01,0.063490323
Sep-01,0.893573333
Oct-01,2.207212903
Nov-01,2.27289
Dec-01,1.100506452
Jan-02,0.063825806
Feb-02,0
Mar-02,0
Apr-02,0
May-02,0
Jun-02,0
Jul-02,0
Aug-02,0
Sep-02,0.057633333
Oct-02,0.901606452
Nov-02,1.1329
Dec-02,1.001770968
Jan-03,0.014287097
Feb-03,0
Mar-03,0
Apr-03,0
May-03,0
Jun-03,0
Jul-03,0
Aug-03,0
Sep-03,0.375183333
Oct-03,2.171403226
Nov-03,3.0786
Dec-03,2.326448387
Jan-04,0.501751613
Feb-04,0
Mar-04,0
Apr-04,0
May-04,0
Jun-04,0
Jul-04,0
Aug-04,0
Sep-04,0.02419
Oct-04,1.283725806
Nov-04,1.79
Dec-04,1.654151613
Jan-05,0.156777419
Feb-05,0
Mar-05,0
Apr-05,0
May-05,0
Jun-05,0.027193333
Jul-05,0.628929032
Aug-05,2.753741935
Sep-05,8.550426667
Oct-05,14.51155806
Nov-05,12.53995
Dec-05,5.77373871
Jan-06,0.454419355
Feb-06,0
Mar-06,0
Apr-06,0
May-06,0
Jun-06,0
Jul-06,0
Aug-06,0
Sep-06,1.669916667
Oct-06,6.13586129
Nov-06,6.743763333
Dec-06,3.772241935
Jan-07,0.239948387
Feb-07,0
Mar-07,0
Apr-07,0
May-07,0
Jun-07,0
Jul-07,0
Aug-07,0.027658065
Sep-07,0.605986667
Oct-07,1.2729
Nov-07,1.210976667
Dec-07,0.390235484
Jan-08,0
Feb-08,0
Mar-08,0
Apr-08,0
May-08,0
Jun-08,0
Jul-08,0
Aug-08,0.035396774
Sep-08,1.257903333
Oct-08,2.124219355
Nov-08,1.990693333
Dec-08,0.491493548
Jan-09,0
Feb-09,0
Mar-09,0
Apr-09,0
May-09,0
Jun-09,0
Jul-09,0
Aug-09,0
Sep-09,0.08943
Oct-09,1.193945161
Nov-09,1.1986
Dec-09,0.807387097
Jan-10,0
Feb-10,0
Mar-10,0
Apr-10,0
May-10,0
Jun-10,0
Jul-10,0
Aug-10,2.048016129
Sep-10,7.348153333
Oct-10,9.137203226
Nov-10,6.388033333
Dec-10,1.83263871
Jan-11,0.344564516
Feb-11,0
Mar-11,0
Apr-11,0
May-11,0
Jun-11,0
Jul-11,0
Aug-11,0.082974194
Sep-11,0.799166667
Oct-11,1.300887097
Nov-11,1.166983333
Dec-11,0.355970968
Jan-12,0
Feb-12,0
Mar-12,0
Apr-12,0
May-12,0
Jun-12,0
Jul-12,0
Aug-12,0
Sep-12,0.778716667
Oct-12,3.483893548
Nov-12,3.7314
Dec-12,2.245845161
Jan-13,0.016545161
Feb-13,0
Mar-13,0
Apr-13,0
May-13,0
Jun-13,0
Jul-13,0
Aug-13,0
Sep-13,0.357336667
Oct-13,3.2046
Nov-13,3.6257
Dec-13,2.639664516
Jan-14,0.125670968
Feb-14,0
Mar-14,0
Apr-14,0
May-14,0
Jun-14,0
Jul-14,0
Aug-14,0
Sep-14,0
Oct-14,0.26763871
Nov-14,0.4457
Dec-14,0.441
Jan-15,0.067741935
Feb-15,0
Mar-15,0
Apr-15,0
May-15,0
Jun-15,0
Jul-15,0
Aug-15,0
Sep-15,0.376096667
Oct-15,3.461796774
Nov-15,4.6229
Dec-15,3.60503871
Jan-16,0.621929032
Feb-16,0
Mar-16,0
Apr-16,0
May-16,0
Jun-16,0
Jul-16,0
Aug-16,0
Sep-16,0.489096667
Oct-16,1.932890323
Nov-16,2.26165
Dec-16,1.37713871
Jan-17,0.316480645
Feb-17,0.019135714
Mar-17,0
Apr-17,0
May-17,0
Jun-17,0
Jul-17,0
Aug-17,0.038158065
Sep-17,1.039343333
Oct-17,1.0943
Nov-17,0.854486667
Dec-17,0
Jan-18,0
Feb-18,0
Mar-18,0
Apr-18,0
May-18,0
Jun-18,0
Jul-18,0
Aug-18,0
Sep-18,0
Oct-18,0
Nov-18,0
Dec-18,0
Jan-19,0
Feb-19,0
Mar-19,0
Apr-19,0
May-19,0
Jun-19,0
Jul-19,0
Aug-19,0
Sep-19,1.748143333
Oct-19,6.847048387
Nov-19,8.882883333
Dec-19,5.961383871
Jan-20,0.988654839
Feb-20,0
Mar-20,0
Apr-20,0
May-20,0
Jun-20,0
Jul-20,0
Aug-20,0
Sep-20,0.930613333
Oct-20,3.940306452
Nov-20,4.40113
Dec-20,2.673419355
Jan-21,0.191667742
Feb-21,0
Mar-21,0
Apr-21,0
May-21,0
Jun-21,0
Jul-21,0
Aug-21,0
