Indicator,Maximum Monthly Mean Sea Surface Temperature
Units,Degrees Celsius (°C)
Extent,U.S. Virgin Islands
Jan-85,26.0416129
Feb-85,25.96035714
Mar-85,25.91064516
Apr-85,26.21833333
May-85,26.96580645
Jun-85,27.89666667
Jul-85,28.12064516
Aug-85,28.56612903
Sep-85,28.58166667
Oct-85,28.22032258
Nov-85,27.36233333
Dec-85,26.62741935
Jan-86,26.14709677
Feb-86,25.79071429
Mar-86,25.76483871
Apr-86,26.55266667
May-86,27.37774194
Jun-86,27.59066667
Jul-86,27.9816129
Aug-86,28.37483871
Sep-86,28.171
Oct-86,28.52322581
Nov-86,28.06566667
Dec-86,27.04903226
Jan-87,26.64935484
Feb-87,26.47892857
Mar-87,26.53290323
Apr-87,27.33066667
May-87,28.06483871
Jun-87,28.62
Jul-87,28.49580645
Aug-87,28.79935484
Sep-87,29.607
Oct-87,29.23322581
Nov-87,28.96466667
Dec-87,27.9616129
Jan-88,27.11516129
Feb-88,26.35793103
Mar-88,26.40806452
Apr-88,27.22033333
May-88,27.86290323
Jun-88,28.23033333
Jul-88,28.72935484
Aug-88,28.74580645
Sep-88,28.527
Oct-88,28.45806452
Nov-88,28.131
Dec-88,26.99354839
Jan-89,26.04645161
Feb-89,25.59392857
Mar-89,25.65258065
Apr-89,26.23966667
May-89,26.83903226
Jun-89,27.42066667
Jul-89,28.18548387
Aug-89,28.74225806
Sep-89,28.778
Oct-89,28.42225806
Nov-89,28.007
Dec-89,27.40387097
Jan-90,26.75387097
Feb-90,25.85142857
Mar-90,25.63645161
Apr-90,26.373
May-90,27.21290323
Jun-90,27.76433333
Jul-90,27.83645161
Aug-90,28.47
Sep-90,28.945
Oct-90,28.77612903
Nov-90,28.44466667
Dec-90,27.38806452
Jan-91,26.43677419
Feb-91,26.18607143
Mar-91,26.25580645
Apr-91,26.437
May-91,27.53806452
Jun-91,27.68633333
Jul-91,27.81322581
Aug-91,28.60580645
Sep-91,28.80266667
Oct-91,28.75129032
Nov-91,27.825
Dec-91,26.66451613
Jan-92,26.19322581
Feb-92,25.86931034
Mar-92,26.37193548
Apr-92,27.14333333
May-92,27.51225806
Jun-92,27.871
Jul-92,28.22258065
Aug-92,28.30645161
Sep-92,28.71166667
Oct-92,29.02967742
Nov-92,28.147
Dec-92,27.36967742
Jan-93,26.48806452
Feb-93,26.32821429
Mar-93,26.09774194
Apr-93,27.09466667
May-93,27.77096774
Jun-93,28.53933333
