Indicator,Minimum Monthly Mean Sea Surface Temperature
Units,Degrees Celsius (°C)
Extent,U.S. Virgin Islands
Jan-85,25.52387097
Feb-85,25.22642857
Mar-85,25.4183871
Apr-85,25.62933333
May-85,26.33870968
Jun-85,27.05633333
Jul-85,27.55193548
Aug-85,27.97129032
Sep-85,28.007
Oct-85,27.28612903
Nov-85,26.735
Dec-85,25.99258065
Jan-86,25.4283871
Feb-86,25.15642857
Mar-86,25.15774194
Apr-86,25.80966667
May-86,26.3983871
Jun-86,26.747
Jul-86,27.27612903
Aug-86,27.47354839
Sep-86,27.649
Oct-86,27.96967742
Nov-86,27.384
Dec-86,26.45225806
Jan-87,26.01935484
Feb-87,25.89071429
Mar-87,25.80516129
Apr-87,26.58466667
May-87,27.1116129
Jun-87,27.60766667
Jul-87,27.45258065
Aug-87,28.20258065
Sep-87,29.077
Oct-87,28.44451613
Nov-87,28.26833333
Dec-87,27.20677419
Jan-88,26.33290323
Feb-88,25.63758621
Mar-88,25.65741935
Apr-88,26.41366667
May-88,27.17387097
Jun-88,27.67333333
Jul-88,28.09129032
Aug-88,28.05709677
Sep-88,27.95933333
Oct-88,27.94709677
Nov-88,27.54866667
Dec-88,26.29096774
Jan-89,25.30645161
Feb-89,24.91964286
Mar-89,25.08580645
Apr-89,25.61466667
May-89,26.19677419
Jun-89,26.77933333
Jul-89,27.62354839
Aug-89,27.73516129
Sep-89,28.101
Oct-89,27.63064516
Nov-89,27.28266667
Dec-89,26.88419355
Jan-90,26.13290323
Feb-90,25.32071429
Mar-90,24.9816129
Apr-90,25.70333333
May-90,26.26709677
Jun-90,26.90166667
Jul-90,27.20612903
Aug-90,27.93354839
Sep-90,28.245
Oct-90,27.89032258
Nov-90,27.607
Dec-90,26.61548387
Jan-91,25.53387097
Feb-91,25.36142857
Mar-91,25.58967742
Apr-91,25.64133333
May-91,26.83741935
Jun-91,27.06166667
Jul-91,27.31290323
Aug-91,28.01064516
Sep-91,28.336
Oct-91,28.36032258
Nov-91,27.39033333
Dec-91,26.08129032
Jan-92,25.47806452
Feb-92,25.3662069
Mar-92,25.73258065
Apr-92,26.26066667
May-92,26.30645161
Jun-92,27.14433333
Jul-92,27.68354839
Aug-92,27.83032258
Sep-92,28.12566667
Oct-92,28.49096774
Nov-92,27.57333333
Dec-92,26.65
Jan-93,25.60580645
Feb-93,25.69821429
Mar-93,25.46806452
Apr-93,26.274
May-93,26.89032258
Jun-93,27.77966667
