Entity,Code,Year,14.1.1 - Beach litter per square kilometer (Number) - EN_MAR_BEALITSQ
Albania,ALB,2018,1284797
Algeria,DZA,2015,34285714
Algeria,DZA,2016,39450549
Algeria,DZA,2018,2485
Americas,,2015,8264
Americas,,2016,362231
Americas,,2017,324916
Americas,,2018,197370
Americas,,2019,1236
Americas,,2020,1653
Argentina,ARG,2015,5832512
Argentina,ARG,2016,490427
Argentina,ARG,2017,3788199
Argentina,ARG,2018,6801203
Asia,,2015,619343
Asia,,2016,402912
Asia,,2017,1470047
Asia,,2018,873113
Asia,,2019,1119
Asia,,2020,364
Australia,AUS,2015,1514
Australia,AUS,2016,7202
Australia,AUS,2017,210440
Australia,AUS,2018,140982
Australia and New Zealand,,2015,1514
Australia and New Zealand,,2016,7798
Australia and New Zealand,,2017,208543
Australia and New Zealand,,2018,152920
Austria,AUT,2017,148483
Azerbaijan,AZE,2016,59891
Azerbaijan,AZE,2018,249169
Bahamas,BHS,2016,101987
Bahamas,BHS,2017,418691
Bahamas,BHS,2018,498357
Bangladesh,BGD,2016,146784466
Bangladesh,BGD,2017,5784746
Bangladesh,BGD,2018,4008336
Barbados,BRB,2016,1150075
Barbados,BRB,2017,2376585
Barbados,BRB,2018,2485
Belgium,BEL,2015,15202899
Belgium,BEL,2016,270451
Belgium,BEL,2017,227316
Belgium,BEL,2018,19152
Belgium,BEL,2019,664536
Belize,BLZ,2016,1602169
Belize,BLZ,2017,988723
Belize,BLZ,2018,1180478
Bermuda,BMU,2016,484916
Bermuda,BMU,2017,1806490
Bermuda,BMU,2018,897788
Bonaire Sint Eustatius and Saba,BES,2017,152058
Bonaire Sint Eustatius and Saba,BES,2018,2743364
Bosnia and Herzegovina,BIH,2016,1428111
Brazil,BRA,2015,5410680
Brazil,BRA,2016,1563746
Brazil,BRA,2017,1792397
Brazil,BRA,2018,507292
Brazil,BRA,2019,4741
British Virgin Islands,VGB,2016,2476880
British Virgin Islands,VGB,2017,2499565
Brunei,BRN,2016,796452
Brunei,BRN,2017,204454
Brunei,BRN,2018,88928
Bulgaria,BGR,2015,231936
Bulgaria,BGR,2016,192462
Bulgaria,BGR,2017,2292929
Bulgaria,BGR,2018,2618936
Bulgaria,BGR,2019,2589610
Bulgaria,BGR,2020,2159091
Cambodia,KHM,2016,2909923
Cambodia,KHM,2017,6435405
Cambodia,KHM,2018,5243328
Cameroon,CMR,2018,84679624
Canada,CAN,2015,1525
Canada,CAN,2016,194241
Canada,CAN,2017,333327
Canada,CAN,2018,328376
Cape Verde,CPV,2018,164926
Caribbean,,2016,1996358
Caribbean,,2017,2190121
