Indicator,Target reef fish species density,,,,,Target reef fish species density
Unit,Average density per reef site,,,,,Average density per reef site
Extent,St. Croix,,,,,St. Croix
YEAR,SPECIES_CD,Reef species density,SE,SampleSize,,
2001,BAL VETU,0.282481074,0.514085979,86,,
2001,EPI GUTT,0.453909593,0.277707675,86,,
2001,LUT ANAL,0.015716892,0.067367693,86,,
2001,OCY CHRY,1.09261353,0.52715305,86,,
2001,SPA AURO,7.820506266,1.134702101,86,,
2001,SPA VIRI,1.89030053,0.354867166,86,,
2002,BAL VETU,0.43112868,0.253677754,76,,
2002,EPI GUTT,0.731586485,0.224245209,76,,
2002,LUT ANAL,0.09075013,0.19254941,76,,
2002,OCY CHRY,2.125155702,0.49133087,76,,
2002,SPA AURO,7.689369714,0.522419797,76,,
2002,SPA VIRI,2.149229822,0.585891085,76,,
2003,BAL VETU,0.27197641,0.135911014,165,,
2003,EPI GUTT,0.510583021,0.161787015,165,,
2003,LUT ANAL,0.037446497,0.144906696,165,,
2003,OCY CHRY,0.711721003,0.238406604,165,,
2003,SPA AURO,7.334369135,0.377482301,165,,
2003,SPA VIRI,1.463391693,0.20877897,165,,
2004,BAL VETU,0.145236365,0.138963168,114,,
2004,EPI GUTT,0.294158066,0.172072431,114,,
2004,LUT ANAL,0.00752527,0.06280586,114,,
2004,OCY CHRY,0.29943708,0.137074678,114,,
2004,SPA AURO,4.736432961,0.454083445,114,,
2004,SPA VIRI,2.19520143,0.346430554,114,,
2005,BAL VETU,0.304705974,0.258099478,170,,
2005,EPI GUTT,0.623521045,0.207859491,170,,
2005,LUT ANAL,0.051162435,0.125374377,170,,
2005,OCY CHRY,0.37323001,0.157011576,170,,
2005,SPA AURO,7.728665372,0.401589978,170,,
2005,SPA VIRI,1.330164547,0.19099172,170,,
2006,BAL VETU,0.530986622,0.161507767,185,,
2006,EPI GUTT,0.585408249,0.133665098,185,,
2006,LUT ANAL,0.053218855,0.132886791,185,,
2006,OCY CHRY,0.478640299,0.158959585,185,,
2006,SPA AURO,6.055468812,0.235967563,185,,
2006,SPA VIRI,1.026431648,0.16356644,185,,
2007,BAL VETU,0.275832323,0.121716498,90,,
2007,EPI GUTT,0.449687022,0.201395568,90,,
2007,LUT ANAL,0.025796479,0.152274069,90,,
2007,OCY CHRY,0.79275342,0.21733701,90,,
2007,SPA AURO,6.103910328,0.260873732,90,,
2007,SPA VIRI,1.476479217,0.129753404,90,,
2008,BAL VETU,0.398915891,0.157098399,167,,
2008,EPI GUTT,0.501565507,0.151498253,167,,
2008,LUT ANAL,0.053382615,0.10175171,167,,
2008,OCY CHRY,0.355777107,0.193694487,167,,
2008,SPA AURO,6.056192457,0.25473337,167,,
2008,SPA VIRI,0.946336073,0.135713241,167,,
2009,BAL VETU,0.291378408,0.12707715,157,,
2009,EPI GUTT,0.200547822,0.096118838,157,,
2009,LUT ANAL,0.069487224,0.124675238,157,,
2009,OCY CHRY,0.342344852,0.20411587,157,,
2009,SPA AURO,6.242031576,0.267578877,157,,
2009,SPA VIRI,0.857718493,0.180534633,157,,
2010,BAL VETU,0.464962992,0.130434913,118,,
2010,EPI GUTT,0.132278413,0.128524009,118,,
2010,LUT ANAL,0.022612761,0.117811549,118,,
2010,OCY CHRY,0.449255529,0.174605583,118,,
2010,SPA AURO,7.621913068,0.328069207,118,,
2010,SPA VIRI,1.187657896,0.170929616,118,,
2011,BAL VETU,0.582798115,0.297257977,41,,
2011,EPI GUTT,0.3475825,0.343971096,41,,
2011,LUT ANAL,0,,41,,
2011,OCY CHRY,0.120202804,0.141193074,41,,
2011,SPA AURO,4.516611227,0.334736097,41,,
2011,SPA VIRI,1.389243947,0.231594454,41,,
2012,BAL VETU,0.437690807,0.137496384,262,,
2012,EPI GUTT,0.157137779,0.132395,262,,
2012,LUT ANAL,0.012405009,0.042403321,262,,
2012,OCY CHRY,0.341944895,0.163373462,262,,
2012,SPA AURO,4.58950486,0.188284287,262,,
2012,SPA VIRI,0.830963582,0.107733763,262,,
2015,BAL VETU,0.364899627,0.109900311,239,,
2015,EPI GUTT,0.265328049,0.08419831,239,,
2015,LUT ANAL,0.062586109,0.079032334,239,,
2015,OCY CHRY,0.317223421,0.19488669,239,,
2015,SPA AURO,4.576395679,0.192159609,239,,
2015,SPA VIRI,1.04318178,0.158458171,239,,
2017,BAL VETU,0.530714099,0.089352237,181,,
2017,EPI GUTT,0.271864534,0.084822571,181,,
2017,LUT ANAL,0.04875348,0.118701217,181,,
2017,OCY CHRY,0.415018374,0.389412705,181,,
2017,SPA AURO,4.950101131,0.167386088,181,,
2017,SPA VIRI,1.315607023,0.158819838,181,,
2019,BAL VETU,0.735802084,0.122998296,314,,
2019,EPI GUTT,0.478759099,0.084348119,314,,
2019,LUT ANAL,0.082467988,0.085034454,314,,
2019,OCY CHRY,0.178947998,0.119163256,314,,
2019,SPA AURO,3.547517729,0.134430851,314,,
2019,SPA VIRI,0.61730159,0.07894838,314,,
