Indicator,Hotel occupancy rates in PR
Unit,Percent occupancy
Month and year,Hotel occupancy rates in PR
17-Jan,64.1
17-Feb,71.2
17-Mar,76.1
17-Apr,72.8
17-May,66.1
17-Jun,77.1
17-Jul,82.1
17-Aug,73.7
17-Sep,54.9
17-Oct,77.3
17-Nov,82
17-Dec,78.9
18-Jan,81.1
18-Feb,84.3
18-Mar,81.7
18-Apr,73.8
18-May,71.7
18-Jun,77.9
18-Jul,76.4
18-Aug,71.1
18-Sep,58.7
18-Oct,58.4
18-Nov,64.6
18-Dec,64.1
19-Jan,65.9
19-Feb,73.5
19-Mar,75.64
19-Apr,69.9
19-May,64.3
19-Jun,74.5
19-Jul,76.2
19-Aug,67.12
19-Sep,51.1
19-Oct,56.4
19-Nov,63.9
19-Dec,66.4
20-Jan,63.7
20-Feb,73.5
20-Mar,39.5
20-Apr,5.4
20-May,9.7
20-Jun,26.66
20-Jul,39.4
20-Aug,28.5
20-Sep,25.1
20-Oct,34.7
20-Nov,31
20-Dec,33
