Indicator,Hotel occupancy rates,Hotel occupancy rates
Unit,Percent occupancy,Percent occupancy
Year,Puerto Rico,USVI
2011Jan,,57.6
2011Feb,,63.7
2011Mar,,66.3
2011Apr,,56.9
2011May,,51
2011June,,48.7
2011Jul,,51.7
2011Aug,,43.1
2011Sep,,34.3
2011Oct,,39
2011Nov,,48.2
2011Dec,,57.6
2012Jan,,59.5
2012Feb,,64.8
2012Mar,,61.9
2012Apr,,55
2012May,,47.5
2012June,,48.3
2012July,,54.1
2012Aug,,46
2012Sep,,32.2
2012Oct,,36.6
2012Nov,,51.7
2012Dec,,56.1
2013Jan,,59.7
2013Feb,,68.1
2013Mar,,67.3
2013Apr,,59.4
2013May,,54.6
2013June,,53.9
2013July,,56.4
2013Aug,,50
2013Sep,,32.7
2013Oct,,37.1
2013Nov,,50.3
2013Dec,,56.9
2014Jan,,60.9
2014Feb,,65.1
2014Mar,,63.6
2014Apr,,56.8
2014May,,53.1
2014Jun,,54.7
2014Jul,,57.5
2014Aug,,49.2
2014Sep,,34
2014Oct,,40.3
2014Nov,,52
2014Dec,,57.4
2015Jan,,64.7
2015Feb,,67.8
2015Mar,,67.5
2015Apr,,63.2
2015May,,58.9
2015Jun,,58.9
2015Jul,,60.9
2015Aug,,51.3
2015Sep,,37.9
2015Oct,,42.6
2015Nov,,53.4
2015Dec,,60
2016Jan,,66.2
2016Feb,,69.5
2016Mar,,67.3
2016Apr,,57.9
2016May,,56.2
2016Jun,,60.1
2016Jul,,59.1
2016Aug,,54.3
2016Sep,,39.2
2016Oct,,40.1
2016Nov,,51
2016Dec,,61.7
2017Jan,64.1,68
2017Feb,71.2,71
2017Mar,76.1,69
2017Apr,72.8,55
2017May,66.1,58
2017Jun,77.1,59
2017Jul,82.1,56
2017Aug,73.7,21
2017Sep,54.9,9
2017Oct,77.3,11
2017Nov,82,45
2017Dec,78.9,44
2018Jan,81.1,41
2018Feb,84.3,50
2018Mar,81.7,57
2018Apr,73.8,55
2018May,71.7,62
2018Jun,77.9,67
2018Jul,76.4,68
2018Aug,71.1,58
2018Sep,58.7,50
2018Oct,58.4,40
2018Nov,64.6,42
2018Dec,64.1,48
2019Jan,65.9,70
2019Feb,73.5,72
2019Mar,75.64,68
2019Apr,69.9,55
2019May,64.3,54
2019Jun,74.5,54
2019Jul,76.2,62
2019Aug,67.12,58
2019Sep,51.1,38
2019Oct,56.4,37
2019Nov,63.9,30
2019Dec,66.4,52
2020Jan,63.7,32
2020Feb,73.5,31
2020Mar,39.5,20
2020Apr,5.4,2
2020May,9.7,3
2020Jun,26.66,11
2020Jul,39.4,12
2020Aug,28.5,10
2020Sep,25.1,8
2020Oct,34.7,11
2020Nov,31,16
2020Dec,33,18
2021Jan,,16
2021Feb,,8
