Community,PerDis,PopCom,Poverty,LabFrc_rev,HsChr_rev,RetMig,Region,PerDisCat,PopComCat,PovertyCat,LabFrc_revCat,HsChr_rev_Cat,RetMigCat
Arecibo,0.305728367,0.614102657,0.33224115,0.672979872,0.934743325,0.52692041,W,2,3,2,3,3,3
Barceloneta,0.622220248,0.678304187,0.143657176,0.374450226,0.292813208,0.017561058,W,3,3,2,2,2,2
Camuy,-0.28536295,0.500933531,0.341732661,0.480228965,0.635634314,0.17553547,W,1,3,2,2,3,2
Hatillo,-1.15687254,0.514126626,0.457244484,0.157459027,0.716626045,-0.041424909,W,1,3,2,2,3,1
Isabela,0.132269661,0.485405445,0.853150776,0.61658239,0.646514635,0.081840593,W,2,2,3,3,3,2
Quebradillas,-0.183114325,0.42351042,0.494610526,0.702179079,0.598181875,0.585727878,W,1,2,2,3,3,3
Aguada,0.303267131,-0.028847843,0.345184455,0.892696401,0.717273712,0.624140837,W,2,1,2,3,3,3
Aguadilla,0.770145255,0.52113563,0.594440943,0.591866141,0.730782125,0.108823114,W,3,3,3,3,3,2
Añasco,1.646190184,0.150331875,0.100188863,0.619536886,0.732154148,0.833912681,W,4,2,2,3,3,3
Cabo Rojo,0.196745144,0.530134812,0.572828643,0.557020544,-0.809484919,0.613840384,W,2,3,3,3,1,3
Mayagüez,1.280810322,0.826622989,0.601586745,0.644397303,0.572081437,0.599690559,W,4,3,3,3,3,3
Rincón,0.026631906,0.078670023,0.126699821,0.398254812,0.295802968,0.762532274,W,2,2,2,2,2,3
Guánica,1.635011142,0.515457692,1.577783286,1.298511814,0.904612122,1.469358904,W,4,3,4,4,3,4
Guayanilla,1.057913972,0.590634757,1.422642534,0.420360286,0.909169783,0.071516738,W,4,3,4,2,3,2
Lajas,2.032435942,0.658990433,1.452226144,0.894563627,-0.15677397,1.43437425,W,4,3,4,3,1,4
Peñuelas,1.230498929,0.502566148,1.493060905,0.298641643,0.934369512,-0.423515296,W,4,3,4,2,3,1
Ponce,0.293433901,0.800812362,0.713810381,0.451249115,0.7915164,0.328511694,W,2,3,3,2,3,2
Carolina,-0.188908297,0.693062616,-0.723408399,-0.770299929,0.163738942,-0.297407164,E,1,3,1,1,2,1
Cataño,0.076387786,0.714312879,0.642749604,-0.055515684,0.372864195,-0.047891341,E,2,3,3,1,2,1
Dorado,0.064195672,0.094947202,-0.770709457,-0.308174511,-0.301156355,-0.6375253,E,2,2,1,1,1,1
Guaynabo,-1.52570582,0.305123232,-1.226510878,-0.747542203,-0.026950206,0.052962691,E,1,2,1,1,1,2
Loíza,1.966220124,1.030437114,0.755590528,-0.214834707,0.374761874,-0.269100449,E,4,4,3,1,2,1
Luquillo,0.279211283,0.519328706,-0.081611448,-0.129033475,0.218949701,0.005663429,E,2,3,1,1,2,2
Manatí,0.395334486,0.621139949,0.300598378,0.693367475,-0.051065156,0.440324958,E,2,3,2,3,1,2
Río Grande,0.585096726,0.404033954,-0.23529307,-0.380826534,0.082338837,-0.234116294,E,3,2,1,1,2,1
San Juan,-0.281829215,0.760998658,-0.215207836,-0.880388359,0.241579299,-0.845133894,E,1,3,1,1,2,1
Toa Baja,-0.130695767,0.458292575,-0.309465364,-0.533104891,0.192469974,-0.642237751,E,1,2,1,1,2,1
Vega Alta,0.558048846,0.136860713,0.275177174,0.047208288,0.292929722,-0.338746218,E,3,2,2,2,2,1
Vega Baja,0.32113084,0.254080204,0.265498483,0.340927205,0.111259033,0.202126882,E,2,2,2,2,2,2
Ceiba,0.464554217,0.373813171,-0.092749482,0.510164216,0.059134181,0.826269544,E,2,2,1,3,2,3
Culebra,-1.455668471,-0.019689732,-0.64965152,-0.964797966,-1.011852185,0.745922776,E,1,1,1,1,1,3
Fajardo,1.174047428,0.788558064,0.178609453,-0.326598279,0.356786479,-0.193949428,E,4,3,2,1,2,1
Humacao,-0.266861698,0.466078772,-0.323717693,0.814101299,0.191410939,0.717309915,E,1,2,1,3,2,3
Naguabo,0.584907738,0.469651131,0.082681383,0.725545284,0.252946499,-0.311708566,E,3,2,2,3,2,1
Vieques,-0.659338497,0.574684329,1.095174057,1.072061785,-0.277870695,1.83679604,E,1,3,4,4,1,4
Yabucoa,0.804246568,0.546836199,0.773225949,0.995580526,0.465369795,1.078255186,E,3,3,3,3,2,4
Arroyo,0.503976951,0.905332339,1.405066265,1.06346106,0.677892986,0.766085698,E,3,3,4,4,3,3
Guayama,0.133951071,0.824026375,1.045935995,0.910186396,0.649651787,0.45042042,E,2,3,4,3,3,2
Juana Díaz,0.945177839,0.356638516,0.258646083,-0.076313064,0.703669615,-0.453775423,E,3,2,2,1,3,1
Maunabo,-0.191736672,0.668119857,-0.334931483,1.414150024,0.500432279,1.75302307,E,1,3,1,4,3,4
Patillas,-0.124546019,0.352441142,0.422209381,1.106169179,0.512484533,0.982694834,E,1,2,2,4,3,3
Salinas,0.140280141,0.532565864,0.553200353,0.563659099,0.622379116,0.415814656,E,2,3,3,3,3,2
Santa Isabel,0.323163606,0.570852253,0.450885258,-0.406819462,0.358861133,-0.738367861,E,2,3,2,1,2,1
Anna's Hope Village,-2.159246796,-1.748902471,-2.05224105,-1.358692475,-0.975771939,-0.664215237,STX,1,1,1,1,1,1
Christiansted,-0.834611761,-1.3348867,-0.499624649,-1.630789504,-1.090519954,-2.21274314,STX,1,1,1,1,1,1
East End,-2.9277645,-2.644842985,-2.621171397,-1.13083454,-2.039241251,0.098620945,STX,1,1,1,1,1,2
Frederiksted,1.411376115,-1.390037584,0.196662378,-1.295651803,-0.465219774,-2.194265212,STX,4,1,2,1,1,1
Northcentral,-0.335247188,-1.380412271,-1.144580742,-0.684011094,-1.301032228,0.238908382,STX,1,1,1,1,1,2
Sion Farm,-1.139952289,-1.609707609,-1.583632478,-1.296336285,-1.547054638,-0.726315924,STX,1,1,1,1,1,1
Southcentral,0.150377611,-1.488909375,-0.579118436,-1.275740971,-0.600592407,-1.36939953,STX,2,1,1,1,1,1
Southwest,-0.365113745,-1.371992386,-1.124611499,-0.805104622,-0.492336003,-0.392407932,STX,1,1,1,1,1,1
Central,-1.980763798,-2.522347303,-2.609342278,-2.697694566,-3.475443832,-2.859407608,STJ,1,1,1,1,1,1
Coral Bay,-1.733411855,-2.651853432,-2.017530695,-2.039727366,-2.342665831,-1.249384704,STJ,1,1,1,1,1,1
