Indicator,Sargassum innundation,,,Sargassum innundation,,,Sargassum innundation,,
Unit,Mean area (km^2),,,Mean mass (tons),,,Mean valid area (km^2),,
,,ulim,llim,,ulim,llim,,ulim,llim
2011Jan,0.0755239,0.1534907,-0.0024429,252.25,512.659,-8.159,30157.7,30780.261,29535.139
2011Feb,0.0875621,0.2142361,-0.0391119,292.457,715.548,-130.634,30479.6,30503.3763,30455.8237
2011Mar,0.091627,0.1632589,0.0199951,306.034,545.284,66.784,30472.7,30508.1245,30437.2755
2011Apr,0.054974,0.099564,0.010384,183.613,332.544,34.682,30299,30893.503,29704.497
2011May,0.0220124,0.0424304,0.0015944,73.5214,141.7177,5.3251,28832.2,30532.6,27131.8
2011Jun,0.568987,0.918188,0.219786,1900.42,3066.75,734.09,29540.2,31448.88,27631.52
2011Jul,2.55551,5.03738,0.07364,8535.42,16824.88,245.96,29053,30570.8,27535.2
2011Aug,2.98844,4.52175,1.45513,9981.4,15102.64,4860.16,29281.5,30448.45,28114.55
2011Sep,6.1185,8.36624,3.87076,20435.8,27943.24,12928.36,29624.2,31573.3,27675.1
2011Oct,1.28595,2.47403,0.09787,4295.06,8263.23,326.89,30373.7,30627.496,30119.904
2011Nov,0.293774,0.490852,0.096696,981.206,1639.445,322.967,29922.2,31262.38,28582.02
2011Dec,0.120423,0.2184263,0.0224197,402.214,729.545,74.883,30454.6,30527.6491,30381.5509
2012Jan,0.0506085,0.1266958,-0.0254788,169.033,423.165,-85.099,30482.2,30489.79587,30474.60413
2012Feb,0.121605,0.257718,-0.014508,406.16,860.777,-48.457,30483,30488.80479,30477.19521
2012Mar,0.26363,0.565866,-0.038606,880.523,1889.993,-128.947,30016.5,30869.636,29163.364
2012Apr,1.37694,2.254002,0.499878,4598.99,7528.38,1669.6,29893.2,31272.14,28514.26
2012May,1.17105,1.651365,0.690735,3911.3,5515.55,2307.05,29038.6,30509.36,27567.84
2012June,0.85921,1.20018,0.51824,2869.76,4008.6,1730.92,29369,31371.78,27366.22
2012July,0.433768,0.894632,-0.027096,1448.79,2988.08,-90.5,29443.6,30689.87,28197.33
2012Aug,2.25964,3.56369,0.95559,7547.21,11902.75,3191.67,28209.9,30739.27,25680.53
2012Sep,0.77404,1.014622,0.533458,2585.29,3388.835,1781.745,30480,30492.1663,30467.8337
2012Oct,0.650555,1.272425,0.028685,2172.85,4249.9,95.8,30117.2,30748.095,29486.305
2012Nov,0.229634,0.372007,0.087261,766.979,1242.504,291.454,30477,30504.0428,30449.9572
2012Dec,0.0199367,0.0502779,-0.0104045,66.5884,167.9274,-34.7506,30430.5,30521.087,30339.913
2013Jan,0.0228258,0.0587093,-0.0130577,76.2383,196.0893,-43.6127,30480.6,30500.0482,30461.1518
2013Feb,0.0321402,0.0858833,-0.0216029,107.348,286.85,-72.154,30484.1,30484.10199,30484.09801
2013Mar,0.0255092,0.0524639,-0.0014455,85.2008,175.2293,-4.8277,30483.8,30485.67147,30481.92853
2013Apr,1.45388,3.53641,-0.62865,4855.95,11811.6,-2099.7,30436.7,30526.0061,30347.3939
2013May,0.0582996,0.1643916,-0.0477924,194.721,549.068,-159.626,28583.1,30674.69,26491.51
2013June,0,0,0,0,0,0,26181.3,27618.16,24744.44
2013July,0.237431,0.675988,-0.201126,793.02,2257.8,-671.76,29712.1,30974.39,28449.81
2013Aug,0.0464964,0.1845954,-0.0916026,155.298,616.548,-305.952,29844,30757.583,28930.417
2013Sep,0.0857916,0.1870166,-0.0154334,286.544,624.637,-51.549,29553.9,31244.07,27863.73
2013Oct,0.300819,0.569958,0.03168,1004.73,1903.654,105.806,30027.1,31133.01,28921.19
2013Nov,0.142519,0.288843,-0.003805,476.014,964.737,-12.709,30282,31034.794,29529.206
2013Dec,0.153838,0.461912,-0.154236,513.817,1542.787,-515.153,30426.9,30535.363,30318.437
2014Jan,0.145102,0.304727,-0.014523,484.642,1017.789,-48.505,30476,30507.4193,30444.5807
