SAMPLE CODE,YEAR,REGION,LOCATION,SITE NAME,DEPTH ZONE,TRANSECT,Rugosity (m),Recently dead coral,Reef overhang,Rubble,Sand,Sand and rubble,Pavement,Gaps/Holes,Abiotic (total),Bartholomea annulata,Lebrunia neglecta,Phymanthus crucifer,Ricordea florida,Rhodactis osculifera,Anemone spp.,Anemones (total),Eudistoma spp.,Trididemnum solidum,Ascidian spp.,Tunicata (total),CCA (total),Cyanobacteria (total),Thalassia testudinum,Seagrass (total),Amphiroa spp.,Asparagopsis taxiformis,Asparagopsis taxiformis on Ramicrusta,Caulerpa racemosa,Caulerpa spp.,Caulerpa spp. on Ramicrusta,Dichotomaria marginata,Dictyota spp.,Dictyota spp. on Ramicrusta,Galaxaura spp.,Galaxaura spp. on Ramicrusta,Gracilaria spp.,Halimeda discoidea,Halimeda spp.,Halimeda spp. on Ramicrusta,Halimeda tuna,Jania spp.,Lobophora spp.,Lobophora variegata,Lobophora variegatus on Ramicrusta,Martensia pavonia,Padina spp.,Sargassum hystrix,Sargassum natans,Stypopodium spp.,Stypopodium zonale,Udotea spp.,Valonia ventricosa,Wrangelia bicuspidata,Macroalgae spp.,Macroalgae (total),Ramicrusta spp.,Peyssonnelia spp.,Peyssonneliaceae (total),Turf (mixed) on Ramicrusta,Turf (mixed) with sediment,Turf (mixed),Turf Algae (total),Antillogorgia acerosa,Antillogorgia americana,Antillogorgia bipinnata,Antillogorgia rigida,Eunicea calyculata,Eunicea flexuosa,Eunicea mammosa,Eunicea pallida,Eunicea spp.,Eunicea succinea,Eunicea tourneforti,Gorgonia mariae,Gorgonia ventalina,Muricea atlantica,Muricea elongata,Muricea muricata,Muricea pinnata,Muriceopsis flavida,Plexaura homomalla,Plexaura kukenthali,Plexaura spp.,Plexaurella nutans,Plexaurella spp.,Pseudoplexaura flagellosa,Pseudoplexaura spp.,Pseudoplexaura wagenaari,Pterogorgia guadalupensis,Pterogorgia spp.,Octocoral spp.,Octocorals (total erect),Briareum asbestinum,Erythropodium caribaeorum,Octocoral spp.(encrusting),Octocorals (total encrusting),Antillogorgia acerosa (# col.),Antillogorgia americana (# col.),Antillogorgia bipinnata (# col.),Antillogorgia spp. (# col.)  ,Briareum asbestinum (# col.),Erythropodium caribaeorum (# col.),Eunicea asperula (# col.),Eunicea calyculata (# col.),Eunicea flexuosa (# col.),Eunicea laciniata (# col.),Eunicea laxispica (# col.),Eunicea mammosa (# col.),Eunicea spp. (# col.),Eunicea succinea (# col.),Eunicea tourneforti (# col.),Gorgonia ventalina (# col.),Muricea atlantica (# col.),Muricea elongata (# col.),Muricea laxa (# col.),Muricea muricata (# col.),Muricea spp. (# col).,Muriceopsis flavida (# col.),Plexaura homomalla (# col.),Plexaura kukenthali (# col.),Plexaura kuna (# col.),Plexaura spp. (# col.),Plexaurella dichotoma (# col.),Plexaurella nutans (# col.),Plexaurella spp. (# col.),Pseudoplexaura flagellosa (# col.),Pseudoplexaura porosa (# col.),Pterogorgia citrina (# col.),Pterogorgia guadalupensis (# col.),Pterogorgia spp. (# col.),Octocoral (total # col.),Agelas citrina,Agelas clathrodes,Agelas conifera,Agelas dispar,Agelas sceptrum,Agelas spp.,Agelas sventres,Agelas tubulata,Aiolochroia crassa,Amphimedon caribica,Amphimedon compressa,Amphimedon viridis,Aplysina archeri,Aplysina cauliformis,Aplysina fistularis,Aplysina fulva,Aplysina insularis,Aplysina lacunosa,Aplysina spp.,Biemna caribea,Biemna spp.,Callyspongia armigera,Callyspongia (Callyspongia) fallax,Callyspongia plicifera,Callyspongia spp.,Callyspongia tenerrima,Callyspongia vaginalis,Chondrilla caribensis,Chondrosia collectrix,Cinachyrella apion,Cinachyrella kuekenthali,Clathria spp.,Clathria (Thalysias) venosa,Cliona aprica,Cliona caribbaea,Cliothosa delitrix,Cliona spp.,Cliona tenuis,Cliona varians,Cribrochalina vasculum,Desmapsamma spp.,Desmapsamma anchorata,Dictyonella funicularis,Dictyonella spp.,Diplastrella spp.,Dragmacidon reticulatum,Dysidea etheria,Dysidea janiae,Ectyoplasia ferox,Geodia neptuni,Haliclona spp.,Halisarca caerulea,Halisarca spp.,Iotrochota arenosa,Iotrochota birotulata,Ircinia campana,Ircinia felix,Ircinia spp.,Ircinia strobilina,Monanchora arbuscula,Mycale (Mycale) laevis,Mycale laxissima,Neofibularia nolitangere,Neopetrosia carbonaria,Neopetrosia proxima,Neopetrosia rosariensis,Neopetrosia spp.,Niphates alba,Niphates amorpha,Niphates caycedoi,Niphates digitalis,Niphates erecta,Niphates spp.,Coelocarteria bartschi,Petrosia (Petrosia) pellasarca,Petrosia spp.,Petrosia (Petrosia) weinbergi,Phorbas amaranthus,Timea micraster,Plakortis angulospiculatus,Plakortis halichondrioides,Plakortis spp.,Prosuberites laughlini,Ptilocaulis walpersii,Scopalina ruetzleri,Smenospongia aurea,Smenospongia conulosa,Spheciospongia vesparium,Spirastrella coccinea,Spirastrella hartmani,Suberea spp.,Svenzea cristinae,Svenzea zeai,Tedania (Tedania) klausi,Topsentia ophiraphidites,Topsentia spp.,Verongula reiswigi,Verongula rigida,Verongula spp.,Xestospongia muta,Sponge spp.,Sponges (total),Acropora cervicornis,Acropora palmata,Acropora prolifera,Agaricia agaricites,Agaricia fragilis,Agaricia grahamae,Agaricia humilis,Agaricia lamarcki,Agaricia spp.,Colpophyllia natans,Dendrogyra cylindrus,Dichocoenia stokesii,Diploria labyrinthiformis,Eusmilia fastigiata,Helioseris cucullata,Isophyllia rigida,Isophyllia sinuosa,Madracis auretenra,Madracis carmabi,Madracis decactis,Madracis formosa,Madracis pharensis,Madracis senaria,Madracis spp.,Manicina areolata,Meandrina jacksoni,Meandrina meandrites,Montastraea cavernosa,Mussa angulosa,Mycetophyllia aliciae,Mycetophyllia danaana,Mycetophyllia ferox,Mycetophyllia lamarckiana,Mycetophyllia spp.,Oculina diffusa,Orbicella annularis,Orbicella annularis (complex),Orbicella faveolata,Orbicella franksi,Porites astreoides,Porites colonensis,Porites divaricata,Porites furcata,Porites porites,Pseudodiploria clivosa,Pseudodiploria strigosa,Scolymia cubensis,Scolymia spp.,Siderastrea radians,Siderastrea siderea,Solenastrea bournoni,Stephanocoenia intersepta,Stony Coral spp.,Millepora alcicornis,Millepora complanata,Millepora spp.,Millepora squarrosa,Stylaster roseus,Stony Corals (total),Stony Corals (total # diseased col.),Stony Corals (total #col.),Stony Corals (total # bleached col.),Partially bleached coral (total),Condominium spp.,Palythoa grandis,Palythoa caribaeorum,Zoanthids (total)
1999Berbería1,1999,South,Ponce,Berbería,Shallow,1,2.94,,4.79,0.00,1.62,0.00,,0.00,6.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,23.11,23.11,0.00,0.00,0.00,,,44.05,44.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,1.31,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.42,7.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,6.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.93,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,16.48,,,,,0.00,0.00,1.31,1.31
1999Berbería2,1999,South,Ponce,Berbería,Shallow,2,2.06,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,22.55,22.55,0.00,0.00,0.00,,,48.76,48.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05,6.05,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22,5.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.91,0.00,0.00,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3.23,,,1.41,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,4.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.34,,,,,0.00,0.00,1.99,1.99
1999Berbería3,1999,South,Ponce,Berbería,Shallow,3,3.13,,5.94,0.00,0.00,0.99,,0.00,6.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,49.43,49.43,0.00,0.00,0.00,,,23.91,23.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,4.27,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,3.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,7.62,,,1.29,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,11.25,,,,,0.00,0.00,0.53,0.53
1999Berbería4,1999,South,Ponce,Berbería,Shallow,4,3.65,,4.54,0.00,0.00,0.00,,0.00,4.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,15.60,15.60,0.00,0.00,0.00,,,61.25,61.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,2.05,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.56,,,2.71,0.00,0.00,0.00,3.59,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,16.28,,,,,0.00,0.00,0.00,0.00
1999Berbería5,1999,South,Ponce,Berbería,Shallow,5,2.48,,1.45,0.00,0.48,0.00,,0.00,1.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,27.19,27.19,0.00,0.00,0.00,,,45.62,45.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,3.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,12.39,,,1.05,0.00,0.00,0.00,5.31,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.49,,,,,0.00,0.00,0.32,0.32
1999Las Coronas (Cabo Rojo)1,1999,West,Cabo Rojo,Las Coronas (Cabo Rojo),Shallow,1,3.42,,5.89,0.00,0.00,3.87,,0.00,9.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,1.19,1.19,0.00,0.00,0.00,,,44.93,44.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61,9.61,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.61,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.00,0.00,2.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,0.00,0.00,0.00,0.00,0.00,1.05,0.00,,11.70,,,2.61,0.00,0.00,0.00,0.11,0.00,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,,,,,0.00,0.00,0.22,0.22
1999Las Coronas (Cabo Rojo)2,1999,West,Cabo Rojo,Las Coronas (Cabo Rojo),Shallow,2,1.63,,7.65,0.00,0.00,0.00,,0.00,7.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,31.56,31.56,0.00,0.00,0.00,,,40.15,40.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,1.46,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,10.92,,,1.98,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.10,,,,,0.00,0.00,0.00,0.00
1999Las Coronas (Cabo Rojo)3,1999,West,Cabo Rojo,Las Coronas (Cabo Rojo),Shallow,3,3.87,,8.15,0.00,0.00,0.00,,0.00,8.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,5.98,5.98,0.00,0.00,0.00,,,34.68,34.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32,11.32,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.18,1.66,0.00,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,12.62,,,0.41,0.00,0.00,0.00,1.80,0.00,2.44,0.00,0.00,0.00,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.47,,,,,0.00,0.00,1.51,1.51
1999Las Coronas (Cabo Rojo)4,1999,West,Cabo Rojo,Las Coronas (Cabo Rojo),Shallow,4,4.23,,7.68,0.00,0.00,0.00,,0.00,7.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,50.60,50.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.08,9.08,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73,5.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,,13.27,,,0.69,0.00,0.00,0.00,3.56,0.00,0.00,0.00,0.00,0.00,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.39,,,,,0.00,0.00,0.49,0.49
1999Las Coronas (Cabo Rojo)5,1999,West,Cabo Rojo,Las Coronas (Cabo Rojo),Shallow,5,1.99,,1.42,0.00,0.00,0.00,,0.00,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,60.13,60.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,4.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,12.43,,,3.25,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.70,,,,,0.00,0.00,0.00,0.00
