SampleYear,SampleMonth,Period,Location,FilmDate,Transect,CoralCov,GorgCov,SpoCov,ZoanCov,OtherLiveCov,MacaCov,CalgCov,CyanCov,EACCov,NonLiveCov,UnkCov,BLCov,DisCov
2001,4,Annual,Cane Bay,4/25/2001,1,4.98,0.00,2.68,0.00,0.00,6.13,1.53,0.00,79.69,3.45,1.53,0.00,0.00
2001,4,Annual,Cane Bay,4/25/2001,2,26.95,2.34,0.39,0.00,0.00,2.73,5.47,0.00,59.38,1.95,0.78,0.00,0.00
2001,4,Annual,Cane Bay,4/25/2001,3,37.21,2.71,0.78,0.00,0.00,3.10,3.88,0.00,49.61,1.16,1.55,0.00,0.00
2001,4,Annual,Cane Bay,4/25/2001,4,30.80,2.90,0.72,0.00,0.00,4.71,8.70,0.00,47.46,3.99,0.72,0.00,0.00
2001,4,Annual,Cane Bay,4/25/2001,5,23.23,0.39,0.79,0.00,0.39,0.39,3.94,0.00,69.69,0.79,0.39,0.00,0.00
2001,4,Annual,Cane Bay,4/25/2001,6,16.92,0.38,3.01,0.00,0.38,10.53,3.38,0.00,60.15,3.76,1.50,0.00,0.00
2001,7,Annual,Eagle Ray,7/27/2001,1,7.18,2.39,4.78,0.48,0.00,1.44,0.00,0.00,76.56,5.74,1.44,0.00,0.00
2001,7,Annual,Eagle Ray,7/27/2001,2,6.91,2.85,5.69,0.41,0.81,2.03,0.00,0.00,73.17,7.32,0.81,0.00,0.00
2001,7,Annual,Eagle Ray,7/27/2001,3,6.90,4.60,4.98,0.00,1.53,0.77,0.00,0.00,65.52,14.18,1.53,0.00,0.00
2001,7,Annual,Eagle Ray,7/27/2001,4,7.78,3.70,5.56,0.74,0.00,2.22,0.00,0.00,71.85,8.15,0.00,0.00,0.00
2001,7,Annual,Eagle Ray,7/27/2001,5,1.76,3.87,4.23,1.06,15.85,1.06,0.00,0.00,48.24,22.89,1.06,0.00,0.00
2001,7,Annual,Eagle Ray,7/27/2001,6,6.79,0.38,4.91,0.00,2.64,0.38,0.00,0.00,83.02,1.89,0.00,0.00,0.00
2001,8,Annual,Lang Bank Red Hind FSA,8/1/2001,1,4.50,3.11,3.11,0.00,0.00,0.00,0.00,0.00,86.51,2.42,0.35,0.00,0.00
2001,8,Annual,Lang Bank Red Hind FSA,8/1/2001,2,3.91,2.61,2.61,0.00,0.00,1.74,0.00,0.00,84.35,4.35,0.43,0.00,0.00
2001,8,Annual,Lang Bank Red Hind FSA,8/1/2001,3,4.48,3.36,6.72,0.00,0.00,0.00,0.00,0.00,82.09,3.36,0.00,0.00,0.00
2001,8,Annual,Lang Bank Red Hind FSA,8/1/2001,4,6.69,6.69,0.00,0.00,0.00,0.00,0.00,0.00,86.61,0.00,0.00,0.00,0.00
2001,8,Annual,Lang Bank Red Hind FSA,8/1/2001,5,3.24,0.97,2.59,0.00,0.32,1.94,1.94,0.00,84.47,1.29,3.24,0.00,0.00
2001,8,Annual,Lang Bank Red Hind FSA,8/1/2001,6,6.89,5.90,7.54,0.33,0.00,2.30,5.25,0.00,71.15,0.66,0.00,0.00,0.00
2001,8,Annual,Jacks Bay,8/2/2001,1,8.50,0.34,5.10,0.00,0.00,34.35,2.72,0.00,47.96,0.00,1.02,0.00,0.00
2001,8,Annual,Jacks Bay,8/2/2001,2,5.95,2.60,1.49,0.00,0.00,42.75,7.43,0.00,39.41,0.00,0.37,0.00,0.00
2001,8,Annual,Jacks Bay,8/2/2001,3,11.19,2.45,2.10,0.00,0.00,24.13,4.55,0.00,54.55,0.00,1.05,0.00,0.00
2001,8,Annual,Jacks Bay,8/2/2001,4,11.46,0.69,1.04,0.00,0.00,26.04,5.56,0.00,54.51,0.35,0.35,0.00,0.00
2001,8,Annual,Jacks Bay,8/2/2001,5,4.59,3.89,3.53,0.00,0.00,43.46,0.35,0.00,43.46,0.00,0.71,0.00,0.00
2001,8,Annual,Jacks Bay,8/2/2001,6,5.07,0.72,4.35,0.00,0.00,29.71,1.09,0.00,58.33,0.00,0.72,0.00,0.00
2001,8,Annual,Buck Island STX,8/10/2001,1,11.26,6.62,0.00,0.00,0.00,33.44,0.66,0.00,34.77,11.92,1.32,0.00,0.00
2001,8,Annual,Buck Island STX,8/10/2001,2,14.83,8.52,0.00,0.00,0.00,33.12,0.00,0.32,27.13,16.09,0.00,0.00,0.00
2001,8,Annual,Buck Island STX,8/10/2001,3,22.40,3.60,0.00,0.00,0.00,24.00,0.00,0.00,33.60,15.60,0.80,0.00,0.00
2001,10,Annual,Salt River West,8/22/2001,1,12.15,0.35,0.69,0.00,0.00,1.39,1.74,0.00,82.99,0.00,0.69,0.00,0.00
2001,10,Annual,Salt River West,8/22/2001,2,5.74,1.69,4.39,0.00,0.00,11.15,4.05,0.00,72.64,0.00,0.34,0.00,0.00
2001,10,Annual,Salt River West,8/22/2001,3,14.38,1.31,3.59,0.00,0.00,5.88,6.54,0.00,66.67,0.65,0.98,0.00,0.00
2001,9,Annual,Coculus Rock,9/25/2001,1,4.09,0.74,8.18,0.00,0.74,20.82,0.00,0.74,60.97,1.86,1.86,0.00,0.00
2001,9,Annual,Coculus Rock,9/25/2001,2,9.54,2.67,4.20,0.76,0.00,22.52,0.00,0.38,56.11,1.53,2.29,0.00,0.00
2001,9,Annual,Coculus Rock,9/25/2001,3,6.15,0.77,4.62,0.00,0.38,34.23,0.00,0.77,51.92,0.77,0.38,0.00,0.00
2001,9,Annual,Coculus Rock,9/25/2001,4,7.81,2.97,7.43,0.74,0.00,42.01,0.00,0.37,38.29,0.00,0.37,0.00,0.00
2001,9,Annual,Coculus Rock,9/25/2001,5,4.62,1.92,2.69,0.00,0.00,39.23,0.00,0.00,51.15,0.00,0.38,0.00,0.00
