Family,ScientificName,CommonNameUVI,CommonNameNOAA,SppCodeUVI,SppCodeNOAA,PrimTrophicUVI,PrimTrophicNOAA,SecTrophicNOAA,PrimTrophicSLH,Commercial,MinSize,MaxSize,MaxNum
Acanthuridae,Acanthurus bahianus,ocean surgeonfish,ocean surgeon,ACBA,ACA BAHI,herb,herb,NA,herb,N,2,38,50
Acanthuridae,Acanthurus chirurgus,doctorfish,doctorfish,ACCH,ACA CHIR,herb,herb,inv,herb,N,2,36,50
Acanthuridae,Acanthurus coeruleus,blue tang,blue tang,ACCO,ACA COER,herb,herb,inv,herb,N,2,38,50
Acanthuridae,Acanthurus sp.,surgeonfish species,surgeonfish species,ACSP,ACA SPE.,unk,unk,unk,herb,NA,2,38,50
Albulidae,Albula vulpes,bonefish,bonefish,ALVU,ALB VULP,NA,inv,herb,inv,NA,10,50,2
Antennariidae,Fowlerichthys ocellatus,ocellated frogfish,ocellated frogfish,FOOC,ANT OCEL,unk,unk,unk,pisc,NA,1,38,5
Apogonidae,Apogon aurolineatus,bridle cardinalfish,bridle cardinalfish,APAU,APO AURO,NA,plank,NA,plank,NA,1,7,5
Apogonidae,Apogon binotatus,barred cardinalfish,barred cardinalfish,APBI,APO BINO,NA,plank,NA,plank,NA,1,12,5
Apogonidae,Apogon lachneri,whitestar cardinalfish,whitestar cardinalfish,APLA,APO LACH,NA,inv,plank,plank,NA,1,12,5
Apogonidae,Apogon maculatus,flamefish,flamefish,APMA,APO MACU,NA,inv,plank,plank,NA,1,12,5
Apogonidae,Apogon phenax,mimic cardinalfish,mimic cardinalfish,APPH,APO PHEN,unk,unk,unk,plank,NA,1,12,5
Apogonidae,Apogon pseudomaculatus,twospot cardinalfish,twospot cardinalfish,APPS,APO PSEU,NA,plank,NA,plank,NA,1,12,5
Apogonidae,Apogon quadrisquamatus,sawcheek cardinalfish,sawcheek cardinalfish,APQU,APO QUAD,NA,plank,NA,plank,NA,1,7,5
Apogonidae,Apogon sp.,cardinalfish species Apogon,cardinalfish species,NA,APO SPE.,unk,unk,unk,unk,NA,1,12,5
Apogonidae,Apogon townsendi,belted cardinalfish,belted cardinalfish,APTO,APO TOWN,inv,inv,plank,plank,N,1,7,5
Apogonidae,Astrapogon puncticulatus,blackfin cardinalfish,blackfin cardinalfish,ASPU,AST PUNC,NA,inv,NA,plank,NA,1,12,5
Apogonidae,Astrapogon sp.,cardinalfish species Astrapogon,cardinalfish species,ASSP,AST SPE.,unk,unk,unk,plank,NA,1,12,5
Apogonidae,Astrapogon stellatus,conchfish,conchfish,ASST,AST STEL,NA,inv,NA,plank,NA,1,8,5
Apogonidae,Astroscopus guttatus,northern stargazer,northern stargazer,ASGU,AST GUTT,unk,unk,unk,pisc,NA,1,50,20
Apogonidae,Astroscopus y-graecum,southern stargazer,southern stargazer,ASYG,AST Y-GR,unk,unk,unk,pisc,NA,1,44,20
Apogonidae,Phaeoptyx xenus,sponge cardinalfish,sponge cardinalfish,PHXE,PHA XENU,unk,unk,unk,plank,NA,2,10,5
Atherinidae,Atherinomorus sp.,silverside species Atherinomorus,silverside species,ATSP,ATH SPE.,unk,unk,unk,plank,N,1,10,1000
Atherinidae,Atherinomorus stipes,hardhead silverside,hardhead silverside,ATST,ATH STIP,unk,unk,unk,plank,N,1,10,1000
Atherinidae,Hypoatherina harringtonensis,reef silverside,reef silverside,HYHA,HYP HARR,unk,unk,unk,plank,NA,1,10,1000
Atherinopsidae,Menidia sp.,silverside species Menidia,silverside species,MESP,MEN SPE.,unk,unk,unk,plank,NA,3,15,500
Aulostomidae,Aulostomus maculatus,Atlantic trumpetfish,Atlantic trumpetfish,AUMA,AUL MACU,pisc,pisc,inv,inv,N,15,91,5
Balistidae,Balistes capriscus,gray triggerfish,gray triggerfish,BACA,BAL CAPR,NA,inv,herb,inv,NA,15,30,10
Balistidae,Balistes sp.,triggerfish species,triggerfish species,BASP,BAL SPE.,unk,unk,unk,inv,NA,5,60,50
Balistidae,Balistes vetula,queen triggerfish,queen triggerfish,BAVE,BAL VETU,inv,inv,NA,inv,Y,15,61,10
Balistidae,Canthidermis sufflamen,ocean triggerfish,ocean triggerfish,CASU,CAN SUFF,plank,inv,plank,plank,N,20,61,20
Balistidae,Melichthys niger,black durgon,black durgon,MENI,MEL NIGE,plank,herb,inv,plank,N,5,41,50
Balistidae,Xanthichthys ringens,sargassum triggerfish,sargassum triggerfish,XARI,XAN RING,plank,zoo,NA,inv,N,2,8,5
Batrachoididae,Opsanus tau,oyster toadfish,oyster toadfish,OPTA,OPS TAU_,unk,unk,unk,inv,NA,5,38,5
Belonidae,Ablennes hians,flat needlefish,flat needlefish,ABHI,ABL HIAN,pisc,pisc,NA,pisc,N,20,70,50
Belonidae,Belonidae sp.,needlefish species,needlefish species,BESP,BEL SPE.,unk,unk,unk,pisc,NA,5,61,25
Belonidae,Platybelone argalus,keeltail needlefish,keeltail needlefish,PLAR,PLA ARGA,NA,pisc,inv,pisc,NA,10,43,15
Belonidae,Strongylura notata,redfin needlefish,redfin needlefish,STNO,STR NOTA,unk,unk,unk,pisc,NA,5,61,5
Belonidae,Strongylura timucu,timucu,timucu,STTI,STR TIMU,unk,unk,unk,pisc,NA,5,61,5
Belonidae,Tylosurus crocodilus,houndfish,houndfish,TYCR,TYL CROC,pisc,NA,NA,pisc,N,30,150,5
Blenniidae,Entomacrodus nigricans,pearl blenny,pearl blenny,EMNI,ENT NIGR,NA,herb,inv,inv,NA,1,5,5
Blenniidae,Hypleurochilus bermudensis,barred blenny,barred blenny,HYBE,HYP BERM,unk,unk,unk,inv,NA,1,10,5
Blenniidae,Ophioblennius macclurei,redlip blenny,redlip blenny,OPMC,OPH MACC,herb,herb,omni,plank,N,1,13,5
Blenniidae,Parablennius marmoreus,seaweed blenny,seaweed blenny,PAMA,PAR MARM,NA,plank,inv,inv,NA,1,9,5
Blenniidae,Scartella cristata,molly miller,molly miller,SCCR,SCA CRIS,NA,herb,inv,herb,NA,1,10,5
Bothidae,Bothus lunatus,peacock flounder,peacock flounder,BOLU,BOT LUNA,pisc,pisc,inv,pisc,N,10,45,5
Bothidae,Bothus ocellatus,eyed flounder,eyed flounder,BOOC,BOT OCEL,NA,inv,pisc,pisc,NA,10,15,5
