LOCATION,YEAR,Stony Corals (total # bleached col.),Partially bleached coral (total)
Ponce,1999,,0
Ponce,1999,,0
Ponce,1999,,0
Ponce,1999,,0
Ponce,1999,,0
Cabo Rojo,1999,,0
Cabo Rojo,1999,,0
Cabo Rojo,1999,,0
Cabo Rojo,1999,,0
Cabo Rojo,1999,,0
Cabo Rojo,1999,,0
Cabo Rojo,1999,,0
Cabo Rojo,1999,,0
Cabo Rojo,1999,,0
Cabo Rojo,1999,,0
Ponce,1999,,0
Ponce,1999,,0
Ponce,1999,,0
Ponce,1999,,0
Ponce,1999,,0
Guanica,1999,,0
Guanica,1999,,0
Guanica,1999,,0
Guanica,1999,,0
Guanica,1999,,0
Guanica,1999,,0
Guanica,1999,,0
Guanica,1999,,0
Guanica,1999,,0
Guanica,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Fajardo,1999,,0
Guanica,1999,,0
Guanica,1999,,0
Guanica,1999,,0
Guanica,1999,,0
Guanica,1999,,0
Cabo Rojo,1999,,0
Cabo Rojo,1999,,0
Cabo Rojo,1999,,0
Cabo Rojo,1999,,0
Cabo Rojo,1999,,0
Ponce,1999,,0
Ponce,1999,,0
Ponce,1999,,0
Ponce,1999,,0
Ponce,1999,,0
La Parguera,2000,,0
La Parguera,2000,,0
La Parguera,2000,,0
La Parguera,2000,,0
La Parguera,2000,,0
Isla Desecheo,2000,,0
Isla Desecheo,2000,,0
Isla Desecheo,2000,,0
Isla Desecheo,2000,,0
Isla Desecheo,2000,,0
Cabo Rojo,2000,,0
Cabo Rojo,2000,,0
Cabo Rojo,2000,,0
Cabo Rojo,2000,,0
Cabo Rojo,2000,,0
Cabo Rojo,2000,,0
Cabo Rojo,2000,,0
Cabo Rojo,2000,,0
Cabo Rojo,2000,,0
Cabo Rojo,2000,,0
La Parguera,2000,,0
La Parguera,2000,,0
La Parguera,2000,,0
La Parguera,2000,,0
La Parguera,2000,,0
La Parguera,2000,,0
La Parguera,2000,,0
La Parguera,2000,,0
La Parguera,2000,,0
La Parguera,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Mona,2000,,0
Isla Desecheo,2000,,0
Isla Desecheo,2000,,0
Isla Desecheo,2000,,0
Isla Desecheo,2000,,0
Isla Desecheo,2000,,0
Isla Desecheo,2000,,0
Isla Desecheo,2000,,0
Isla Desecheo,2000,,0
Isla Desecheo,2000,,0
Isla Desecheo,2000,,0
Cabo Rojo,2000,,0
Cabo Rojo,2000,,0
Cabo Rojo,2000,,0
Cabo Rojo,2000,,0
Cabo Rojo,2000,,0
Isla Vieques,2001,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Guayama,2001,,0
Guayama,2001,,0
Guayama,2001,,0
Salinas,2001,,0
Salinas,2001,,0
Salinas,2001,,0
Salinas,2001,,0
Salinas,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Ponce,2001,,0
Ponce,2001,,0
Ponce,2001,,0
Ponce,2001,,0
Ponce,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Arroyo,2001,,0
Arroyo,2001,,0
Arroyo,2001,,0
Arroyo,2001,,0
Arroyo,2001,,0
Guayama,2001,,0
Guayama,2001,,0
Guayama,2001,,0
Guayama,2001,,0
Guayama,2001,,0
Guayanilla,2001,,0
Guayanilla,2001,,0
Guayanilla,2001,,0
Guayanilla,2001,,0
Guayanilla,2001,,0
Guayanilla,2001,,0
Guayanilla,2001,,0
Guayanilla,2001,,0
Guayanilla,2001,,0
Guayanilla,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Ponce,2001,,0
Ponce,2001,,0
Ponce,2001,,0
Ponce,2001,,0
Ponce,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Arroyo,2001,,0
Arroyo,2001,,0
Arroyo,2001,,0
Arroyo,2001,,0
Arroyo,2001,,0
Guayanilla,2001,,0
Guayanilla,2001,,0
Guayanilla,2001,,0
Guayanilla,2001,,0
Guayanilla,2001,,0
Ponce,2001,,0
Ponce,2001,,0
Ponce,2001,,0
Ponce,2001,,0
Ponce,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2001,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Isla Desecheo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Cabo Rojo,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Rincon,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Isla Vieques,2004,,0
Ponce,2005,,0
Ponce,2005,,0
Ponce,2005,,0
Ponce,2005,,0
Ponce,2005,,0
Guanica,2005,,0
Guanica,2005,,0
Guanica,2005,,0
Guanica,2005,,0
Guanica,2005,,0
Ponce,2005,,0
Ponce,2005,,0
Ponce,2005,,0
Ponce,2005,,0
Ponce,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Isla Desecheo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Cabo Rojo,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Rincon,2005,,0
Ponce,2006,,37.33
Ponce,2006,,58.7
Ponce,2006,,18.1
Ponce,2006,,3.62
Ponce,2006,,23.48
Guanica,2006,,0
Guanica,2006,,0
Guanica,2006,,0
Guanica,2006,,0
Guanica,2006,,0
Ponce,2006,,49.64
Ponce,2006,,24.7
Ponce,2006,,0.8
Ponce,2006,,26.41
Ponce,2006,,78.08
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Isla Desecheo,2006,,0
Cabo Rojo,2006,,0
Cabo Rojo,2006,,0
Cabo Rojo,2006,,0
Cabo Rojo,2006,,0
Cabo Rojo,2006,,0
Cabo Rojo,2006,,15.6
Cabo Rojo,2006,,11.74
Cabo Rojo,2006,,12.98
Cabo Rojo,2006,,16.83
Cabo Rojo,2006,,5.64
Cabo Rojo,2006,,1.28
Cabo Rojo,2006,,0
Cabo Rojo,2006,,0
Cabo Rojo,2006,,0
Cabo Rojo,2006,,0.66
Rincon,2006,,0.67
Rincon,2006,,0
Rincon,2006,,0
Rincon,2006,,0
Rincon,2006,,0
Rincon,2006,,0
Rincon,2006,,6.61
Rincon,2006,,0
Rincon,2006,,0
Rincon,2006,,0
Rincon,2006,,0
Rincon,2006,,0
Rincon,2006,,0
Rincon,2006,,0
Rincon,2006,,0
Ponce,2007,,0
Ponce,2007,,1.31
Ponce,2007,,6.25
Ponce,2007,,0
Ponce,2007,,0
Guanica,2007,,1.36
Guanica,2007,,2.41
Guanica,2007,,0.58
Guanica,2007,,0
Guanica,2007,,0
Ponce,2007,,0
Ponce,2007,,0
Ponce,2007,,2.55
Ponce,2007,,0
Ponce,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Isla Desecheo,2007,,0
Cabo Rojo,2007,,0
Cabo Rojo,2007,,0
Cabo Rojo,2007,,0
Cabo Rojo,2007,,0
Cabo Rojo,2007,,0
Cabo Rojo,2007,,0
Cabo Rojo,2007,,3.07
Cabo Rojo,2007,,0
Cabo Rojo,2007,,0
Cabo Rojo,2007,,0
Cabo Rojo,2007,,0
Cabo Rojo,2007,,0
Cabo Rojo,2007,,0
Cabo Rojo,2007,,0
Cabo Rojo,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Rincon,2007,,0
Ponce,2008,,2.16
Ponce,2008,,0
Ponce,2008,,0
Ponce,2008,,0.88
Ponce,2008,,0
Guanica,2008,,0
Guanica,2008,,0
Guanica,2008,,0
Guanica,2008,,0
Guanica,2008,,0
Ponce,2008,,0
Ponce,2008,,0
Ponce,2008,,0
Ponce,2008,,0
Ponce,2008,,0
Isla Mona,2008,,0
Isla Mona,2008,,0
Isla Mona,2008,,0
Isla Mona,2008,,0
Isla Mona,2008,,0
Isla Mona,2008,,0
Isla Mona,2008,,0
Isla Mona,2008,,0
Isla Mona,2008,,0
Isla Mona,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Desecheo,2008,,0
Isla Mona,2008,,0
Isla Mona,2008,,0
Isla Mona,2008,,0
Isla Mona,2008,,0
Isla Mona,2008,,0
Cabo Rojo,2008,,0
Cabo Rojo,2008,,0
Cabo Rojo,2008,,0
Cabo Rojo,2008,,0
Cabo Rojo,2008,,0
Cabo Rojo,2008,,
Cabo Rojo,2008,,
Cabo Rojo,2008,,
Cabo Rojo,2008,,
Cabo Rojo,2008,,
Cabo Rojo,2008,,0
Cabo Rojo,2008,,0
Cabo Rojo,2008,,0
Cabo Rojo,2008,,0
Cabo Rojo,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Rincon,2008,,0
Ponce,2009,,0
Ponce,2009,,0
Ponce,2009,,0
Ponce,2009,,0
Ponce,2009,,0
Guanica,2009,,0
Guanica,2009,,0
Guanica,2009,,0
Guanica,2009,,0
Guanica,2009,,0
Ponce,2009,,0
Ponce,2009,,0
Ponce,2009,,0
Ponce,2009,,0
Ponce,2009,,0
Isla Mona,2009,,0
Isla Mona,2009,,0
Isla Mona,2009,,0
Isla Mona,2009,,0
Isla Mona,2009,,0
Isla Mona,2009,,0
Isla Mona,2009,,0
Isla Mona,2009,,0
Isla Mona,2009,,0
Isla Mona,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Desecheo,2009,,0
Isla Mona,2009,,0
Isla Mona,2009,,0
Isla Mona,2009,,0
Isla Mona,2009,,0
Isla Mona,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Cabo Rojo,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Rincon,2009,,0
Ponce,2010,,0
Ponce,2010,,0
Ponce,2010,,0
Ponce,2010,,0
Ponce,2010,,0
Guanica,2010,,0
Guanica,2010,,0
Guanica,2010,,0
Guanica,2010,,0
Guanica,2010,,0
Ponce,2010,,0
Ponce,2010,,0
Ponce,2010,,0
Ponce,2010,,0
Ponce,2010,,0
Isla Mona,2010,,0
Isla Mona,2010,,0
Isla Mona,2010,,0
Isla Mona,2010,,0
Isla Mona,2010,,0
Isla Mona,2010,,0
Isla Mona,2010,,0
Isla Mona,2010,,0
Isla Mona,2010,,0
Isla Mona,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Desecheo,2010,,0
Isla Mona,2010,,0
Isla Mona,2010,,0
Isla Mona,2010,,0
Isla Mona,2010,,0
Isla Mona,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Cabo Rojo,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Rincon,2010,,0
Ponce,2011,,0
Ponce,2011,,0
Ponce,2011,,0
Ponce,2011,,0
Ponce,2011,,0
Guanica,2011,,0
Guanica,2011,,0
Guanica,2011,,0
Guanica,2011,,0
Guanica,2011,,0
Guanica,2011,,0
Guanica,2011,,0
Guanica,2011,,0
Guanica,2011,,0
Guanica,2011,,0
Vega Baja,2011,,0
Vega Baja,2011,,0
