Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2022,12,10,4:58:43,18.5025,-66.4046,110,3.7,Puerto Rico region,1670648323
2022,12,9,23:46:56,17.9585,-66.9525,9,3.7,"4 km WSW of Guánica, Puerto Rico",1670629616
2022,12,4,17:06:54,18.369,-67.3781,127,3.6,"13 km WNW of Rincón, Puerto Rico",1670173614
2022,11,30,12:48:00,18.7393,-64.5146,7,3.6,"53 km NNE of Cruz Bay, U.S. Virgin Islands",1669812480
2022,11,29,10:41:56,18.0705,-66.7988,4,4.2,"4 km W of Santo Domingo, Puerto Rico",1669718516
2022,11,23,3:48:59,18.061,-67.8998,51,3.5,"74 km WSW of Stella, Puerto Rico",1669175339
2022,11,20,9:37:30,18.3735,-67.7538,155,3.9,Mona Passage,1668937050
2022,11,14,19:50:33,17.9306,-66.9561,10,3.5,"6 km SW of Guánica, Puerto Rico",1668455433
2022,11,14,11:46:49,17.9471,-66.953,9,3.6,"5 km WSW of Guánica, Puerto Rico",1668426409
2022,11,13,8:29:13,17.9293,-65.4505,14,3.5,"18 km S of Esperanza, Puerto Rico",1668328153
2022,11,4,6:36:18,17.9525,-66.9816,13,3.8,"7 km ESE of La Parguera, Puerto Rico",1667543778
2022,10,31,14:59:50,18.6491,-65.0098,18,3.8,"35 km NNW of Charlotte Amalie, U.S. Virgin Islands",1667228390
2022,10,13,4:59:28,18.6445,-67.8475,75,4,"59 km E of Punta Cana, Dominican Republic",1665637168
2022,10,1,9:01:34,18.6936,-66.9413,79,3.7,"23 km NNE of Isabela, Puerto Rico",1664614894
2022,9,26,2:28:53,18.109,-65.7886,5,3.6,"5 km E of Candelero Arriba, Puerto Rico",1664159333
2022,9,12,17:21:56,18.5423,-66.9445,12,3.6,Puerto Rico region,1663003316
2022,9,9,20:42:01,18.4066,-66.2608,112,3.6,"1 km NNW of San José, Puerto Rico",1662756121
2022,9,3,20:39:14,18.2788,-64.6111,135,4.4,Virgin Islands,1662237554
2022,9,3,3:04:03,18.4831,-66.059,101,3.8,"5 km ENE of San Juan, Puerto Rico",1662174243
2022,9,2,2:48:39,18.6033,-65.5686,75,3.6,"29 km NNE of Luquillo, Puerto Rico",1662086919
2022,8,27,4:43:13,18.6693,-64.7546,51,3.6,Virgin Islands,1661575393
2022,8,21,7:49:09,18.1656,-65.7015,14,3.7,"4 km E of Punta Santiago, Puerto Rico",1661068149
2022,8,18,7:21:54,18.4226,-64.7886,97,3.8,"10 km N of Cruz Bay, U.S. Virgin Islands",1660807314
2022,8,11,22:00:57,18.4163,-66.6401,123,3.5,"3 km S of Animas, Puerto Rico",1660255257
2022,8,11,2:36:19,18.3755,-67.383,104,3.5,"14 km WNW of Rincón, Puerto Rico",1660185379
2022,8,9,17:07:35,17.9763,-66.8395,16,3.6,"2 km SW of Indios, Puerto Rico",1660064855
2022,8,9,13:12:04,17.9773,-66.8371,15,3.8,"2 km SW of Indios, Puerto Rico",1660050724
2022,8,8,10:30:18,18.1498,-67.7143,144,3.7,"52 km WSW of Stella, Puerto Rico",1659954618
2022,8,8,7:25:35,17.978,-66.8363,16,3.5,"2 km SW of Indios, Puerto Rico",1659943535
2022,8,8,7:23:05,17.9818,-66.8348,15,3.6,"2 km SW of Indios, Puerto Rico",1659943385
2022,8,6,19:53:30,17.861,-66.9003,12,4.2,"12 km S of Guánica, Puerto Rico",1659815610
2022,8,6,19:51:10,17.8518,-66.9033,12,3.8,"13 km S of Guánica, Puerto Rico",1659815470
2022,8,1,14:35:56,18.3635,-66.0098,125,3.5,"1 km NNW of Trujillo Alto, Puerto Rico",1659364556
2022,7,25,1:20:39,18.4548,-66.4678,111,3.7,"2 km ESE of Tierras Nuevas Poniente, Puerto Rico",1658712039
2022,7,24,9:59:23,18.5073,-67.851,5,3.9,"58 km E of Punta Cana, Dominican Republic",1658656763
2022,7,23,13:04:54,18.5903,-67.6106,5,4.1,"47 km NW of Rincón, Puerto Rico",1658581494
2022,7,18,7:58:45,18.0465,-67.9495,7,3.8,"76 km SE of Punta Cana, Dominican Republic",1658131125
2022,7,13,12:29:37,18.0925,-64.9678,8,3.7,"27 km S of Charlotte Amalie, U.S. Virgin Islands",1657715377
2022,7,8,0:09:21,18.5166,-65.1571,125,3.5,"28 km NNE of Culebra, Puerto Rico",1657238961
2022,6,28,0:25:52,17.9965,-66.89,15,3.7,"2 km N of Maria Antonia, Puerto Rico",1656375952
2022,6,26,13:25:57,17.9503,-66.8395,12,4.1,"5 km SSW of Indios, Puerto Rico",1656249957
2022,6,23,10:54:09,17.9791,-66.834,11,3.6,"2 km SW of Indios, Puerto Rico",1655981649
2022,6,18,10:56:32,18.7461,-66.984,60,3.8,"27 km N of Isabela, Puerto Rico",1655549792
2022,6,15,21:54:33,18.6046,-65.0581,31,3.5,"32 km NNW of Charlotte Amalie, U.S. Virgin Islands",1655330073
2022,6,12,15:48:27,17.9448,-66.9686,14,3.6,"7 km WSW of Guánica, Puerto Rico",1655048907
2022,6,7,3:21:22,17.5638,-67.7936,51,3.5,"78 km SW of Pole Ojea, Puerto Rico",1654572082
