"file_name","ind_name"
"ACEindex.RData","storm_index"
"avgLmax.RData","PR"
"avgLmax.RData","STT"
"avgLmax.RData","STX"
"carib_Chl.RData","ind"
"Carib_SST.RData","mean"
"Carib_SST.RData","min"
"Carib_SST.RData","max"
"coral_spprichness_cover.RData","X1"
"coral_spprichness_cover.RData","X2"
"coral_spprichness_cover.RData","X3"
"coral_spprichness_cover.RData","X4"
"cruise.RData","X1"
"cruise.RData","X2"
"DegreeHeatingWeeks.RData","X1"
"DegreeHeatingWeeks.RData","X2"
"disturbance.RData","final_PR.ind"
"disturbance.RData","V2"
"disturbance.RData","V3"
"earthquakes.RData","as.numeric.tot_num."
"fish_density.RData","X1"
"fish_density.RData","X2"
"fish_density.RData","X3"
"FRsection.RData","dat.amendments"
"GDP.RData","X1"
"GDP.RData","X2"
"gini.RData","gini_rev_pr"
"gini.RData","gini_rev_stt"
"gini.RData","gini_land_stx"
"gini_landings.RData","gini_land_pr"
"gini_landings.RData","gini_land_stt"
"gini_landings.RData","gini_land_stx"
"gini_revenue.RData","gini_rev_pr"
"gini_revenue.RData","gini_rev_stt"
"gini_revenue.RData","gini_rev_stx"
"marine_debris.RData","Puerto.Rico"
"marine_debris.RData","United.States.Virgin.Islands"
"mean_Lmax.RData","X1"
"mean_Lmax.RData","X2"
"mean_Lmax.RData","X3"
"OA.RData","dat.V3"
"oceanNAICS.RData","GDP.PR"
"oceanNAICS.RData","GDP.USVI"
"oceanNAICS.RData","est.PR"
"oceanNAICS.RData","est.USVI"
"oceanNAICS.RData","emp.PR"
"oceanNAICS.RData","emp.USVI"
"oceanNAICS.RData","wag.PR"
"oceanNAICS.RData","wag.USVI"
"outreach.RData","X1"
"outreach.RData","X2"
"PD_ratio.RData","X1"
"PD_ratio.RData","X2"
"PD_ratio.RData","X3"
"pollution.RData","PR_ind"
"pollution.RData","USVI_ind"
"population.RData","pop_PR"
"population.RData","pop_USVI"
"PR_Lmax_classes.RData","Lmax1"
"PR_Lmax_classes.RData","Lmax2"
"PR_Lmax_classes.RData","Lmax3"
"PR_Lmax_classes.RData","Lmax4"
"PR_Lmax_classes.RData","Lmax5"
"PR_mean_Lmax.RData","lmax"
"prop_diving_trips.RData","PR"
"prop_diving_trips.RData","STT"
"prop_diving_trips.RData","STX"
"prop_trips_bycatch.RData","PR"
"prop_trips_bycatch.RData","STT"
"prop_trips_bycatch.RData","STX"
"regulations.RData","dat.amendments"
"RVC_PR.RData","X1"
"RVC_PR.RData","X2"
"RVC_PR.RData","X3"
"RVC_PR.RData","X4"
"RVC_PR.RData","X5"
"RVC_PR.RData","X6"
"RVC_STSJ.RData","X1"
"RVC_STSJ.RData","X2"
"RVC_STSJ.RData","X3"
"RVC_STSJ.RData","X4"
"RVC_STSJ.RData","X5"
"RVC_STSJ.RData","X6"
"RVC_STX.RData","X1"
"RVC_STX.RData","X2"
"RVC_STX.RData","X3"
"RVC_STX.RData","X4"
"RVC_STX.RData","X5"
"RVC_STX.RData","X6"
"Sargassum.RData","tab"
"STT_Lmax_classes.RData","Lmax1"
"STT_Lmax_classes.RData","Lmax2"
"STT_Lmax_classes.RData","Lmax3"
"STT_Lmax_classes.RData","Lmax4"
"STT_Lmax_classes.RData","Lmax5"
"STX_Lmax_classes.RData","Lmax1"
"STX_Lmax_classes.RData","Lmax2"
"STX_Lmax_classes.RData","Lmax3"
"STX_Lmax_classes.RData","Lmax4"
"STX_Lmax_classes.RData","Lmax5"
"tier3.RData","PR"
"tier3.RData","USVI"
"total_landings.RData","X1"
"total_landings.RData","X2"
"total_landings.RData","X3"
"total_landings.RData","X4"
"total_landings.RData","X5"
"total_landings.RData","X6"
"total_landings.RData","X7"
"total_landings.RData","X8"
"total_landings.RData","X9"
"total_rec_catch.RData","Puerto.Rico..USA."
"total_rec_catch.RData","US.Virgin.Isl."
"turbidity.RData","X1"
"turbidity.RData","X2"
"turbidity.RData","X3"
"unemployment.RData","X1"
"unemployment.RData","X2"
