indicator,PR unemployment,USVI unemployment
unit,percent,percent
1/1/1976,19.6,
2/1/1976,19.5,
3/1/1976,19.3,
4/1/1976,19,
5/1/1976,18.9,
6/1/1976,18.9,
7/1/1976,19.1,
8/1/1976,19.4,
9/1/1976,19.8,
10/1/1976,19.9,
11/1/1976,19.8,
12/1/1976,19.8,
1/1/1977,19.8,
2/1/1977,19.9,
3/1/1977,20.2,
4/1/1977,20.5,
5/1/1977,20.7,
6/1/1977,20.8,
7/1/1977,20.6,
8/1/1977,20.2,
9/1/1977,19.7,
10/1/1977,19.4,
11/1/1977,19.2,
12/1/1977,19,
1/1/1978,18.7,7.4
2/1/1978,18.4,6.7
3/1/1978,18,6.6
4/1/1978,17.7,6.4
5/1/1978,17.4,6.6
6/1/1978,17.4,7
7/1/1978,17.5,6.9
8/1/1978,17.8,6.3
9/1/1978,18.1,6.2
10/1/1978,18.3,5.9
11/1/1978,18.4,5.9
12/1/1978,18.3,5.3
1/1/1979,18,5.6
2/1/1979,17.5,4.7
3/1/1979,17.1,5.2
4/1/1979,16.7,5.3
5/1/1979,16.4,5.3
6/1/1979,16.4,6.4
7/1/1979,16.5,5.7
8/1/1979,16.7,5.5
9/1/1979,17,6.1
10/1/1979,17.3,5.9
11/1/1979,17.5,5.6
12/1/1979,17.6,5.3
1/1/1980,17.5,5.6
2/1/1980,17.3,5.6
3/1/1980,17.1,5.4
4/1/1980,16.8,5.3
5/1/1980,16.7,6
6/1/1980,16.6,7
7/1/1980,16.6,6.1
8/1/1980,16.8,6.1
9/1/1980,17,6.7
10/1/1980,17.3,6.2
11/1/1980,17.6,6.3
12/1/1980,17.8,5.8
1/1/1981,17.9,6
2/1/1981,18.2,6
3/1/1981,18.5,5.7
4/1/1981,18.8,5.8
5/1/1981,19.3,6
6/1/1981,19.7,7
7/1/1981,20.1,6.8
8/1/1981,20.5,6.8
9/1/1981,20.8,7
10/1/1981,21.2,6.9
11/1/1981,21.4,6.8
12/1/1981,21.7,7
1/1/1982,22,7
2/1/1982,22.2,7
3/1/1982,22.5,7.1
4/1/1982,22.8,7.6
5/1/1982,23.1,8.4
6/1/1982,23.2,8.9
