Indicator,"Monthly maximum chlorophyll a from ocean color, Puerto Rico",
Unit,Chlorophyll a from ocean color, 
Date,"Monthly maximum chlorophyll a from ocean color, Puerto Rico", 
Jan-12,3.588,
Feb-12,2.31,
Mar-12,2.006,
Apr-12,3.569,
May-12,3.9653,
Jun-12,2.2633,
Jul-12,2.563,
Aug-12,3.57,
Sep-12,5.32,
Oct-12,3.24,
Nov-12,4.87,
Dec-12,4.97,
Jan-13,2.818,
Feb-13,2.892,
Mar-13,2.819,
Apr-13,2.453,
May-13,2.563,
Jun-13,1.363,
Jul-13,2.957,
Aug-13,0.731,
Sep-13,5.462,
Oct-13,2.373,
Nov-13,3.09,
Dec-13,2.536,
Jan-14,3.203,
Feb-14,2.635,
Mar-14,2.607,
Apr-14,2.221,
May-14,2.363,
Jun-14,2.289,
Jul-14,1.38,
Aug-14,2.533,
Sep-14,3.682,
Oct-14,7.931,
Nov-14,5.955,
Dec-14,6.762,
Jan-15,3.251,
Feb-15,3.387,
Mar-15,2.221,
Apr-15,2.195,
May-15,2.338,
Jun-15,1.418,
Jul-15,2.103,
Aug-15,5.417,
Sep-15,4.996,
Oct-15,10.252,
Nov-15,2.777,
Dec-15,2.748,
Jan-16,3.948,
Feb-16,2.998,
Mar-16,4.341,
Apr-16,3.433,
May-16,1.881,
Jun-16,3.63,
Jul-16,2.036,
Aug-16,4.012,
Sep-16,4.537,
Oct-16,8.661,
Nov-16,8.876,
Dec-16,3.248,
Jan-17,5.007,
Feb-17,4.193,
Mar-17,2.185,
Apr-17,2.743,
May-17,4.574,
Jun-17,2.442,
Jul-17,2.372,
Aug-17,3.995,
Sep-17,2.493,
Oct-17,3.057,
Nov-17,10.839,
Dec-17,5.745,
Jan-18,2.007,
Feb-18,41.227,
Mar-18,4.041,
Apr-18,3.536,
May-18,2.407,
Jun-18,3.811,
Jul-18,1.431,
Aug-18,11.466,
Sep-18,26.189,
Oct-18,9.753,
Nov-18,10.307,
Dec-18,5.729,
Jan-19,4.66,
Feb-19,2.865,
Mar-19,4.797,
Apr-19,4.15,
May-19,3.887,
Jun-19,3.052,
Jul-19,6.455,
Aug-19,5.589,
Sep-19,5.105,
Oct-19,5.113,
Nov-19,19.901,
Dec-19,3.405,
Jan-20,4.644,
Feb-20,2.938,
Mar-20,4.648,
Apr-20,2.655,
May-20,2.385,
Jun-20,3.254,
Jul-20,,
Aug-20,3.902,
Sep-20,7.563,
Oct-20,3.424,
Nov-20,3.582,
Dec-20,5.6423,
Jan-21,4.129,
Feb-21,2.425,
Mar-21,3.384,
Apr-21,2.564,
May-21,3.28,
