"","Accumulated cyclone energy index"
"","annual tropical cyclone activity (10^4 kt^2)"
"",""
1961,0.6075
1962,0
1963,1.085
1964,0
1965,0
1966,5.3825
1967,4.6925
1968,0
1969,0
1970,0
1971,0.1875
1972,0
1973,0.27
1974,0.3025
1975,1.23
1976,0
1977,0
1978,0
1979,5.8325
1980,0
1981,1.1575
1982,0
1983,0
1984,1.5175
1985,0
1986,0
1987,0.0225
1988,0.45
1989,5.4425
1990,0.41
1991,0
1992,0
1993,0.1225
1994,0
1995,6.41
1996,3.0275
1997,0
1998,4.7775
1999,9.1725
2000,1.2675
2001,0.4525
2002,0
2003,0.16
2004,2.535
2005,0
2006,0
2007,0.25
2008,1.535
2009,0
2010,1.3225
2011,2.335
2012,0.2025
2013,0.18
2014,0.97
2015,0.6075
2016,0
2017,12.8375
2018,0
2019,1.855
2020,1.07
2021,0
