"N","logbook","adj","shellcatch","unmatched"
746,"AMBERJACK,GREATER","GREATER AMBERJACK","GREATER AMBERJACK","MACKERELS AND TUNAS"
2,"ANCHOVETA,ATLANTIC","ATLANTIC ANCHOVETA",NA,"KING MACKAREL, KINGFISH"
4,"ANCHOVIES,UNSPECIFIED","UNSPECIFIED ANCHOVIES",NA,"SNAPPERS"
4,"ANCHOVY,STRIPED","STRIPED ANCHOVY",NA,"QUEEN TRIGGERFISH"
4,"ANGELFISH,FRENCH","FRENCH ANGELFISH",NA,"YELLOWFIN TUNA, ALLISON TUNA"
39,"ANGELFISH,GRAY","GRAY ANGELFISH",NA,"PORGIES"
9,"ANGELFISH,QUEEN","QUEEN ANGELFISH",NA,"GRUNTS"
14149,"BALLYHOO","BALLYHOO","BALLYHOO","LION FISH"
105,"BARBU","BARBU","BARBU","SPANISH LOBSTER"
13883,"BARRACUDA","BARRACUDA",NA,"SPOTTED SPINY LOBSTER"
122,"BARRACUDA,GREAT","GREAT BARRACUDA","GREAT BARRACUDA","SPOTTED TRUNKFISH"
267,"BARRACUDA,GUAGUANCHE","GUAGUANCHE BARRACUDA",NA,"KINGFISH MACKEREL"
277,"BARRACUDA,SOUTHERN SENNNET","SOUTHERN SENNNET BARRACUDA",NA,"GREY TRIGGERFISH"
1,"BASS,CHALK","CHALK BASS",NA,"BARRACUDAS"
7,"BATFISH,SHORTNOSE","SHORTNOSE BATFISH",NA,"MARINE CRABS"
1,"BATFISH,UNSPECIFIED","UNSPECIFIED BATFISH",NA,"SMOOTH TRUNKFISH"
8,"BEARDFISH","BEARDFISH",NA,"STRIPER DRUM"
172,"BIGEYE","BIGEYE",NA,"HORSE EYE JACK"
847,"BLUE RUNNER","BLUE RUNNER","BLUE RUNNER","HONEYCOMB COWFISH"
493,"BONEFISH","BONEFISH",NA,"SEA BASSES"
93866,"BOXFISH,UNSPECIFIED","UNSPECIFIED BOXFISH",NA,"FALSE PLICHARD"
3,"BROTULA,BEARDED","BEARDED BROTULA",NA,"SELECT TO MANUALLY INPUT"
387,"BUMPER,ATLANTIC","ATLANTIC BUMPER","BUMPER","WEST INDIAN TOP SHELL"
20,"BURRFISHES,UNSPECIFIED","UNSPECIFIED BURRFISHES",NA,"FAT SNOOK"
7,"BUTTERFISH,UNSPECIFIED","UNSPECIFIED BUTTERFISH",NA,"SEVEN-GILL SHARK"
1,"BUTTERFLYFISH,BANDED","BANDED BUTTERFLYFISH",NA,"GRAY GRUNT"
31,"BUTTERFLYFISH,FOUREYE","FOUREYE BUTTERFLYFISH",NA,"BALAO HALHBEAK"
2,"BUTTERFLYFISH,SPOTFIN","SPOTFIN BUTTERFLYFISH",NA,"SCRAWLED COWFISH"
18,"BUTTERFLYFISH,UNSPECIFIED","UNSPECIFIED BUTTERFLYFISH",NA,"OCEAN TRIGGERFISH"
11,"CARDINALFISH","CARDINALFISH","CARDINAL","WENCHMAN"
162,"CHUB,BERMUDA","BERMUDA CHUB",NA,"REDFIN PARROTFISH"
243,"CHUB,RUDDERFISH","RUDDERFISH CHUB",NA,"SOUTHERN SENNET"
21,"CHUB,YELLOW","YELLOW CHUB",NA,"GOATFISHES"
134,"CLAM,UNSPECIFIED","UNSPECIFIED CLAM",NA,"THREADFINS"
24,"COBIA","COBIA",NA,"SWORDSPINE SNOOK"
136000,"CONCH,QUEEN","QUEEN CONCH","QUEEN CONCH","SARGASSUM TRIGGERFISH"
1,"CORNETFISH","CORNETFISH",NA,"THREADFIN SHAD"
4,"CORNETFISH,BLUESPOTTED","BLUESPOTTED CORNETFISH",NA,"KING CRAB"
2,"COWFISH,HONEYCOMBED","HONEYCOMBED COWFISH",NA,"CEASAR GRUNT"
2,"CRAB,BLUE","BLUE CRAB",NA,"TRUE TULIP"
11108,"CRAB,BLUE LAND","BLUE LAND CRAB","LAND CRAB","SMOOTHTAIL SPINY LOBSTER"
419,"CRAB,CORAL","CORAL CRAB","CORAL CRAB","FALSE AMBERJACK"
2,"CRAB,FLAME BOX","FLAME BOX CRAB",NA,"ATLANTIC SCOMBRUPS"
332,"CRAB,SPECKLED SWIMMING","SPECKLED SWIMMING CRAB",NA,"WARMOUTH BASS"
5935,"CRAB,UNSPECIFIED","UNSPECIFIED CRAB",NA,"GROUPERS"
5,"CREOLE-FISH","CREOLE-FISH","CREOLE-FISH","PRINCESS PARROTFISH"
3,"CUSK-EELS,UNSPECIFIED","UNSPECIFIED CUSK-EELS",NA,"SNAKE MACKAREL"
86,"CUTLASSFISH","CUTLASSFISH",NA,"CROAKERS"
153,"CUTLASSFISH,ATLANTIC","ATLANTIC CUTLASSFISH",NA,NA
15,"DAMSELFISH,BROWN CHROMIS","BROWN CHROMIS DAMSELFISH","BROWN CHROMIS",NA
9,"DAMSELFISH,SERGEANT MAJOR","SERGEANT MAJOR DAMSELFISH",NA,NA
3,"DAMSELFISH,UNSPECIFIED","UNSPECIFIED DAMSELFISH",NA,NA
39639,"DOLPHINFISH","DOLPHINFISH","DOLPHINFISH",NA
15,"DOLPHINFISH,POMPANO","POMPANO DOLPHINFISH","POMPANO DOLPHIN",NA
9,"DRUM,JACKKNIFE-FISH","JACKKNIFE-FISH DRUM",NA,NA
1928,"DRUM,REEF CROAKER","REEF CROAKER DRUM","CROAKER",NA
1,"DRUM,SAND","SAND DRUM",NA,NA
1,"DRUM,SPOTTED","SPOTTED DRUM",NA,NA
48,"DRUM,UNSPECIFIED","UNSPECIFIED DRUM",NA,NA
5,"DRUMMER,GROUND","GROUND DRUMMER","GROUND DRUMMER",NA
27,"DRUMMER,MONGOLAR","MONGOLAR DRUMMER",NA,NA
801,"DRUMMER,WHITEMOUTH","WHITEMOUTH DRUMMER",NA,NA
18,"DURGON,BLACK","BLACK DURGON",NA,NA
7,"EEL,AMERICAN","AMERICAN EEL",NA,NA
2,"EEL,CONGER","CONGER EEL",NA,NA
14,"EEL,CONGER,MANYTOOTH","MANYTOOTH CONGER EEL",NA,NA
10,"EEL,MORAY","MORAY EEL",NA,NA
13,"EEL,MORAY,GREEN","GREEN MORAY EEL",NA,NA
1,"EEL,MORAY,VIPER","VIPER MORAY EEL",NA,NA
1,"EEL,MORAYS,UNSPECIFIED","UNSPECIFIED MORAYS EEL",NA,NA
4,"ESCOLAR","ESCOLAR",NA,NA
1,"FILEFISH,ORANGE","ORANGE FILEFISH",NA,NA
54,"FILEFISH,ORANGESPOTTED","ORANGESPOTTED FILEFISH",NA,NA
1,"FILEFISH,PYGMY","PYGMY FILEFISH",NA,NA
117823,"FISHES,BONY,UNSPECIFIED","UNSPECIFIED BONY FISHES",NA,NA
18,"FLAMEFISH","FLAMEFISH",NA,NA
15,"FLASHERS","FLASHERS",NA,NA
30,"FLYING GUNARD","FLYING GUNARD",NA,NA
