N,logbook,adj,shellcatch,second_name,third_name
746,"AMBERJACK,GREATER",GREATER AMBERJACK,GREATER AMBERJACK,,
2,"ANCHOVETA,ATLANTIC",ATLANTIC ANCHOVETA,,,
4,"ANCHOVIES,UNSPECIFIED",UNSPECIFIED ANCHOVIES,,,
4,"ANCHOVY,STRIPED",STRIPED ANCHOVY,,,
4,"ANGELFISH,FRENCH",FRENCH ANGELFISH,,,
39,"ANGELFISH,GRAY",GRAY ANGELFISH,,,
9,"ANGELFISH,QUEEN",QUEEN ANGELFISH,,,
14149,BALLYHOO,BALLYHOO,BALLYHOO,,
105,BARBU,BARBU,BARBU,,
13883,BARRACUDA,BARRACUDA,BARRACUDAS,,
122,"BARRACUDA,GREAT",GREAT BARRACUDA,GREAT BARRACUDA,,
267,"BARRACUDA,GUAGUANCHE",GUAGUANCHE BARRACUDA,,,
277,"BARRACUDA,SOUTHERN SENNNET",SOUTHERN SENNNET BARRACUDA,SOUTHERN SENNET,,
1,"BASS,CHALK",CHALK BASS,,,
7,"BATFISH,SHORTNOSE",SHORTNOSE BATFISH,,,
1,"BATFISH,UNSPECIFIED",UNSPECIFIED BATFISH,,,
8,BEARDFISH,BEARDFISH,,,
172,BIGEYE,BIGEYE,,,
847,BLUE RUNNER,BLUE RUNNER,BLUE RUNNER,,
493,BONEFISH,BONEFISH,,,
93866,"BOXFISH,UNSPECIFIED",UNSPECIFIED BOXFISH,,,
3,"BROTULA,BEARDED",BEARDED BROTULA,,,
387,"BUMPER,ATLANTIC",ATLANTIC BUMPER,BUMPER,,
20,"BURRFISHES,UNSPECIFIED",UNSPECIFIED BURRFISHES,,,
7,"BUTTERFISH,UNSPECIFIED",UNSPECIFIED BUTTERFISH,,,
1,"BUTTERFLYFISH,BANDED",BANDED BUTTERFLYFISH,,,
31,"BUTTERFLYFISH,FOUREYE",FOUREYE BUTTERFLYFISH,,,
2,"BUTTERFLYFISH,SPOTFIN",SPOTFIN BUTTERFLYFISH,,,
18,"BUTTERFLYFISH,UNSPECIFIED",UNSPECIFIED BUTTERFLYFISH,,,
11,CARDINALFISH,CARDINALFISH,CARDINAL,,
162,"CHUB,BERMUDA",BERMUDA CHUB,,,
243,"CHUB,RUDDERFISH",RUDDERFISH CHUB,,,
21,"CHUB,YELLOW",YELLOW CHUB,,,
134,"CLAM,UNSPECIFIED",UNSPECIFIED CLAM,,,
24,COBIA,COBIA,,,
136000,"CONCH,QUEEN",QUEEN CONCH,QUEEN CONCH,,
1,CORNETFISH,CORNETFISH,,,
4,"CORNETFISH,BLUESPOTTED",BLUESPOTTED CORNETFISH,,,
2,"COWFISH,HONEYCOMBED",HONEYCOMBED COWFISH,HONEYCOMB COWFISH,,
2,"CRAB,BLUE",BLUE CRAB,,,
11108,"CRAB,BLUE LAND",BLUE LAND CRAB,LAND CRAB,,
419,"CRAB,CORAL",CORAL CRAB,CORAL CRAB,,
2,"CRAB,FLAME BOX",FLAME BOX CRAB,,,
332,"CRAB,SPECKLED SWIMMING",SPECKLED SWIMMING CRAB,,,
5935,"CRAB,UNSPECIFIED",UNSPECIFIED CRAB,MARINE CRABS,,
5,CREOLE-FISH,CREOLE-FISH,CREOLE-FISH,,
3,"CUSK-EELS,UNSPECIFIED",UNSPECIFIED CUSK-EELS,,,
86,CUTLASSFISH,CUTLASSFISH,,,
153,"CUTLASSFISH,ATLANTIC",ATLANTIC CUTLASSFISH,,,
15,"DAMSELFISH,BROWN CHROMIS",BROWN CHROMIS DAMSELFISH,BROWN CHROMIS,,
9,"DAMSELFISH,SERGEANT MAJOR",SERGEANT MAJOR DAMSELFISH,,,
3,"DAMSELFISH,UNSPECIFIED",UNSPECIFIED DAMSELFISH,,,
39639,DOLPHINFISH,DOLPHINFISH,DOLPHINFISH,,
15,"DOLPHINFISH,POMPANO",POMPANO DOLPHINFISH,POMPANO DOLPHIN,,
9,"DRUM,JACKKNIFE-FISH",JACKKNIFE-FISH DRUM,,,
1928,"DRUM,REEF CROAKER",REEF CROAKER DRUM,CROAKER,CROAKERS,
1,"DRUM,SAND",SAND DRUM,,,
1,"DRUM,SPOTTED",SPOTTED DRUM,,,
48,"DRUM,UNSPECIFIED",UNSPECIFIED DRUM,STRIPER DRUM,,
5,"DRUMMER,GROUND",GROUND DRUMMER,GROUND DRUMMER,,
27,"DRUMMER,MONGOLAR",MONGOLAR DRUMMER,,,
801,"DRUMMER,WHITEMOUTH",WHITEMOUTH DRUMMER,,,
18,"DURGON,BLACK",BLACK DURGON,,,
7,"EEL,AMERICAN",AMERICAN EEL,,,
2,"EEL,CONGER",CONGER EEL,,,
14,"EEL,CONGER,MANYTOOTH",MANYTOOTH CONGER EEL,,,
10,"EEL,MORAY",MORAY EEL,,,
13,"EEL,MORAY,GREEN",GREEN MORAY EEL,,,
1,"EEL,MORAY,VIPER",VIPER MORAY EEL,,,
1,"EEL,MORAYS,UNSPECIFIED",UNSPECIFIED MORAYS EEL,,,
4,ESCOLAR,ESCOLAR,,,
1,"FILEFISH,ORANGE",ORANGE FILEFISH,,,
54,"FILEFISH,ORANGESPOTTED",ORANGESPOTTED FILEFISH,,,
1,"FILEFISH,PYGMY",PYGMY FILEFISH,,,
117823,"FISHES,BONY,UNSPECIFIED",UNSPECIFIED BONY FISHES,,,
18,FLAMEFISH,FLAMEFISH,,,
15,FLASHERS,FLASHERS,,,
30,FLYING GUNARD,FLYING GUNARD,,,
8,"FLYINGFISH, ATLANTIC", ATLANTIC FLYINGFISH,,,
10,"FLYINGFISH,UNSPECIFIED",UNSPECIFIED FLYINGFISH,,,
5,FROGFISHES,FROGFISHES,,,
5,GLASSEYE SNAPPER,GLASSEYE SNAPPER,,,
16076,"GOATFISH,SPOTTED",SPOTTED GOATFISH,SPOTTED GOATFISH,,
6083,"GOATFISH,UNSPECIFIED",UNSPECIFIED GOATFISH,GOATFISHES,,
5968,"GOATFISH,YELLOW",YELLOW GOATFISH,YELLOW GOATFISH,,
45,"GOBY,SIRAJO",SIRAJO GOBY,,,
5,"GROUPER,BLACK",BLACK GROUPER,BLACK GROUPER,,
14593,"GROUPER,CONEY",CONEY GROUPER,CONEY,,
282,"GROUPER,GOLIATH",GOLIATH GROUPER,,,
6,"GROUPER,GRAYSBY",GRAYSBY GROUPER,GRAYSBY,,
