SCIname,COMname,common,genera,subfam,PD,Lmax,borrowed
Polymixia lowei,BEARDFISH,Beardfish,2622,NA,bathydemersal,20,
Polymixiidae,BEARDFISH,NA,NA,Polymixiidae,bathydemersal,20,
Etelis oculatus,"SNAPPER,QUEEN",Queen snapper,9802,Etelinae,bathydemersal,100,
Heptranchias perlo,"SHARK,SHARPNOSE SEVENGILL",Sharpnose sevengill shark,2342,NA,bathydemersal,137,
Sicydium plumieri,"GOBY,SIRAJO",Sirajo,5237,Sicydiinae,benthopelagic,11,
Peprilus paru,"HARVESTFISH,NORTHERN",American harvestfish,2567,NA,benthopelagic,30,
Centropomus ensiferus,"SNOOK,SWORDSPINE",Swordspine snook,549,NA,benthopelagic,36.19499969,
Centropomus pectinatus,"SNOOK,TARPON",Tarpon snook,549,NA,benthopelagic,56,
Selene setapinnis,"MOONFISH,ATLANTIC",Atlantic moonfish,3554,Caranginae,benthopelagic,60,
Trachinotus carolinus,"POMPANO,FLORIDA",Florida pompano,2819,Trachinotinae,benthopelagic,64,
Caranx lugubris,"JACK,BLACK",Black jack,3864,Caranginae,benthopelagic,100,
Promethichthys prometheus,"SNAKE MACKEREL,PURPLE",Roudi escolar,2379,NA,benthopelagic,100,
Lobotidae,FLASHERS,NA,NA,Lobotidae,benthopelagic,110,1
Lobotes surinamensis,TRIPLETAIL,Tripletail,165,NA,benthopelagic,110,
Aetobatus narinari,"RAY,SPOTTED EAGLE",Whitespotted eagle ray,3987,NA,benthopelagic,230,
Trichiuridae,CUTLASSFISH,NA,NA,Trichiurinae,benthopelagic,234,1
Trichiurus lepturus,"CUTLASSFISH,ATLANTIC",Largehead hairtail,1874,Trichiurinae,benthopelagic,234,
Ruvettus pretiosus,ESCOLAR,Oilfish,1045,NA,benthopelagic,300,
Galeocerdo cuvier,"SHARK,TIGER",Tiger shark,3620,NA,benthopelagic,750,
Cynoglossidae,"SOLES,TONGUE",NA,NA,Cynoglossidae,demersal,15,1
Ophidiidae,"CUSK-EELS,UNSPECIFIED",Marbled cusk eel,NA,Ophidiidae,demersal,22,1
Neoscombrops atlanticus,"SCOMBROPS,ATLANTIC",NA,NA,Malakichthyidae,demersal,24.5,
Eleotris pisonis,"SLEEPER,SPINYCHEEK",Spinycheek sleeper,5744,Eleotrinae,demersal,25,
Gonioplectrus hispanus,SPANISH FLAG,Spanish flag,4428,Epinephelinae,demersal,30,
Polydactylus virginicus,BARBU,Barbu,5203,NA,demersal,33,
Polynemidae,THREADFIN,Barbu,NA,Polynemidae,demersal,33,
Conodon nobilis,"GRUNT,BARRED",Barred grunt,4477,Haemulinae,demersal,33.59999847,
Umbrina coroides,"DRUM,SAND",Sand drum,1644,NA,demersal,35,
Bairdiella ronchus,"DRUMMER,GROUND",Ground croaker,3481,NA,demersal,35,
Pomadasys crocro,"GRUNT,BURRO",Burro grunt,3076,Haemulinae,demersal,38,
Nomeus gronovii,MAN-OF-WAR FISH,Man-of-war fish,4085,NA,demersal,39,
Diapterus rhombeus,"MOJARRA,RHOMBOID",Caitipa mojarra,6023,NA,demersal,40,
Haemulidae,"GRUNT,UNSPECIFIED",NA,NA,Haemulidae,demersal,41.785,1
Cynoscion jamaicensis,"DRUMMER,MONGOLAR",Jamaica weakfish,5172,NA,demersal,50,
Pristipomoides macropthalmus,"SNAPPER,CARDINAL",Cardinal snapper,NA,Lutjanidae,demersal,50,
Eleotridae,SLEEPERS,NA,NA,Eleotridae,demersal,57.5,1
Micropogonias furnieri,"DRUMMER,WHITEMOUTH",Whitemouth croaker,124,NA,demersal,60,
