SCIname,COMname,common,genera,subfam,famcode,PD,Lmax,borrowed,USVI
Engraulidae,"ANCHOVIES,UNSPECIFIED",NA,NA,Engraulidae,anchovies,pelagic-neritic,16.75,1,NA
Anchoa hepsetus,"ANCHOVY,STRIPED",Broad-striped anchovy,5863,Engraulinae,anchovies,pelagic-neritic,15.30000019,NA,NA
Cetengraulis edentulus,"ANCHOVETA,ATLANTIC",Atlantic anchoveta,6317,Engraulinae,anchovies,pelagic-neritic,18.20000076,NA,NA
Pomacanthus paru,"ANGELFISH,FRENCH",French angelfish,1144,NA,angelfishes,reef-associated,41.09999847,NA,1
Holacanthus ciliaris,"ANGELFISH,QUEEN",Queen angelfish,2304,NA,angelfishes,reef-associated,45,NA,1
Pomacanthus arcuatus,"ANGELFISH,GRAY",Gray angelfish,1144,NA,angelfishes,reef-associated,60,NA,1
,"ANGELFISH,UNSPECIFIED",,,,angelfishes,reef-associated,48.7,1,1
Sphyraena guachancho,"BARRACUDA,GUAGUANCHE",Guachanche barracuda,997,NA,barracudas,pelagic-neritic,200,NA,NA
Sphyraena picudilla,"BARRACUDA,SOUTHERN SENNNET",Southern sennet,997,NA,barracudas,reef-associated,61,NA,NA
Sphyraena barracuda,"BARRACUDA,GREAT",Great barracuda,997,NA,barracudas,reef-associated,200,NA,1
Sphyraenidae,BARRACUDA,NA,NA,Sphyraenidae,barracudas,reef-associated,200,NA,1
Ogcocephalus nasutus,"BATFISH,SHORTNOSE",Shortnose batfish,2857,NA,batfishes,reef-associated,38,NA,NA
Ogcocephalidae,"BATFISH,UNSPECIFIED",NA,NA,Ogcocephalidae,batfishes,reef-associated,38,NA,NA
Priacanthus arenatus,BIGEYE,Atlantic bigeye,5555,NA,bigeye,reef-associated,50,NA,1
Heteropriacanthus cruentatus,GLASSEYE SNAPPER,Glasseye,10162,NA,bigeye,reef-associated,50.70000076,NA,NA
Priacanthidae,BIGEYE,NA,NA,Priacanthidae,bigeye,reef-associated,50,1,1
Istiophoridae,"MARLIN,UNSPECIFIED",NA,NA,Istiophoridae,billfishes,pelagic,300,1,1
Tetrapturus albidus,"MARLIN,WHITE",Atlantic white marlin,NA,Istiophoridae,billfishes,pelagic,300,NA,NA
Xiphias gladius,SWORDFISH,Swordfish,2618,NA,billfishes,pelagic-oceanic,455,NA,1
Istiophorus platypterus,SAILFISH,Indo-Pacific sailfish,3516,NA,billfishes,pelagic-oceanic,348,NA,NA
Makaira nigricans,BLUE MARLIN,,,,billfishes,pelagic-oceanic,500,NA,1
Xiphiidae,SWORDFISH,Swordfish,NA,Xiphiidae,billfishes,pelagic,455,NA,1
,,,,,,,,,NA
