SCIname,COMname,common,genera,subfam,famcode,PD,Lmax,borrowed
Pomacanthus paru,"ANGELFISH,FRENCH",French angelfish,1144,NA,angelfishes,reef-associated,41.09999847,NA
Holacanthus ciliaris,"ANGELFISH,QUEEN",Queen angelfish,2304,NA,angelfishes,reef-associated,45,NA
Pomacanthus arcuatus,"ANGELFISH,GRAY",Gray angelfish,1144,NA,angelfishes,reef-associated,60,NA
,"ANGELFISH,UNSPECIFIED",,,,angelfishes,reef-associated,48.7,1
Sphyraena barracuda,"BARRACUDA,GREAT",Great barracuda,997,NA,barracudas,reef-associated,200,NA
Sphyraenidae,BARRACUDA,NA,NA,Sphyraenidae,barracudas,reef-associated,200,NA
Priacanthus arenatus,BIGEYE,Atlantic bigeye,5555,NA,bigeye,reef-associated,50,NA
Istiophoridae,"MARLIN,UNSPECIFIED",NA,NA,Istiophoridae,billfishes,pelagic,300,1
Xiphias gladius,SWORDFISH,Swordfish,2618,NA,billfishes,pelagic-oceanic,455,NA
Makaira nigricans,BLUE MARLIN,,,,billfishes,pelagic-oceanic,500,NA
Lactophrys,TRUNKFISH,Spotted trunkfish,NA,Lactophrys,boxfishes,reef-associated,48,1
Ostraciidae,"BOXFISH,UNSPECIFIED",Honeycomb cowfish,NA,Ostraciidae,boxfishes,reef-associated,50,1
Acanthostracion polygonius,"COWFISH,HONEYCOMBED",Honeycomb cowfish,4119,NA,boxfishes,reef-associated,50,NA
Acanthostracion quadricornis,"COWFISH,SCRAWLED",,,,boxfishes,reef-associated,55,NA
Lactophrys bicaudalis,"TRUNKFISH,SPOTTED",,,,boxfishes,reef-associated,48,NA
Kyphosus sectatrix,"CHUB,BERMUDA",Bermuda sea chub,6764,NA,chubs,reef-associated,76,NA
Kyphosus incisor,"CHUB, YELLOW",Yellow sea chub,6764,NA,chubs,reef-associated,90,NA
Strombus gigas,"CONCH,QUEEN",NA,NA,NA,conch,invert,NA,NA
Strombus gigas,CONCHS,,,,conch,invert,NA,NA
Decapoda,"CRAB,UNSPECIFIED",NA,NA,Decapoda,crabs,invert,NA,NA
