SCIname,COMname,common,genera,subfam,famcode,PD,Lmax,borrowed
Engraulidae,"ANCHOVIES,UNSPECIFIED",NA,NA,Engraulidae,anchovies,pelagic-neritic,16.75,1
Anchoa hepsetus,"ANCHOVY,STRIPED",Broad-striped anchovy,5863,Engraulinae,anchovies,pelagic-neritic,15.30000019,
Cetengraulis edentulus,"ANCHOVETA,ATLANTIC",Atlantic anchoveta,6317,Engraulinae,anchovies,pelagic-neritic,18.20000076,
Pomacanthus paru,"ANGELFISH,FRENCH",French angelfish,1144,NA,angelfishes,reef-associated,41.09999847,
Holacanthus ciliaris,"ANGELFISH,QUEEN",Queen angelfish,2304,NA,angelfishes,reef-associated,45,
Pomacanthus arcuatus,"ANGELFISH,GRAY",Gray angelfish,1144,NA,angelfishes,reef-associated,60,
Polydactylus virginicus,BARBU,Barbu,5203,NA,other,demersal,33,
Sphyraena guachancho,"BARRACUDA,GUAGUANCHE",Guachanche barracuda,997,NA,barracudas,pelagic-neritic,200,
Sphyraena picudilla,"BARRACUDA,SOUTHERN SENNNET",Southern sennet,997,NA,barracudas,reef-associated,61,
Sphyraena barracuda,"BARRACUDA,GREAT",Great barracuda,997,NA,barracudas,reef-associated,200,
Sphyraenidae,BARRACUDA,NA,NA,Sphyraenidae,barracudas,reef-associated,200,
Ogcocephalus nasutus,"BATFISH,SHORTNOSE",Shortnose batfish,2857,NA,batfishes,reef-associated,38,
Ogcocephalidae,"BATFISH,UNSPECIFIED",NA,NA,Ogcocephalidae,batfishes,reef-associated,38,
Polymixia lowei,BEARDFISH,Beardfish,2622,NA,other,bathydemersal,20,
Priacanthus arenatus,BIGEYE,Atlantic bigeye,5555,NA,bigeye,reef-associated,50,
Heteropriacanthus cruentatus,GLASSEYE SNAPPER,Glasseye,10162,NA,bigeye,reef-associated,50.70000076,
Priacanthidae,BIGEYE,NA,NA,Priacanthidae,bigeye,reef-associated,50,1
Istiophoridae,"MARLIN,UNSPECIFIED",NA,NA,Istiophoridae,billfishes,pelagic,300,1
Tetrapturus albidus,"MARLIN,WHITE",Atlantic white marlin,NA,Istiophoridae,billfishes,pelagic,300,
Xiphias gladius,SWORDFISH,Swordfish,2618,NA,billfishes,pelagic-oceanic,455,
Istiophorus platypterus,SAILFISH,Indo-Pacific sailfish,3516,NA,billfishes,pelagic-oceanic,348,
Makaira nigricans,"MARLIN,BLUE",Blue marlin,189,NA,billfishes,pelagic-oceanic,500,
Xiphiidae,SWORDFISH,Swordfish,NA,Xiphiidae,billfishes,pelagic,455,
Albulidae,BONEFISH,NA,NA,Albulidae,bonefish,reef-associated,104,1
Albula vulpes,BONEFISH,Bonefish,1008,Albulinae,bonefish,reef-associated,104,
Lactophrys,"TRUNKFISH,UNSPECIFIED",Spotted trunkfish,NA,Lactophrys,boxfishes,reef-associated,48,1
Lactophrys bicaudalis,"TRUNKFISH, SPOTTED",Spotted trunkfish,NA,Lactophrys,boxfishes,reef-associated,48,
Ostraciidae,"BOXFISH,UNSPECIFIED",Honeycomb cowfish,NA,Ostraciidae,boxfishes,reef-associated,50,1
Acanthostracion polygonius,"COWFISH,HONEYCOMBED",Honeycomb cowfish,4119,NA,boxfishes,reef-associated,50,
Acanthostracion quadricornis,SCRAWLED COWFISH,Scrawled cowfish,4119,NA,boxfishes,reef-associated,55,
Brotula barbata,"BROTULA,BEARDED",Bearded brotula,2662,Brotulinae,other,reef-associated,94,
